class_id,posture_canonical,feature,n,n_nan,mean,std,median,p25,p75
C1,SA,depth_proxy,516,0,7.899423,1.160326,7.848540,7.231909,8.433657
C1,SA,motion_range_acc_z,516,0,5.326303,1.289367,5.208100,4.415113,6.082087
C1,SA,motion_range_gyro_mag,516,0,0.508203,0.213889,0.461446,0.366590,0.606601
C1,SA,bottom_stability_acc,516,0,0.819886,0.340715,0.760593,0.552736,1.031623
C1,SA,bottom_stability_gyro,516,0,0.181080,0.101756,0.155999,0.107654,0.230694
C1,SA,bottom_recovery_slope_acc_z,516,0,0.132365,0.144584,0.124635,0.047476,0.222907
C1,SA,bottom_transition_delta_acc_z,516,0,-1.245640,1.247627,-1.085744,-1.885619,-0.495003
C1,SA,lateral_proxy_gyro,516,0,0.475208,0.217226,0.429452,0.326976,0.584369
C1,SA,anchor_reliability,516,0,0.745706,0.226297,0.800662,0.654870,0.911257
C1,CA,depth_proxy,519,0,7.378437,1.424294,7.296101,6.463116,7.893783
C1,CA,motion_range_acc_z,519,0,6.062651,1.606876,6.057000,4.778875,7.164350
C1,CA,motion_range_gyro_mag,519,0,0.414421,0.160326,0.384823,0.304807,0.484531
C1,CA,bottom_stability_acc,519,0,0.838917,0.341796,0.790304,0.583255,1.029350
C1,CA,bottom_stability_gyro,519,0,0.136637,0.065434,0.125627,0.091748,0.166512
C1,CA,bottom_recovery_slope_acc_z,519,0,0.144276,0.154301,0.142425,0.067281,0.229460
C1,CA,bottom_transition_delta_acc_z,519,0,-0.871036,1.672434,-0.738633,-2.038300,0.407417
C1,CA,lateral_proxy_gyro,519,0,0.336815,0.142290,0.308762,0.240905,0.392833
C1,CA,anchor_reliability,519,0,0.757589,0.224947,0.830917,0.668873,0.913405
C1,HW,depth_proxy,518,0,-0.886460,2.115150,-0.864778,-2.349760,0.708932
C1,HW,motion_range_acc_z,518,0,4.838316,1.273024,4.695825,3.943987,5.678225
C1,HW,motion_range_gyro_mag,518,0,1.007261,0.270188,0.985819,0.832208,1.174199
C1,HW,bottom_stability_acc,518,0,0.588960,0.285321,0.518470,0.395516,0.718234
C1,HW,bottom_stability_gyro,518,0,0.147470,0.096977,0.125537,0.076060,0.193447
C1,HW,bottom_recovery_slope_acc_z,518,0,0.054452,0.075312,0.038963,0.001522,0.094595
C1,HW,bottom_transition_delta_acc_z,518,0,-0.002706,0.280361,-0.006039,-0.145111,0.136258
C1,HW,lateral_proxy_gyro,518,0,0.356263,0.240125,0.306333,0.168595,0.476357
C1,HW,anchor_reliability,518,0,0.963320,0.130362,1.000000,1.000000,1.000000
C2,SA,depth_proxy,518,0,8.209976,0.846403,8.196747,7.697997,8.714980
C2,SA,motion_range_acc_z,518,0,4.056358,1.083345,3.966950,3.272950,4.706800
C2,SA,motion_range_gyro_mag,518,0,0.419619,0.177966,0.384751,0.292812,0.501209
C2,SA,bottom_stability_acc,518,0,0.789162,0.368126,0.721690,0.500877,1.021681
C2,SA,bottom_stability_gyro,518,0,0.152498,0.085889,0.130778,0.090855,0.190136
C2,SA,bottom_recovery_slope_acc_z,518,0,0.124596,0.109562,0.115149,0.053865,0.192630
C2,SA,bottom_transition_delta_acc_z,518,0,-1.215658,1.291553,-1.041772,-1.974133,-0.359706
C2,SA,lateral_proxy_gyro,518,0,0.394022,0.173344,0.365929,0.264619,0.480881
C2,SA,anchor_reliability,518,0,0.795919,0.170452,0.840175,0.704405,0.929947
C2,CA,depth_proxy,518,0,7.851679,0.990879,7.896929,7.316071,8.389162
C2,CA,motion_range_acc_z,518,0,4.404833,1.332027,4.226850,3.318825,5.326625
C2,CA,motion_range_gyro_mag,518,0,0.358423,0.151976,0.325169,0.255071,0.410572
C2,CA,bottom_stability_acc,518,0,0.713874,0.320901,0.656561,0.472838,0.883636
C2,CA,bottom_stability_gyro,518,0,0.120224,0.062546,0.104191,0.076762,0.151736
C2,CA,bottom_recovery_slope_acc_z,518,0,0.117805,0.113635,0.103035,0.049350,0.179387
