group,feature,posture,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,cohen_d,overlap_estimate
C1_C5_C6,depth_proxy,all,C1,C5,1553,1549,4.794800,4.711128,4.337823,4.190193,0.019620,0.992173
C1_C5_C6,depth_proxy,all,C1,C6,1553,1549,4.794800,4.927349,4.337823,4.055268,-0.031567,0.987407
C1_C5_C6,depth_proxy,all,C5,C6,1549,1549,4.711128,4.927349,4.190193,4.055268,-0.052439,0.979082
C1_C5_C6,depth_proxy,SA,C1,C5,516,519,7.899423,7.493333,1.160326,1.092163,0.360405,0.856994
C1_C5_C6,depth_proxy,SA,C1,C6,516,518,7.899423,7.749925,1.160326,1.079381,0.133411,0.946816
C1_C5_C6,depth_proxy,SA,C5,C6,519,518,7.493333,7.749925,1.092163,1.079381,-0.236318,0.905942
C1_C5_C6,depth_proxy,CA,C1,C5,519,514,7.378437,7.446154,1.424294,1.431208,-0.047429,0.981080
C1_C5_C6,depth_proxy,CA,C1,C6,519,512,7.378437,7.424288,1.424294,1.274475,-0.033927,0.986466
C1_C5_C6,depth_proxy,CA,C5,C6,514,512,7.446154,7.424288,1.431208,1.274475,0.016136,0.993563
C1_C5_C6,depth_proxy,HW,C1,C5,518,516,-0.886460,-0.811678,2.115150,1.930950,-0.036927,0.985269
C1_C5_C6,depth_proxy,HW,C1,C6,518,519,-0.886460,-0.353050,2.115150,2.081367,-0.254208,0.898858
C1_C5_C6,depth_proxy,HW,C5,C6,516,519,-0.811678,-0.353050,1.930950,2.081367,-0.228450,0.909059
C1_C5_C6,motion_range_acc_z,all,C1,C5,1553,1549,5.409617,5.461725,1.486440,1.521482,-0.034644,0.986180
C1_C5_C6,motion_range_acc_z,all,C1,C6,1553,1549,5.409617,5.158300,1.486440,1.547553,0.165634,0.933997
C1_C5_C6,motion_range_acc_z,all,C5,C6,1549,1549,5.461725,5.158300,1.521482,1.547553,0.197726,0.921247
C1_C5_C6,motion_range_acc_z,SA,C1,C5,516,519,5.326303,5.483043,1.289367,1.478479,-0.112994,0.954946
C1_C5_C6,motion_range_acc_z,SA,C1,C6,516,518,5.326303,5.101778,1.289367,1.368642,0.168867,0.932712
C1_C5_C6,motion_range_acc_z,SA,C5,C6,519,518,5.483043,5.101778,1.478479,1.368642,0.267626,0.893550
C1_C5_C6,motion_range_acc_z,CA,C1,C5,519,514,6.062651,6.075695,1.606876,1.376230,-0.008719,0.996522
C1_C5_C6,motion_range_acc_z,CA,C1,C6,519,512,6.062651,5.892234,1.606876,1.493957,0.109844,0.956201
C1_C5_C6,motion_range_acc_z,CA,C5,C6,514,512,6.075695,5.892234,1.376230,1.493957,0.127732,0.949077
C1_C5_C6,motion_range_acc_z,HW,C1,C5,518,516,4.838316,4.828692,1.273024,1.444732,0.007068,0.997180
C1_C5_C6,motion_range_acc_z,HW,C1,C6,518,519,4.838316,4.490678,1.273024,1.447814,0.255012,0.898540
C1_C5_C6,motion_range_acc_z,HW,C5,C6,516,519,4.828692,4.490678,1.444732,1.447814,0.233714,0.906973
C1_C5_C6,motion_range_gyro_mag,all,C1,C5,1553,1549,0.643322,0.725406,0.340434,0.384100,-0.226177,0.909961
C1_C5_C6,motion_range_gyro_mag,all,C1,C6,1553,1549,0.643322,0.663023,0.340434,0.354118,-0.056721,0.977374
C1_C5_C6,motion_range_gyro_mag,all,C5,C6,1549,1549,0.725406,0.663023,0.384100,0.354118,0.168871,0.932710
C1_C5_C6,motion_range_gyro_mag,SA,C1,C5,516,519,0.508203,0.604016,0.213889,0.271715,-0.391846,0.844671
C1_C5_C6,motion_range_gyro_mag,SA,C1,C6,516,518,0.508203,0.527814,0.213889,0.245964,-0.085087,0.966065
C1_C5_C6,motion_range_gyro_mag,SA,C5,C6,519,518,0.604016,0.527814,0.271715,0.245964,0.294034,0.883119
C1_C5_C6,motion_range_gyro_mag,CA,C1,C5,519,514,0.414421,0.470978,0.160326,0.220517,-0.293365,0.883383
C1_C5_C6,motion_range_gyro_mag,CA,C1,C6,519,512,0.414421,0.442877,0.160326,0.164493,-0.175197,0.930196
C1_C5_C6,motion_range_gyro_mag,CA,C5,C6,514,512,0.470978,0.442877,0.220517,0.164493,0.144451,0.942422
C1_C5_C6,motion_range_gyro_mag,HW,C1,C5,518,516,1.007261,1.100946,0.270188,0.315995,-0.318673,0.873404
C1_C5_C6,motion_range_gyro_mag,HW,C1,C6,518,519,1.007261,1.015149,0.270188,0.311674,-0.027045,0.989211
C1_C5_C6,motion_range_gyro_mag,HW,C5,C6,516,519,1.100946,1.015149,0.315995,0.311674,0.273376,0.891277
C1_C5_C6,bottom_stability_acc,all,C1,C5,1553,1549,0.749221,0.809772,0.343047,0.399527,-0.162614,0.935198
C1_C5_C6,bottom_stability_acc,all,C1,C6,1553,1549,0.749221,0.766644,0.343047,0.348332,-0.050398,0.979896
C1_C5_C6,bottom_stability_acc,all,C5,C6,1549,1549,0.809772,0.766644,0.399527,0.348332,0.115068,0.954120
C1_C5_C6,bottom_stability_acc,SA,C1,C5,516,519,0.819886,0.919843,0.340715,0.412559,-0.264194,0.894908
C1_C5_C6,bottom_stability_acc,SA,C1,C6,516,518,0.819886,0.810753,0.340715,0.342262,0.026745,0.989331
C1_C5_C6,bottom_stability_acc,SA,C5,C6,519,518,0.919843,0.810753,0.412559,0.342262,0.287803,0.885578
C1_C5_C6,bottom_stability_acc,CA,C1,C5,519,514,0.838917,0.902479,0.341796,0.400185,-0.170802,0.931942
C1_C5_C6,bottom_stability_acc,CA,C1,C6,519,512,0.838917,0.871696,0.341796,0.328055,-0.097848,0.960980
C1_C5_C6,bottom_stability_acc,CA,C5,C6,514,512,0.902479,0.871696,0.400185,0.328055,0.084130,0.966447
C1_C5_C6,bottom_stability_acc,HW,C1,C5,518,516,0.588960,0.606713,0.285321,0.294061,-0.061276,0.975558
C1_C5_C6,bottom_stability_acc,HW,C1,C6,518,519,0.588960,0.618984,0.285321,0.323137,-0.098500,0.960720
C1_C5_C6,bottom_stability_acc,HW,C5,C6,516,519,0.606713,0.618984,0.294061,0.323137,-0.039721,0.984155
C1_C5_C6,bottom_stability_gyro,all,C1,C5,1553,1549,0.155017,0.177893,0.091464,0.117132,-0.217690,0.913325
C1_C5_C6,bottom_stability_gyro,all,C1,C6,1553,1549,0.155017,0.162832,0.091464,0.105474,-0.079167,0.968425
C1_C5_C6,bottom_stability_gyro,all,C5,C6,1549,1549,0.177893,0.162832,0.117132,0.105474,0.135127,0.946133
C1_C5_C6,bottom_stability_gyro,SA,C1,C5,516,519,0.181080,0.221298,0.101756,0.140265,-0.328225,0.869642
C1_C5_C6,bottom_stability_gyro,SA,C1,C6,516,518,0.181080,0.189153,0.101756,0.117621,-0.073410,0.970720
C1_C5_C6,bottom_stability_gyro,SA,C5,C6,519,518,0.221298,0.189153,0.140265,0.117621,0.248341,0.901180
C1_C5_C6,bottom_stability_gyro,CA,C1,C5,519,514,0.136637,0.155715,0.065434,0.084091,-0.253225,0.899247
C1_C5_C6,bottom_stability_gyro,CA,C1,C6,519,512,0.136637,0.143890,0.065434,0.079362,-0.099727,0.960231
C1_C5_C6,bottom_stability_gyro,CA,C5,C6,514,512,0.155715,0.143890,0.084091,0.079362,0.144632,0.942350
C1_C5_C6,bottom_stability_gyro,HW,C1,C5,518,516,0.147470,0.156326,0.096977,0.107256,-0.086619,0.965455
C1_C5_C6,bottom_stability_gyro,HW,C1,C6,518,519,0.147470,0.155248,0.096977,0.109902,-0.075049,0.970067
C1_C5_C6,bottom_stability_gyro,HW,C5,C6,516,519,0.156326,0.155248,0.107256,0.109902,0.009930,0.996039
C1_C5_C6,bottom_recovery_slope_acc_z,all,C1,C5,1553,1549,0.110358,0.115380,0.135581,0.142420,-0.036119,0.985591
C1_C5_C6,bottom_recovery_slope_acc_z,all,C1,C6,1553,1549,0.110358,0.117987,0.135581,0.141248,-0.055105,0.978019
C1_C5_C6,bottom_recovery_slope_acc_z,all,C5,C6,1549,1549,0.115380,0.117987,0.142420,0.141248,-0.018380,0.992668
