group,feature,method,posture,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,cohen_d,overlap_estimate
C1_C5_C6,motion_range_acc_z,raw,all,C1,C5,1553,1549,5.409617,5.461725,1.486440,1.521482,-0.034644,0.986180
C1_C5_C6,motion_range_acc_z,raw,all,C1,C6,1553,1549,5.409617,5.158300,1.486440,1.547553,0.165634,0.933997
C1_C5_C6,motion_range_acc_z,raw,all,C5,C6,1549,1549,5.461725,5.158300,1.521482,1.547553,0.197726,0.921247
C1_C5_C6,motion_range_acc_z,raw,SA,C1,C5,516,519,5.326303,5.483043,1.289367,1.478479,-0.112994,0.954946
C1_C5_C6,motion_range_acc_z,raw,SA,C1,C6,516,518,5.326303,5.101778,1.289367,1.368642,0.168867,0.932712
C1_C5_C6,motion_range_acc_z,raw,SA,C5,C6,519,518,5.483043,5.101778,1.478479,1.368642,0.267626,0.893550
C1_C5_C6,motion_range_acc_z,raw,CA,C1,C5,519,514,6.062651,6.075695,1.606876,1.376230,-0.008719,0.996522
C1_C5_C6,motion_range_acc_z,raw,CA,C1,C6,519,512,6.062651,5.892234,1.606876,1.493957,0.109844,0.956201
C1_C5_C6,motion_range_acc_z,raw,CA,C5,C6,514,512,6.075695,5.892234,1.376230,1.493957,0.127732,0.949077
C1_C5_C6,motion_range_acc_z,raw,HW,C1,C5,518,516,4.838316,4.828692,1.273024,1.444732,0.007068,0.997180
C1_C5_C6,motion_range_acc_z,raw,HW,C1,C6,518,519,4.838316,4.490678,1.273024,1.447814,0.255012,0.898540
C1_C5_C6,motion_range_acc_z,raw,HW,C5,C6,516,519,4.828692,4.490678,1.444732,1.447814,0.233714,0.906973
C1_C5_C6,motion_range_acc_z,posture_train_zscore,all,C1,C5,1553,1549,0.301718,0.337621,0.909436,0.943659,-0.038743,0.984545
C1_C5_C6,motion_range_acc_z,posture_train_zscore,all,C1,C6,1553,1549,0.301718,0.137888,0.909436,0.944789,0.176677,0.929608
C1_C5_C6,motion_range_acc_z,posture_train_zscore,all,C5,C6,1549,1549,0.337621,0.137888,0.943659,0.944789,0.211531,0.915768
C1_C5_C6,motion_range_acc_z,posture_train_zscore,SA,C1,C5,516,519,0.281129,0.387275,0.873172,1.001241,-0.112994,0.954946
C1_C5_C6,motion_range_acc_z,posture_train_zscore,SA,C1,C6,516,518,0.281129,0.129079,0.873172,0.926858,0.168867,0.932712
C1_C5_C6,motion_range_acc_z,posture_train_zscore,SA,C5,C6,519,518,0.387275,0.129079,1.001241,0.926858,0.267626,0.893550
C1_C5_C6,motion_range_acc_z,posture_train_zscore,CA,C1,C5,519,514,0.370264,0.378335,0.994216,0.851509,-0.008719,0.996522
C1_C5_C6,motion_range_acc_z,posture_train_zscore,CA,C1,C6,519,512,0.370264,0.264823,0.994216,0.924350,0.109844,0.956201
C1_C5_C6,motion_range_acc_z,posture_train_zscore,CA,C5,C6,514,512,0.378335,0.264823,0.851509,0.924350,0.127732,0.949077
C1_C5_C6,motion_range_acc_z,posture_train_zscore,HW,C1,C5,518,516,0.253547,0.247122,0.849891,0.964526,0.007068,0.997180
C1_C5_C6,motion_range_acc_z,posture_train_zscore,HW,C1,C6,518,519,0.253547,0.021459,0.849891,0.966584,0.255012,0.898540
C1_C5_C6,motion_range_acc_z,posture_train_zscore,HW,C5,C6,516,519,0.247122,0.021459,0.964526,0.966584,0.233714,0.906973
C1_C5_C6,motion_range_acc_z,posture_train_robust,all,C1,C5,1553,1549,0.363407,0.399965,0.884662,0.925089,-0.040390,0.983888
C1_C5_C6,motion_range_acc_z,posture_train_robust,all,C1,C6,1553,1549,0.363407,0.203431,0.884662,0.920723,0.177186,0.929405
C1_C5_C6,motion_range_acc_z,posture_train_robust,all,C5,C6,1549,1549,0.399965,0.203431,0.925089,0.920723,0.212950,0.915205
C1_C5_C6,motion_range_acc_z,posture_train_robust,SA,C1,C5,516,519,0.371535,0.479356,0.886951,1.017041,-0.112994,0.954946
C1_C5_C6,motion_range_acc_z,posture_train_robust,SA,C1,C6,516,518,0.371535,0.217085,0.886951,0.941484,0.168867,0.932712
C1_C5_C6,motion_range_acc_z,posture_train_robust,SA,C5,C6,519,518,0.479356,0.217085,1.017041,0.941484,0.267626,0.893550
C1_C5_C6,motion_range_acc_z,posture_train_robust,CA,C1,C5,519,514,0.391024,0.398649,0.939308,0.804482,-0.008719,0.996522
C1_C5_C6,motion_range_acc_z,posture_train_robust,CA,C1,C6,519,512,0.391024,0.291406,0.939308,0.873300,0.109844,0.956201
C1_C5_C6,motion_range_acc_z,posture_train_robust,CA,C5,C6,514,512,0.398649,0.291406,0.804482,0.873300,0.127732,0.949077
C1_C5_C6,motion_range_acc_z,posture_train_robust,HW,C1,C5,518,516,0.327641,0.321422,0.822565,0.933514,0.007068,0.997180
C1_C5_C6,motion_range_acc_z,posture_train_robust,HW,C1,C6,518,519,0.327641,0.103014,0.822565,0.935505,0.255012,0.898540
C1_C5_C6,motion_range_acc_z,posture_train_robust,HW,C5,C6,516,519,0.321422,0.103014,0.933514,0.935505,0.233714,0.906973
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,all,C1,C5,1553,1549,0.421874,0.463198,0.883422,0.921538,-0.045779,0.981738
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,all,C1,C6,1553,1549,0.421874,0.200393,0.883422,0.948327,0.241673,0.903821
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,all,C5,C6,1549,1549,0.463198,0.200393,0.921538,0.948327,0.281066,0.888239
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,SA,C1,C5,516,519,0.340749,0.434076,0.725211,0.766071,-0.125116,0.950119
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,SA,C1,C6,516,518,0.340749,0.122033,0.725211,0.739121,0.298711,0.881273
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,SA,C5,C6,519,518,0.434076,0.122033,0.766071,0.739121,0.414555,0.835793
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,CA,C1,C5,519,514,0.885192,0.931293,0.817626,0.701450,-0.060520,0.975860
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,CA,C1,C6,519,512,0.885192,0.795921,0.817626,0.737619,0.114648,0.954287
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,CA,C5,C6,514,512,0.931293,0.795921,0.701450,0.737619,0.188079,0.925078
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,HW,C1,C5,518,516,0.038473,0.026208,0.881739,1.029011,0.012800,0.994894
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,HW,C1,C6,518,519,0.038473,-0.308893,0.881739,0.993353,0.369851,0.853287
C1_C5_C6,motion_range_acc_z,participant_zscore_upper_bound,HW,C5,C6,516,519,0.026208,-0.308893,1.029011,0.993353,0.331344,0.868415
C1_C5_C6,depth_proxy,raw,all,C1,C5,1553,1549,4.794800,4.711128,4.337823,4.190193,0.019620,0.992173
C1_C5_C6,depth_proxy,raw,all,C1,C6,1553,1549,4.794800,4.927349,4.337823,4.055268,-0.031567,0.987407
C1_C5_C6,depth_proxy,raw,all,C5,C6,1549,1549,4.711128,4.927349,4.190193,4.055268,-0.052439,0.979082
C1_C5_C6,depth_proxy,raw,SA,C1,C5,516,519,7.899423,7.493333,1.160326,1.092163,0.360405,0.856994
C1_C5_C6,depth_proxy,raw,SA,C1,C6,516,518,7.899423,7.749925,1.160326,1.079381,0.133411,0.946816
C1_C5_C6,depth_proxy,raw,SA,C5,C6,519,518,7.493333,7.749925,1.092163,1.079381,-0.236318,0.905942
C1_C5_C6,depth_proxy,raw,CA,C1,C5,519,514,7.378437,7.446154,1.424294,1.431208,-0.047429,0.981080
C1_C5_C6,depth_proxy,raw,CA,C1,C6,519,512,7.378437,7.424288,1.424294,1.274475,-0.033927,0.986466
C1_C5_C6,depth_proxy,raw,CA,C5,C6,514,512,7.446154,7.424288,1.431208,1.274475,0.016136,0.993563
C1_C5_C6,depth_proxy,raw,HW,C1,C5,518,516,-0.886460,-0.811678,2.115150,1.930950,-0.036927,0.985269
C1_C5_C6,depth_proxy,raw,HW,C1,C6,518,519,-0.886460,-0.353050,2.115150,2.081367,-0.254208,0.898858
C1_C5_C6,depth_proxy,raw,HW,C5,C6,516,519,-0.811678,-0.353050,1.930950,2.081367,-0.228450,0.909059
C1_C5_C6,depth_proxy,posture_train_zscore,all,C1,C5,1553,1549,-0.052054,-0.150600,1.080402,1.035549,0.093124,0.962862
C1_C5_C6,depth_proxy,posture_train_zscore,all,C1,C6,1553,1549,-0.052054,-0.004848,1.080402,1.003890,-0.045266,0.981943
C1_C5_C6,depth_proxy,posture_train_zscore,all,C5,C6,1549,1549,-0.150600,-0.004848,1.035549,1.003890,-0.142916,0.943033
C1_C5_C6,depth_proxy,posture_train_zscore,SA,C1,C5,516,519,0.095787,-0.288231,1.097260,1.032802,0.360405,0.856994
C1_C5_C6,depth_proxy,posture_train_zscore,SA,C1,C6,516,518,0.095787,-0.045585,1.097260,1.020715,0.133411,0.946816
C1_C5_C6,depth_proxy,posture_train_zscore,SA,C5,C6,519,518,-0.288231,-0.045585,1.032802,1.020715,-0.236318,0.905942
