setting,split,scope,scope_value,metric,value
raw_core_features,train,overall,all,accuracy,0.232845
raw_core_features,train,overall,all,macro_f1,0.213642
raw_core_features,train,overall,all,weighted_f1,0.213910
raw_core_features,train,class,C1,precision,0.221143
raw_core_features,train,class,C1,recall,0.190520
raw_core_features,train,class,C1,f1,0.204693
raw_core_features,train,class,C1,support,1076
raw_core_features,train,class,C2,precision,0.255501
raw_core_features,train,class,C2,recall,0.528810
raw_core_features,train,class,C2,f1,0.344535
raw_core_features,train,class,C2,support,1076
raw_core_features,train,class,C3,precision,0.217968
raw_core_features,train,class,C3,recall,0.140684
raw_core_features,train,class,C3,f1,0.170999
raw_core_features,train,class,C3,support,1052
raw_core_features,train,class,C4,precision,0.170431
raw_core_features,train,class,C4,recall,0.077715
raw_core_features,train,class,C4,f1,0.106752
raw_core_features,train,class,C4,support,1068
raw_core_features,train,class,C5,precision,0.233696
raw_core_features,train,class,C5,recall,0.281308
raw_core_features,train,class,C5,f1,0.255301
raw_core_features,train,class,C5,support,1070
raw_core_features,train,class,C6,precision,0.232587
raw_core_features,train,class,C6,recall,0.174766
raw_core_features,train,class,C6,f1,0.199573
raw_core_features,train,class,C6,support,1070
raw_core_features,train,posture,SA,macro_f1,0.232226
raw_core_features,train,posture,CA,macro_f1,0.218724
raw_core_features,train,posture,HW,macro_f1,0.185730
raw_core_features,val,overall,all,accuracy,0.235376
raw_core_features,val,overall,all,macro_f1,0.207595
raw_core_features,val,overall,all,weighted_f1,0.207916
raw_core_features,val,class,C1,precision,0.233333
raw_core_features,val,class,C1,recall,0.204167
raw_core_features,val,class,C1,f1,0.217778
raw_core_features,val,class,C1,support,240
raw_core_features,val,class,C2,precision,0.290441
raw_core_features,val,class,C2,recall,0.658333
raw_core_features,val,class,C2,f1,0.403061
raw_core_features,val,class,C2,support,240
raw_core_features,val,class,C3,precision,0.145161
raw_core_features,val,class,C3,recall,0.112971
raw_core_features,val,class,C3,f1,0.127059
raw_core_features,val,class,C3,support,239
raw_core_features,val,class,C4,precision,0.112069
raw_core_features,val,class,C4,recall,0.054852
raw_core_features,val,class,C4,f1,0.073654
raw_core_features,val,class,C4,support,237
raw_core_features,val,class,C5,precision,0.219512
raw_core_features,val,class,C5,recall,0.186722
raw_core_features,val,class,C5,f1,0.201794
raw_core_features,val,class,C5,support,241
raw_core_features,val,class,C6,precision,0.262857
raw_core_features,val,class,C6,recall,0.192469
raw_core_features,val,class,C6,f1,0.222222
raw_core_features,val,class,C6,support,239
raw_core_features,val,posture,SA,macro_f1,0.261708
raw_core_features,val,posture,CA,macro_f1,0.219119
raw_core_features,val,posture,HW,macro_f1,0.137841
raw_core_features,test,overall,all,accuracy,0.257183
raw_core_features,test,overall,all,macro_f1,0.227396
raw_core_features,test,overall,all,weighted_f1,0.227514
raw_core_features,test,class,C1,precision,0.258929
raw_core_features,test,class,C1,recall,0.244726
raw_core_features,test,class,C1,f1,0.251627
raw_core_features,test,class,C1,support,237
raw_core_features,test,class,C2,precision,0.293624
raw_core_features,test,class,C2,recall,0.732218
raw_core_features,test,class,C2,f1,0.419162
raw_core_features,test,class,C2,support,239
raw_core_features,test,class,C3,precision,0.145631
raw_core_features,test,class,C3,recall,0.126050
raw_core_features,test,class,C3,f1,0.135135
raw_core_features,test,class,C3,support,238
raw_core_features,test,class,C4,precision,0.226087
raw_core_features,test,class,C4,recall,0.110638
raw_core_features,test,class,C4,f1,0.148571
raw_core_features,test,class,C4,support,235
raw_core_features,test,class,C5,precision,0.404255
raw_core_features,test,class,C5,recall,0.239496
raw_core_features,test,class,C5,f1,0.300792
