split,metric,value
train,level_confident_count,750.0
train,level_confident_rate,0.11696818465377418
train,level_hedged_count,5117.0
train,level_hedged_rate,0.7980349344978166
train,level_low_count,245.0
train,level_low_rate,0.03820960698689956
train,level_no_call_count,300.0
train,level_no_call_rate,0.046787273861509666
train,no_call_count,300.0
train,no_call_rate,0.046787273861509666
train,ambiguity_confident_C2_count,774.0
train,ambiguity_confident_C2_rate,0.12071116656269494
train,ambiguity_within_group_c1_c5_c6_count,3210.0
train,ambiguity_within_group_c1_c5_c6_rate,0.5006238303181535
train,ambiguity_pair_c3_c4_count,1182.0
train,ambiguity_pair_c3_c4_rate,0.1843418590143481
train,ambiguity_pair_plus_c2_absorption_count,946.0
train,ambiguity_pair_plus_c2_absorption_rate,0.14753587024329382
train,ambiguity_no_call_count,300.0
train,ambiguity_no_call_rate,0.046787273861509666
train,ambiguity_uncategorized_count,0.0
train,ambiguity_uncategorized_rate,0.0
train,class_set_size_0_count,300.0
train,class_set_size_1_count,774.0
train,class_set_size_2_count,2110.0
train,class_set_size_3_count,3228.0
train,flag_posture_unknown_count,0.0
train,flag_posture_unknown_rate,0.0
train,flag_within_group_ambiguity_c1_c5_c6_count,3210.0
train,flag_within_group_ambiguity_c1_c5_c6_rate,0.5006238303181535
train,flag_confident_C2_count,783.0
train,flag_confident_C2_rate,0.12211478477854024
train,flag_pair_plus_c2_absorption_count,952.0
train,flag_pair_plus_c2_absorption_rate,0.14847161572052403
train,flag_anchor_unreliable_count,289.0
train,flag_anchor_unreliable_rate,0.04507174048658765
train,flag_pair_ambiguity_c3_c4_count,1182.0
train,flag_pair_ambiguity_c3_c4_rate,0.1843418590143481
train,flag_low_confidence_no_class_set_count,285.0
train,flag_low_confidence_no_class_set_rate,0.04444791016843418
train,top1_not_in_class_set_count,0.0
train,top1_not_in_class_set_rate,0.0
val,level_confident_count,145.0
val,level_confident_rate,0.100974930362117
val,level_hedged_count,1048.0
val,level_hedged_rate,0.7298050139275766
val,level_low_count,60.0
val,level_low_rate,0.04178272980501393
val,level_no_call_count,183.0
val,level_no_call_rate,0.12743732590529247
val,no_call_count,183.0
val,no_call_rate,0.12743732590529247
val,ambiguity_confident_C2_count,152.0
val,ambiguity_confident_C2_rate,0.10584958217270195
val,ambiguity_within_group_c1_c5_c6_count,732.0
val,ambiguity_within_group_c1_c5_c6_rate,0.5097493036211699
val,ambiguity_pair_c3_c4_count,185.0
val,ambiguity_pair_c3_c4_rate,0.1288300835654596
val,ambiguity_pair_plus_c2_absorption_count,184.0
val,ambiguity_pair_plus_c2_absorption_rate,0.12813370473537605
val,ambiguity_no_call_count,183.0
val,ambiguity_no_call_rate,0.12743732590529247
val,ambiguity_uncategorized_count,0.0
val,ambiguity_uncategorized_rate,0.0
val,class_set_size_0_count,183.0
val,class_set_size_1_count,152.0
val,class_set_size_2_count,330.0
val,class_set_size_3_count,771.0
val,flag_posture_unknown_count,0.0
val,flag_posture_unknown_rate,0.0
val,flag_within_group_ambiguity_c1_c5_c6_count,732.0
val,flag_within_group_ambiguity_c1_c5_c6_rate,0.5097493036211699
val,flag_confident_C2_count,155.0
val,flag_confident_C2_rate,0.10793871866295264
val,flag_pair_plus_c2_absorption_count,186.0
val,flag_pair_plus_c2_absorption_rate,0.12952646239554316
val,flag_anchor_unreliable_count,77.0
val,flag_anchor_unreliable_rate,0.05362116991643454
val,flag_pair_ambiguity_c3_c4_count,185.0
val,flag_pair_ambiguity_c3_c4_rate,0.1288300835654596
val,flag_low_confidence_no_class_set_count,178.0
val,flag_low_confidence_no_class_set_rate,0.12395543175487465
val,top1_not_in_class_set_count,0.0
val,top1_not_in_class_set_rate,0.0
test,level_confident_count,155.0
test,level_confident_rate,0.10861948142957253
test,level_hedged_count,996.0
test,level_hedged_rate,0.6979677645409951
test,level_low_count,57.0
test,level_low_rate,0.039943938332165384
test,level_no_call_count,219.0
test,level_no_call_rate,0.153468815697267
test,no_call_count,219.0
test,no_call_rate,0.153468815697267
test,ambiguity_confident_C2_count,160.0
test,ambiguity_confident_C2_rate,0.11212333566923616
test,ambiguity_within_group_c1_c5_c6_count,670.0
test,ambiguity_within_group_c1_c5_c6_rate,0.4695164681149264
test,ambiguity_pair_c3_c4_count,114.0
test,ambiguity_pair_c3_c4_rate,0.07988787666433077
test,ambiguity_pair_plus_c2_absorption_count,264.0
test,ambiguity_pair_plus_c2_absorption_rate,0.18500350385423966
test,ambiguity_no_call_count,219.0
test,ambiguity_no_call_rate,0.153468815697267
test,ambiguity_uncategorized_count,0.0
test,ambiguity_uncategorized_rate,0.0
test,class_set_size_0_count,219.0
test,class_set_size_1_count,160.0
test,class_set_size_2_count,271.0
test,class_set_size_3_count,777.0
test,flag_posture_unknown_count,0.0
test,flag_posture_unknown_rate,0.0
test,flag_within_group_ambiguity_c1_c5_c6_count,670.0
test,flag_within_group_ambiguity_c1_c5_c6_rate,0.4695164681149264
test,flag_confident_C2_count,160.0
test,flag_confident_C2_rate,0.11212333566923616
test,flag_pair_plus_c2_absorption_count,266.0
test,flag_pair_plus_c2_absorption_rate,0.18640504555010512
test,flag_anchor_unreliable_count,75.0
test,flag_anchor_unreliable_rate,0.05255781359495445
test,flag_pair_ambiguity_c3_c4_count,114.0
test,flag_pair_ambiguity_c3_c4_rate,0.07988787666433077
test,flag_low_confidence_no_class_set_count,217.0
test,flag_low_confidence_no_class_set_rate,0.15206727400140155
test,top1_not_in_class_set_count,0.0
test,top1_not_in_class_set_rate,0.0
all,level_confident_count,1050.0
all,level_confident_rate,0.11320754716981132
all,level_hedged_count,7161.0
all,level_hedged_rate,0.7720754716981132
all,level_low_count,362.0
all,level_low_rate,0.03902964959568733
all,level_no_call_count,702.0
all,level_no_call_rate,0.07568733153638814
all,no_call_count,702.0
all,no_call_rate,0.07568733153638814
all,ambiguity_confident_C2_count,1086.0
all,ambiguity_confident_C2_rate,0.117088948787062
all,ambiguity_within_group_c1_c5_c6_count,4612.0
all,ambiguity_within_group_c1_c5_c6_rate,0.49725067385444743
all,ambiguity_pair_c3_c4_count,1481.0
all,ambiguity_pair_c3_c4_rate,0.1596765498652291
all,ambiguity_pair_plus_c2_absorption_count,1394.0
all,ambiguity_pair_plus_c2_absorption_rate,0.1502964959568733
all,ambiguity_no_call_count,702.0
all,ambiguity_no_call_rate,0.07568733153638814
all,ambiguity_uncategorized_count,0.0
all,ambiguity_uncategorized_rate,0.0
all,class_set_size_0_count,702.0
all,class_set_size_1_count,1086.0
all,class_set_size_2_count,2711.0
all,class_set_size_3_count,4776.0
all,flag_posture_unknown_count,0.0
all,flag_posture_unknown_rate,0.0
