split,metric,value
train,level_confident_count,473.0
train,level_confident_rate,0.07376793512164691
train,level_hedged_count,5106.0
train,level_hedged_rate,0.7963194011228946
train,level_low_count,247.0
train,level_low_rate,0.038521522145976296
train,level_no_call_count,586.0
train,level_no_call_rate,0.09139114160948222
train,no_call_count,586.0
train,no_call_rate,0.09139114160948222
train,ambiguity_confident_C2_count,495.0
train,ambiguity_confident_C2_rate,0.07719900187149095
train,ambiguity_within_group_c1_c5_c6_count,3202.0
train,ambiguity_within_group_c1_c5_c6_rate,0.49937616968184656
train,ambiguity_pair_c3_c4_count,1335.0
train,ambiguity_pair_c3_c4_rate,0.20820336868371803
train,ambiguity_pair_plus_c2_absorption_count,794.0
train,ambiguity_pair_plus_c2_absorption_rate,0.12383031815346225
train,ambiguity_no_call_count,586.0
train,ambiguity_no_call_rate,0.09139114160948222
train,ambiguity_uncategorized_count,0.0
train,ambiguity_uncategorized_rate,0.0
train,class_set_size_0_count,586.0
train,class_set_size_1_count,495.0
train,class_set_size_2_count,2227.0
train,class_set_size_3_count,3104.0
train,flag_posture_unknown_count,0.0
train,flag_posture_unknown_rate,0.0
train,flag_within_group_ambiguity_c1_c5_c6_count,3202.0
train,flag_within_group_ambiguity_c1_c5_c6_rate,0.49937616968184656
train,flag_confident_C2_count,504.0
train,flag_confident_C2_rate,0.07860262008733625
train,flag_pair_plus_c2_absorption_count,797.0
train,flag_pair_plus_c2_absorption_rate,0.12429819089207736
train,flag_anchor_unreliable_count,289.0
train,flag_anchor_unreliable_rate,0.04507174048658765
train,flag_pair_ambiguity_c3_c4_count,1335.0
train,flag_pair_ambiguity_c3_c4_rate,0.20820336868371803
train,flag_low_confidence_no_class_set_count,574.0
train,flag_low_confidence_no_class_set_rate,0.08951965065502183
train,top1_not_in_class_set_count,0.0
train,top1_not_in_class_set_rate,0.0
val,level_confident_count,99.0
val,level_confident_rate,0.06894150417827298
val,level_hedged_count,1045.0
val,level_hedged_rate,0.7277158774373259
val,level_low_count,53.0
val,level_low_rate,0.03690807799442897
val,level_no_call_count,239.0
val,level_no_call_rate,0.16643454038997216
val,no_call_count,239.0
val,no_call_rate,0.16643454038997216
val,ambiguity_confident_C2_count,104.0
val,ambiguity_confident_C2_rate,0.07242339832869081
val,ambiguity_within_group_c1_c5_c6_count,679.0
val,ambiguity_within_group_c1_c5_c6_rate,0.47284122562674097
val,ambiguity_pair_c3_c4_count,207.0
val,ambiguity_pair_c3_c4_rate,0.14415041782729804
val,ambiguity_pair_plus_c2_absorption_count,207.0
val,ambiguity_pair_plus_c2_absorption_rate,0.14415041782729804
val,ambiguity_no_call_count,239.0
val,ambiguity_no_call_rate,0.16643454038997216
val,ambiguity_uncategorized_count,0.0
val,ambiguity_uncategorized_rate,0.0
val,class_set_size_0_count,239.0
val,class_set_size_1_count,104.0
val,class_set_size_2_count,352.0
val,class_set_size_3_count,741.0
val,flag_posture_unknown_count,0.0
val,flag_posture_unknown_rate,0.0
val,flag_within_group_ambiguity_c1_c5_c6_count,679.0
val,flag_within_group_ambiguity_c1_c5_c6_rate,0.47284122562674097
val,flag_confident_C2_count,104.0
val,flag_confident_C2_rate,0.07242339832869081
val,flag_pair_plus_c2_absorption_count,208.0
val,flag_pair_plus_c2_absorption_rate,0.14484679665738162
val,flag_anchor_unreliable_count,77.0
val,flag_anchor_unreliable_rate,0.05362116991643454
val,flag_pair_ambiguity_c3_c4_count,207.0
val,flag_pair_ambiguity_c3_c4_rate,0.14415041782729804
val,flag_low_confidence_no_class_set_count,238.0
val,flag_low_confidence_no_class_set_rate,0.16573816155988857
val,top1_not_in_class_set_count,0.0
val,top1_not_in_class_set_rate,0.0
test,level_confident_count,95.0
test,level_confident_rate,0.06657323055360898
test,level_hedged_count,981.0
test,level_hedged_rate,0.6874562018220042
test,level_low_count,58.0
test,level_low_rate,0.04064470918009811
test,level_no_call_count,293.0
test,level_no_call_rate,0.20532585844428872
test,no_call_count,293.0
test,no_call_rate,0.20532585844428872
test,ambiguity_confident_C2_count,98.0
test,ambiguity_confident_C2_rate,0.06867554309740714
test,ambiguity_within_group_c1_c5_c6_count,646.0
test,ambiguity_within_group_c1_c5_c6_rate,0.452697967764541
test,ambiguity_pair_c3_c4_count,147.0
test,ambiguity_pair_c3_c4_rate,0.10301331464611072
test,ambiguity_pair_plus_c2_absorption_count,243.0
test,ambiguity_pair_plus_c2_absorption_rate,0.1702873160476524
test,ambiguity_no_call_count,293.0
test,ambiguity_no_call_rate,0.20532585844428872
test,ambiguity_uncategorized_count,0.0
test,ambiguity_uncategorized_rate,0.0
test,class_set_size_0_count,293.0
test,class_set_size_1_count,98.0
test,class_set_size_2_count,280.0
test,class_set_size_3_count,756.0
test,flag_posture_unknown_count,0.0
test,flag_posture_unknown_rate,0.0
test,flag_within_group_ambiguity_c1_c5_c6_count,646.0
test,flag_within_group_ambiguity_c1_c5_c6_rate,0.452697967764541
test,flag_confident_C2_count,98.0
test,flag_confident_C2_rate,0.06867554309740714
test,flag_pair_plus_c2_absorption_count,244.0
test,flag_pair_plus_c2_absorption_rate,0.17098808689558515
test,flag_anchor_unreliable_count,75.0
test,flag_anchor_unreliable_rate,0.05255781359495445
test,flag_pair_ambiguity_c3_c4_count,147.0
test,flag_pair_ambiguity_c3_c4_rate,0.10301331464611072
test,flag_low_confidence_no_class_set_count,292.0
test,flag_low_confidence_no_class_set_rate,0.204625087596356
test,top1_not_in_class_set_count,0.0
test,top1_not_in_class_set_rate,0.0
all,level_confident_count,667.0
all,level_confident_rate,0.07191374663072776
all,level_hedged_count,7132.0
all,level_hedged_rate,0.7689487870619947
all,level_low_count,358.0
all,level_low_rate,0.03859838274932614
all,level_no_call_count,1118.0
all,level_no_call_rate,0.12053908355795148
all,no_call_count,1118.0
all,no_call_rate,0.12053908355795148
all,ambiguity_confident_C2_count,697.0
all,ambiguity_confident_C2_rate,0.07514824797843665
all,ambiguity_within_group_c1_c5_c6_count,4527.0
all,ambiguity_within_group_c1_c5_c6_rate,0.48808625336927225
all,ambiguity_pair_c3_c4_count,1689.0
all,ambiguity_pair_c3_c4_rate,0.18210242587601078
all,ambiguity_pair_plus_c2_absorption_count,1244.0
all,ambiguity_pair_plus_c2_absorption_rate,0.13412398921832885
all,ambiguity_no_call_count,1118.0
all,ambiguity_no_call_rate,0.12053908355795148
all,ambiguity_uncategorized_count,0.0
all,ambiguity_uncategorized_rate,0.0
all,class_set_size_0_count,1118.0
all,class_set_size_1_count,697.0
all,class_set_size_2_count,2859.0
all,class_set_size_3_count,4601.0
all,flag_posture_unknown_count,0.0
all,flag_posture_unknown_rate,0.0
all,flag_within_group_ambiguity_c1_c5_c6_count,4527.0
all,flag_within_group_ambiguity_c1_c5_c6_rate,0.48808625336927225
all,flag_confident_C2_count,706.0
all,flag_confident_C2_rate,0.07611859838274933
all,flag_pair_plus_c2_absorption_count,1249.0
all,flag_pair_plus_c2_absorption_rate,0.1346630727762803
all,flag_anchor_unreliable_count,441.0
all,flag_anchor_unreliable_rate,0.047547169811320754
all,flag_pair_ambiguity_c3_c4_count,1689.0
all,flag_pair_ambiguity_c3_c4_rate,0.18210242587601078
all,flag_low_confidence_no_class_set_count,1104.0
all,flag_low_confidence_no_class_set_rate,0.11902964959568733
all,top1_not_in_class_set_count,0.0
all,top1_not_in_class_set_rate,0.0
