branch,split,stage,metric,value
raw,train,before,accuracy,0.9844042420461634
raw,train,before,balanced_accuracy,0.9844063688593688
raw,train,before,macro_f1,0.9844232736329204
raw,train,before,log_loss,0.37021615499971944
raw,train,before,brier_multiclass,0.14806003951702723
raw,train,before,ece_15bin,0.27125985206240083
raw,train,before,top1_prob_mean,0.7132288330374756
raw,train,before,top1_prob_p25,0.6061728357406119
raw,train,before,top1_prob_p50,0.7303105073017346
raw,train,before,top1_prob_p75,0.8371993645277097
raw,train,before,top1_top2_margin_mean,0.5713271383469093
raw,train,before,top1_top2_margin_p25,0.41239138540304837
raw,train,before,top1_top2_margin_p50,0.5920691334477064
raw,train,before,top1_top2_margin_p75,0.7490442120574415
raw,train,before,predictive_entropy_mean,0.8785790923213271
raw,train,before,predictive_entropy_p25,0.6122450302369763
raw,train,before,predictive_entropy_p50,0.8816968686879274
raw,train,before,predictive_entropy_p75,1.1541613704611025
raw,train,before,n,6412.0
raw,train,after,accuracy,0.9844042420461634
raw,train,after,balanced_accuracy,0.9844063688593688
raw,train,after,macro_f1,0.9844232736329204
raw,train,after,log_loss,0.9117995303636823
raw,train,after,brier_multiclass,0.4406676515355704
raw,train,after,ece_15bin,0.5688294984504773
raw,train,after,top1_prob_mean,0.415574743595686
raw,train,after,top1_prob_p25,0.3383667776593628
raw,train,after,top1_prob_p50,0.40030040480170037
raw,train,after,top1_prob_p75,0.4745420519122437
raw,train,after,top1_top2_margin_mean,0.21767071282573117
raw,train,after,top1_top2_margin_p25,0.12783402141316655
raw,train,after,top1_top2_margin_p50,0.19853993873801853
raw,train,after,top1_top2_margin_p75,0.2837769235204378
raw,train,after,predictive_entropy_mean,1.5237884216873199
raw,train,after,predictive_entropy_p25,1.4421253852244924
raw,train,after,predictive_entropy_p50,1.5712823787767167
raw,train,after,predictive_entropy_p75,1.6596486163312112
raw,train,after,n,6412.0
raw,val,before,accuracy,0.3286908077994429
raw,val,before,balanced_accuracy,0.3286068876300766
raw,val,before,macro_f1,0.32299409962878606
raw,val,before,log_loss,1.8250820516517108
raw,val,before,brier_multiclass,0.8426264539757009
raw,val,before,ece_15bin,0.2155374025823081
raw,val,before,top1_prob_mean,0.5442282103817511
raw,val,before,top1_prob_p25,0.3995780253559302
raw,val,before,top1_prob_p50,0.5081669428859796
raw,val,before,top1_prob_p75,0.6654434910886885
raw,val,before,top1_top2_margin_mean,0.31964072578095376
raw,val,before,top1_top2_margin_p25,0.1013581127763153
raw,val,before,top1_top2_margin_p50,0.24341935869965822
raw,val,before,top1_top2_margin_p75,0.49187614266448754
raw,val,before,predictive_entropy_mean,1.1536779208676466
raw,val,before,predictive_entropy_p25,0.9483849412695522
raw,val,before,predictive_entropy_p50,1.2183769128815192
raw,val,before,predictive_entropy_p75,1.4464773698400808
raw,val,before,n,1436.0
raw,val,after,accuracy,0.3286908077994429
raw,val,after,balanced_accuracy,0.3286068876300766
raw,val,after,macro_f1,0.32299409962878606
raw,val,after,log_loss,1.5888470736918978
raw,val,after,brier_multiclass,0.7646981497565035
raw,val,after,ece_15bin,0.02766579508411966
raw,val,after,top1_prob_mean,0.34203282686058856
raw,val,after,top1_prob_p25,0.26455328173080217
raw,val,after,top1_prob_p50,0.31383305733044004
raw,val,after,top1_prob_p75,0.38419034282134823
raw,val,after,top1_top2_margin_mean,0.11711348159188688
raw,val,after,top1_top2_margin_p25,0.03144167919917868
raw,val,after,top1_top2_margin_p50,0.07529686466538124
raw,val,after,top1_top2_margin_p75,0.15884704258967364
raw,val,after,predictive_entropy_mean,1.5888470736919023
raw,val,after,predictive_entropy_p25,1.5225522952102852
raw,val,after,predictive_entropy_p50,1.6448925882239163
raw,val,after,predictive_entropy_p75,1.7129973801162293
raw,val,after,n,1436.0
raw,test,before,accuracy,0.30623686054660126
raw,test,before,balanced_accuracy,0.3061823379802052
raw,test,before,macro_f1,0.30044800674574557
raw,test,before,log_loss,1.8710230723390904
raw,test,before,brier_multiclass,0.8658718310957111
raw,test,before,ece_15bin,0.22997791991093808
raw,test,before,top1_prob_mean,0.5362147804575393
raw,test,before,top1_prob_p25,0.39462235259253714
raw,test,before,top1_prob_p50,0.49332538867319525
raw,test,before,top1_prob_p75,0.6579535659681905
raw,test,before,top1_top2_margin_mean,0.31299781706168894
raw,test,before,top1_top2_margin_p25,0.10527638526463329
