condition,split,true_class,pred_class,count
raw,train,C1,C1,1054
raw,train,C1,C2,3
raw,train,C1,C3,2
raw,train,C1,C4,8
raw,train,C1,C5,4
raw,train,C1,C6,5
raw,train,C2,C1,5
raw,train,C2,C2,1059
raw,train,C2,C3,2
raw,train,C2,C4,6
raw,train,C2,C5,1
raw,train,C2,C6,3
raw,train,C3,C1,1
raw,train,C3,C2,4
raw,train,C3,C3,1034
raw,train,C3,C4,8
raw,train,C3,C5,1
raw,train,C3,C6,4
raw,train,C4,C1,3
raw,train,C4,C2,0
raw,train,C4,C3,3
raw,train,C4,C4,1057
raw,train,C4,C5,3
raw,train,C4,C6,2
raw,train,C5,C1,4
raw,train,C5,C2,0
raw,train,C5,C3,1
raw,train,C5,C4,4
raw,train,C5,C5,1055
raw,train,C5,C6,6
raw,train,C6,C1,4
raw,train,C6,C2,2
raw,train,C6,C3,1
raw,train,C6,C4,8
raw,train,C6,C5,2
raw,train,C6,C6,1053
raw,val,C1,C1,88
raw,val,C1,C2,31
raw,val,C1,C3,14
raw,val,C1,C4,9
raw,val,C1,C5,45
raw,val,C1,C6,53
raw,val,C2,C1,21
raw,val,C2,C2,135
raw,val,C2,C3,23
raw,val,C2,C4,10
raw,val,C2,C5,17
raw,val,C2,C6,34
raw,val,C3,C1,21
raw,val,C3,C2,57
raw,val,C3,C3,58
raw,val,C3,C4,55
raw,val,C3,C5,24
raw,val,C3,C6,24
raw,val,C4,C1,24
raw,val,C4,C2,38
raw,val,C4,C3,54
raw,val,C4,C4,74
raw,val,C4,C5,29
raw,val,C4,C6,18
raw,val,C5,C1,59
raw,val,C5,C2,40
raw,val,C5,C3,20
raw,val,C5,C4,14
raw,val,C5,C5,57
raw,val,C5,C6,51
raw,val,C6,C1,54
raw,val,C6,C2,32
raw,val,C6,C3,21
raw,val,C6,C4,19
raw,val,C6,C5,53
raw,val,C6,C6,60
raw,test,C1,C1,66
raw,test,C1,C2,34
raw,test,C1,C3,12
raw,test,C1,C4,14
raw,test,C1,C5,53
raw,test,C1,C6,58
raw,test,C2,C1,23
raw,test,C2,C2,133
raw,test,C2,C3,30
raw,test,C2,C4,14
raw,test,C2,C5,7
raw,test,C2,C6,32
raw,test,C3,C1,21
raw,test,C3,C2,66
raw,test,C3,C3,67
raw,test,C3,C4,41
raw,test,C3,C5,19
raw,test,C3,C6,24
raw,test,C4,C1,17
raw,test,C4,C2,45
raw,test,C4,C3,51
raw,test,C4,C4,71
raw,test,C4,C5,23
raw,test,C4,C6,28
raw,test,C5,C1,45
raw,test,C5,C2,33
raw,test,C5,C3,5
raw,test,C5,C4,38
raw,test,C5,C5,52
raw,test,C5,C6,65
raw,test,C6,C1,39
raw,test,C6,C2,66
raw,test,C6,C3,18
raw,test,C6,C4,19
raw,test,C6,C5,50
raw,test,C6,C6,48
zscore,train,C1,C1,1060
zscore,train,C1,C2,5
zscore,train,C1,C3,2
zscore,train,C1,C4,4
zscore,train,C1,C5,4
