condition,split,n,metric,value
raw,train,6412,accuracy,0.9844042420461634
raw,train,6412,balanced_accuracy,0.9844063688593688
raw,train,6412,macro_f1,0.9844232736329204
raw,train,6412,weighted_f1,0.9844181742224871
raw,train,6412,log_loss,0.37021615499971966
raw,train,6412,brier_multiclass,0.1480600395170273
raw,train,6412,ece_15bin,0.2712598520624011
raw,train,6412,top1_prob_mean,0.7132288330374753
raw,train,6412,top1_prob_p05,0.4198335623537937
raw,train,6412,top1_prob_p25,0.6061728357406118
raw,train,6412,top1_prob_p50,0.7303105073017344
raw,train,6412,top1_prob_p75,0.8371993645277094
raw,train,6412,top1_prob_p95,0.9485816061474216
raw,train,6412,top1_top2_margin_mean,0.5713271383469092
raw,train,6412,top1_top2_margin_p05,0.14805183939085095
raw,train,6412,top1_top2_margin_p25,0.41239138540304815
raw,train,6412,top1_top2_margin_p50,0.5920691334477062
raw,train,6412,top1_top2_margin_p75,0.7490442120574415
raw,train,6412,top1_top2_margin_p95,0.9176873799416064
raw,train,6412,amb_c2_recall,0.9842007434944238
raw,train,6412,amb_c1_c5_c6_internal,0.00777363184079602
raw,train,6412,amb_c3_c4_pair,0.005188679245283019
raw,train,6412,amb_c3_to_c2_absorb,0.0038022813688212928
raw,train,6412,amb_c4_to_c2_absorb,0.0
raw,train,6412,precision_C1,0.9841269841269841
raw,train,6412,recall_C1,0.9795539033457249
raw,train,6412,f1_C1,0.9818351187703773
raw,train,6412,support_C1,1076.0
raw,train,6412,precision_C2,0.9915730337078652
raw,train,6412,recall_C2,0.9842007434944238
raw,train,6412,f1_C2,0.9878731343283582
raw,train,6412,support_C2,1076.0
raw,train,6412,precision_C3,0.9913710450623202
raw,train,6412,recall_C3,0.9828897338403042
raw,train,6412,f1_C3,0.9871121718377088
raw,train,6412,support_C3,1052.0
raw,train,6412,precision_C4,0.9688359303391384
raw,train,6412,recall_C4,0.9897003745318352
raw,train,6412,f1_C4,0.9791570171375636
raw,train,6412,support_C4,1068.0
raw,train,6412,precision_C5,0.9896810506566605
raw,train,6412,recall_C5,0.985981308411215
raw,train,6412,f1_C5,0.9878277153558053
raw,train,6412,support_C5,1070.0
raw,train,6412,precision_C6,0.9813606710158435
raw,train,6412,recall_C6,0.9841121495327103
raw,train,6412,f1_C6,0.9827344843677088
raw,train,6412,support_C6,1070.0
raw,val,1436,accuracy,0.3286908077994429
raw,val,1436,balanced_accuracy,0.3286068876300766
raw,val,1436,macro_f1,0.32299409962878606
raw,val,1436,weighted_f1,0.32296171275110225
raw,val,1436,log_loss,1.825082051651709
raw,val,1436,brier_multiclass,0.8426264539757008
raw,val,1436,ece_15bin,0.215537402582308
raw,val,1436,top1_prob_mean,0.5442282103817508
raw,val,1436,top1_prob_p05,0.30719096636881377
raw,val,1436,top1_prob_p25,0.39957802535593
raw,val,1436,top1_prob_p50,0.5081669428859794
raw,val,1436,top1_prob_p75,0.6654434910886882
raw,val,1436,top1_prob_p95,0.9048418791571267
raw,val,1436,top1_top2_margin_mean,0.3196407257809537
raw,val,1436,top1_top2_margin_p05,0.023835220237222177
raw,val,1436,top1_top2_margin_p25,0.10135811277631523
raw,val,1436,top1_top2_margin_p50,0.2434193586996582
raw,val,1436,top1_top2_margin_p75,0.4918761426644873
raw,val,1436,top1_top2_margin_p95,0.8470950996427644
raw,val,1436,amb_c2_recall,0.5625
raw,val,1436,amb_c1_c5_c6_internal,0.4375
raw,val,1436,amb_c3_c4_pair,0.22899159663865545
raw,val,1436,amb_c3_to_c2_absorb,0.2384937238493724
raw,val,1436,amb_c4_to_c2_absorb,0.16033755274261605
raw,val,1436,precision_C1,0.3295880149812734
raw,val,1436,recall_C1,0.36666666666666664
raw,val,1436,f1_C1,0.34714003944773175
raw,val,1436,support_C1,240.0
raw,val,1436,precision_C2,0.40540540540540543
raw,val,1436,recall_C2,0.5625
raw,val,1436,f1_C2,0.4712041884816754
raw,val,1436,support_C2,240.0
raw,val,1436,precision_C3,0.30526315789473685
raw,val,1436,recall_C3,0.24267782426778242
raw,val,1436,f1_C3,0.2703962703962704
raw,val,1436,support_C3,239.0
raw,val,1436,precision_C4,0.4088397790055249
raw,val,1436,recall_C4,0.31223628691983124
raw,val,1436,f1_C4,0.35406698564593303
raw,val,1436,support_C4,237.0
raw,val,1436,precision_C5,0.25333333333333335
raw,val,1436,recall_C5,0.23651452282157676
raw,val,1436,f1_C5,0.2446351931330472
raw,val,1436,support_C5,241.0
raw,val,1436,precision_C6,0.25
