split,metric,mean,std,median,min,max,n_seeds,values
test,accuracy,0.5073580939032937,0.029986114779726205,0.5206727400140154,0.4730203223545901,0.5283812193412754,3,"0.5284,0.4730,0.5207"
test,accuracy_calibrated,0.5073580939032937,0.029986114779726205,0.5206727400140154,0.4730203223545901,0.5283812193412754,3,"0.5284,0.4730,0.5207"
test,amb_c1_c5_c6_internal,0.3822843822843822,0.0525980746023287,0.3622377622377622,0.3426573426573426,0.4419580419580419,3,"0.3622,0.4420,0.3427"
test,amb_c2_recall,0.6889818688981869,0.06776865056209949,0.7238493723849372,0.6108786610878661,0.7322175732217573,3,"0.7238,0.6109,0.7322"
test,amb_c3_c4_pair,0.2783650458069063,0.00440098519971697,0.2769556025369979,0.2748414376321353,0.2832980972515856,3,"0.2770,0.2748,0.2833"
test,amb_c3_to_c2_absorb,0.22549019607843138,0.043732478980380955,0.2394957983193277,0.1764705882352941,0.2605042016806723,3,"0.2395,0.2605,0.1765"
test,amb_c4_to_c2_absorb,0.1163120567375886,0.05421706341451459,0.0893617021276595,0.0808510638297872,0.1787234042553191,3,"0.0809,0.1787,0.0894"
test,attention_entropy_mean,3.0519327322642007,0.3331852346148003,3.2389304637908936,2.667253017425537,3.249614715576172,3,"3.2496,2.6673,3.2389"
test,balanced_accuracy,0.5074169835370159,0.029999259891213974,0.5207319126965193,0.4730649330219473,0.5284541048925812,3,"0.5285,0.4731,0.5207"
test,balanced_accuracy_calibrated,0.5074169835370159,0.029999259891213974,0.5207319126965193,0.4730649330219473,0.5284541048925812,3,"0.5285,0.4731,0.5207"
test,brier_multiclass,0.6625117267684292,0.06509557136783903,0.6258393968917979,0.6240254614721088,0.7376703219413808,3,"0.6258,0.7377,0.6240"
test,brier_multiclass_calibrated,0.6099359125356156,0.010569990727466377,0.6126421297321348,0.5982759132644774,0.6188896946102347,3,"0.5983,0.6189,0.6126"
test,ece_15bin,0.16773402884418065,0.0928177922352825,0.1339595419548572,0.0965326488352189,0.2727098957424658,3,"0.1340,0.2727,0.0965"
test,ece_15bin_calibrated,0.043834551674577234,0.014616851246664281,0.0504098133808595,0.0270848708108495,0.0540089708320227,3,"0.0540,0.0271,0.0504"
test,f1_C1,0.589398690490181,0.05031680584870524,0.5958429561200924,0.5361702127659574,0.6361829025844931,3,"0.6362,0.5362,0.5958"
test,f1_C2,0.6088004733206778,0.04115083066817639,0.6183745583038869,0.5637065637065637,0.6443202979515829,3,"0.6443,0.5637,0.6184"
