split,metric,mean,std,median,min,max,n_seeds,values
all,ambiguity_confident_C2_count,1523.6666666666667,44.27565169857281,1538.0,1474.0,1559.0,3,"1538.0000,1474.0000,1559.0000"
all,ambiguity_confident_C2_rate,0.1642767295597484,0.004773655169657442,0.165822102425876,0.158921832884097,0.1680862533692722,3,"0.1658,0.1589,0.1681"
all,ambiguity_no_call_count,88.0,24.63736998950984,91.0,62.0,111.0,3,"91.0000,62.0000,111.0000"
all,ambiguity_no_call_rate,0.009487870619946033,0.002656320214502441,0.0098113207547169,0.0066846361185983,0.0119676549865229,3,"0.0098,0.0067,0.0120"
all,ambiguity_pair_c3_c4_count,1602.0,123.84264209067892,1569.0,1498.0,1739.0,3,"1498.0000,1739.0000,1569.0000"
all,ambiguity_pair_c3_c4_rate,0.17272237196765497,0.013352306424871065,0.1691644204851752,0.1615094339622641,0.1874932614555256,3,"0.1615,0.1875,0.1692"
all,ambiguity_pair_plus_c2_absorption_count,1557.0,145.5025772967613,1558.0,1411.0,1702.0,3,"1558.0000,1411.0000,1702.0000"
all,ambiguity_pair_plus_c2_absorption_rate,0.16787061994609162,0.015687609412049754,0.1679784366576819,0.1521293800539083,0.1835040431266846,3,"0.1680,0.1521,0.1835"
all,ambiguity_uncategorized_count,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,ambiguity_uncategorized_rate,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,ambiguity_within_group_c1_c5_c6_count,4504.333333333333,147.51384115849376,4589.0,4334.0,4590.0,3,"4590.0000,4589.0000,4334.0000"
all,ambiguity_within_group_c1_c5_c6_rate,0.4856424079065588,0.015904457267762125,0.4947708894878706,0.467277628032345,0.4948787061994609,3,"0.4949,0.4948,0.4673"
all,class_set_size_0_count,88.0,24.63736998950984,91.0,62.0,111.0,3,"91.0000,62.0000,111.0000"
all,class_set_size_1_count,1523.6666666666667,44.27565169857281,1538.0,1474.0,1559.0,3,"1538.0000,1474.0000,1559.0000"
all,class_set_size_2_count,2470.6666666666665,286.81410936934975,2439.0,2201.0,2772.0,3,"2201.0000,2772.0000,2439.0000"
all,class_set_size_3_count,5192.666666666667,240.1131677633139,5166.0,4967.0,5445.0,3,"5445.0000,4967.0000,5166.0000"
all,flag_anchor_unreliable_count,441.0,0.0,441.0,441.0,441.0,3,"441.0000,441.0000,441.0000"
all,flag_anchor_unreliable_rate,0.0475471698113207,0.0,0.0475471698113207,0.0475471698113207,0.0475471698113207,3,"0.0475,0.0475,0.0475"
all,flag_confident_C2_count,1534.3333333333333,45.796651988254915,1549.0,1483.0,1571.0,3,"1549.0000,1483.0000,1571.0000"
all,flag_confident_C2_rate,0.1654267744833782,0.004937644419218805,0.1670080862533692,0.1598921832884097,0.1693800539083557,3,"0.1670,0.1599,0.1694"
all,flag_low_confidence_no_class_set_count,53.666666666666664,17.61628034896508,59.0,34.0,68.0,3,"59.0000,34.0000,68.0000"
all,flag_low_confidence_no_class_set_rate,0.0057861635220125,0.0018993294176781821,0.0063611859838274,0.00366576819407,0.0073315363881401,3,"0.0064,0.0037,0.0073"
all,flag_pair_ambiguity_c3_c4_count,1602.0,123.84264209067892,1569.0,1498.0,1739.0,3,"1498.0000,1739.0000,1569.0000"
all,flag_pair_ambiguity_c3_c4_rate,0.17272237196765497,0.013352306424871065,0.1691644204851752,0.1615094339622641,0.1874932614555256,3,"0.1615,0.1875,0.1692"
all,flag_pair_plus_c2_absorption_count,1580.6666666666667,151.50687553155248,1579.0,1430.0,1733.0,3,"1579.0000,1430.0000,1733.0000"
all,flag_pair_plus_c2_absorption_rate,0.17042228212039526,0.016334973103132377,0.1702425876010781,0.1541778975741239,0.1868463611859838,3,"0.1702,0.1542,0.1868"
all,flag_posture_unknown_count,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,flag_posture_unknown_rate,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,flag_within_group_ambiguity_c1_c5_c6_count,4504.333333333333,147.51384115849376,4589.0,4334.0,4590.0,3,"4590.0000,4589.0000,4334.0000"
all,flag_within_group_ambiguity_c1_c5_c6_rate,0.4856424079065588,0.015904457267762125,0.4947708894878706,0.467277628032345,0.4948787061994609,3,"0.4949,0.4948,0.4673"
all,level_confident_count,1488.0,45.639894828976104,1502.0,1437.0,1525.0,3,"1502.0000,1437.0000,1525.0000"
all,level_confident_rate,0.16043126684636114,0.0049207433777871895,0.1619407008086253,0.154932614555256,0.1644204851752021,3,"0.1619,0.1549,0.1644"
all,level_hedged_count,7331.333333333333,61.3297100379036,7312.0,7282.0,7400.0,3,"7312.0000,7400.0000,7282.0000"
all,level_hedged_rate,0.7904402515723271,0.006612367659073189,0.7883557951482479,0.7851212938005391,0.7978436657681941,3,"0.7884,0.7978,0.7851"
all,level_low_count,367.6666666666667,9.71253485622231,370.0,357.0,376.0,3,"370.0000,376.0000,357.0000"
all,level_low_rate,0.039640610961365626,0.0010471735694040135,0.0398921832884097,0.0384905660377358,0.0405390835579514,3,"0.0399,0.0405,0.0385"
all,level_no_call_count,88.0,24.63736998950984,91.0,62.0,111.0,3,"91.0000,62.0000,111.0000"
all,level_no_call_rate,0.009487870619946033,0.002656320214502441,0.0098113207547169,0.0066846361185983,0.0119676549865229,3,"0.0098,0.0067,0.0120"
all,no_call_count,88.0,24.63736998950984,91.0,62.0,111.0,3,"91.0000,62.0000,111.0000"
all,no_call_rate,0.009487870619946033,0.002656320214502441,0.0098113207547169,0.0066846361185983,0.0119676549865229,3,"0.0098,0.0067,0.0120"
test,ambiguity_confident_C2_count,284.0,24.515301344262525,283.0,260.0,309.0,3,"283.0000,260.0000,309.0000"
test,ambiguity_confident_C2_rate,0.1990189208128941,0.01717960851034516,0.1983181499649614,0.1822004204625087,0.2165381920112123,3,"0.1983,0.1822,0.2165"
