split,true_class,pred_class,count
train,C1,C1,952
train,C1,C2,0
train,C1,C3,3
train,C1,C4,3
train,C1,C5,88
train,C1,C6,30
train,C2,C1,6
train,C2,C2,934
train,C2,C3,102
train,C2,C4,27
train,C2,C5,5
train,C2,C6,2
train,C3,C1,1
train,C3,C2,39
train,C3,C3,926
train,C3,C4,77
train,C3,C5,5
train,C3,C6,4
train,C4,C1,0
train,C4,C2,11
train,C4,C3,165
train,C4,C4,873
train,C4,C5,16
train,C4,C6,3
train,C5,C1,46
train,C5,C2,8
train,C5,C3,4
train,C5,C4,22
train,C5,C5,936
train,C5,C6,54
train,C6,C1,62
train,C6,C2,11
train,C6,C3,3
train,C6,C4,1
train,C6,C5,28
train,C6,C6,965
val,C1,C1,139
val,C1,C2,13
val,C1,C3,12
val,C1,C4,9
val,C1,C5,53
val,C1,C6,14
val,C2,C1,15
val,C2,C2,154
val,C2,C3,51
val,C2,C4,9
val,C2,C5,11
val,C2,C6,0
val,C3,C1,9
val,C3,C2,39
val,C3,C3,115
val,C3,C4,60
val,C3,C5,10
val,C3,C6,6
val,C4,C1,1
val,C4,C2,10
val,C4,C3,82
val,C4,C4,104
val,C4,C5,25
val,C4,C6,15
val,C5,C1,62
val,C5,C2,12
val,C5,C3,8
val,C5,C4,26
val,C5,C5,106
val,C5,C6,27
val,C6,C1,48
val,C6,C2,7
val,C6,C3,15
val,C6,C4,24
val,C6,C5,33
val,C6,C6,112
test,C1,C1,126
test,C1,C2,11
test,C1,C3,4
test,C1,C4,0
test,C1,C5,67
test,C1,C6,29
test,C2,C1,23
test,C2,C2,146
test,C2,C3,56
test,C2,C4,3
test,C2,C5,9
test,C2,C6,2
test,C3,C1,6
test,C3,C2,62
test,C3,C3,102
test,C3,C4,63
test,C3,C5,5
test,C3,C6,0
test,C4,C1,2
test,C4,C2,42
test,C4,C3,67
test,C4,C4,107
test,C4,C5,10
test,C4,C6,7
test,C5,C1,40
test,C5,C2,5
test,C5,C3,0
test,C5,C4,33
test,C5,C5,104
test,C5,C6,56
test,C6,C1,36
test,C6,C2,13
test,C6,C3,0
test,C6,C4,13
test,C6,C5,88
test,C6,C6,90
