split,metric,value
train,n,6412.0
train,accuracy,0.87117903930131
train,balanced_accuracy,0.8711779142211865
train,macro_f1,0.8716338797644486
train,weighted_f1,0.871825033619777
train,log_loss,0.3396287619678716
train,brier_multiclass,0.18881000040491802
train,ece_15bin,0.04563930712486905
train,top1_prob_mean,0.8258893489837646
train,top1_top2_margin_mean,0.6823247075080872
train,predictive_entropy_mean,0.4297794997692108
train,attention_entropy_mean,2.528453826904297
train,amb_c2_recall,0.8680297397769516
train,amb_c1_c5_c6_internal,0.09577114427860696
train,amb_c3_c4_pair,0.11415094339622642
train,amb_c3_to_c2_absorb,0.0370722433460076
train,amb_c4_to_c2_absorb,0.010299625468164793
train,precision_C1,0.8922211808809747
train,recall_C1,0.8847583643122676
train,f1_C1,0.8884741017265516
train,support_C1,1076.0
train,precision_C2,0.9312063808574277
train,recall_C2,0.8680297397769516
train,f1_C2,0.8985088985088985
train,support_C2,1076.0
train,precision_C3,0.769742310889443
train,recall_C3,0.8802281368821293
train,f1_C3,0.8212860310421286
train,support_C3,1052.0
train,precision_C4,0.8703888334995015
train,recall_C4,0.8174157303370787
train,f1_C4,0.8430709802028006
train,support_C4,1068.0
train,precision_C5,0.8682745825602969
train,recall_C5,0.874766355140187
train,f1_C5,0.8715083798882681
train,support_C5,1070.0
train,precision_C6,0.9120982986767486
train,recall_C6,0.9018691588785047
train,f1_C6,0.9069548872180451
train,support_C6,1070.0
val,n,1436.0
val,accuracy,0.5083565459610028
val,balanced_accuracy,0.5082127864349204
val,macro_f1,0.5097247533591943
val,weighted_f1,0.5098417529599305
val,log_loss,1.937905574532557
val,brier_multiclass,0.7360370606216258
val,ece_15bin,0.2638083559183357
val,top1_prob_mean,0.769619345664978
val,top1_top2_margin_mean,0.5869297385215759
val,predictive_entropy_mean,0.5447149872779846
val,attention_entropy_mean,2.6873602867126465
val,amb_c2_recall,0.6416666666666667
val,amb_c1_c5_c6_internal,0.32916666666666666
val,amb_c3_c4_pair,0.29831932773109243
val,amb_c3_to_c2_absorb,0.16317991631799164
val,amb_c4_to_c2_absorb,0.04219409282700422
val,precision_C1,0.5072992700729927
val,recall_C1,0.5791666666666667
val,f1_C1,0.5408560311284046
val,support_C1,240.0
val,precision_C2,0.6553191489361702
val,recall_C2,0.6416666666666667
val,f1_C2,0.6484210526315789
val,support_C2,240.0
val,precision_C3,0.40636042402826855
val,recall_C3,0.4811715481171548
val,f1_C3,0.44061302681992337
val,support_C3,239.0
val,precision_C4,0.4482758620689655
val,recall_C4,0.4388185654008439
val,f1_C4,0.44349680170575695
val,support_C4,237.0
val,precision_C5,0.44537815126050423
val,recall_C5,0.43983402489626555
val,f1_C5,0.44258872651356995
val,support_C5,241.0
val,precision_C6,0.6436781609195402
val,recall_C6,0.4686192468619247
val,f1_C6,0.5423728813559322
val,support_C6,239.0
test,n,1427.0
test,accuracy,0.4730203223545901
test,balanced_accuracy,0.47306493302194735
test,macro_f1,0.4719722996541647
test,weighted_f1,0.47192637697586676
test,log_loss,1.6344719859742793
test,brier_multiclass,0.7376703219413808
test,ece_15bin,0.27270989574246585
test,top1_prob_mean,0.7457301616668701
test,top1_top2_margin_mean,0.5508033037185669
test,predictive_entropy_mean,0.5981868505477905
test,attention_entropy_mean,2.667253017425537
test,amb_c2_recall,0.6108786610878661
test,amb_c1_c5_c6_internal,0.44195804195804195
test,amb_c3_c4_pair,0.2748414376321353
test,amb_c3_to_c2_absorb,0.2605042016806723
test,amb_c4_to_c2_absorb,0.17872340425531916
test,precision_C1,0.5407725321888412
test,recall_C1,0.5316455696202531
test,f1_C1,0.5361702127659574
test,support_C1,237.0
test,precision_C2,0.5232974910394266
test,recall_C2,0.6108786610878661
test,f1_C2,0.5637065637065637
test,support_C2,239.0
test,precision_C3,0.44541484716157204
test,recall_C3,0.42857142857142855
test,f1_C3,0.43683083511777304
test,support_C3,238.0
test,precision_C4,0.4885844748858447
test,recall_C4,0.4553191489361702
test,f1_C4,0.4713656387665198
test,support_C4,235.0
test,precision_C5,0.3674911660777385
test,recall_C5,0.4369747899159664
test,f1_C5,0.39923224568138194
test,support_C5,238.0
test,precision_C6,0.4891304347826087
test,recall_C6,0.375
test,f1_C6,0.42452830188679247
test,support_C6,240.0
