split,metric,value
train,level_confident_count,979.0
train,level_confident_rate,0.15268247036805987
train,level_hedged_count,5122.0
train,level_hedged_rate,0.7988147223955084
train,level_low_count,236.0
train,level_low_rate,0.036805988771054274
train,level_no_call_count,75.0
train,level_no_call_rate,0.011696818465377417
train,no_call_count,75.0
train,no_call_rate,0.011696818465377417
train,ambiguity_confident_C2_count,1000.0
train,ambiguity_confident_C2_rate,0.15595757953836556
train,ambiguity_within_group_c1_c5_c6_count,3072.0
train,ambiguity_within_group_c1_c5_c6_rate,0.479101684341859
train,ambiguity_pair_c3_c4_count,1097.0
train,ambiguity_pair_c3_c4_rate,0.17108546475358702
train,ambiguity_pair_plus_c2_absorption_count,1168.0
train,ambiguity_pair_plus_c2_absorption_rate,0.18215845290081098
train,ambiguity_no_call_count,75.0
train,ambiguity_no_call_rate,0.011696818465377417
train,ambiguity_uncategorized_count,0.0
train,ambiguity_uncategorized_rate,0.0
train,class_set_size_0_count,75.0
train,class_set_size_1_count,1000.0
train,class_set_size_2_count,1707.0
train,class_set_size_3_count,3630.0
train,flag_pair_plus_c2_absorption_count,1190.0
train,flag_pair_plus_c2_absorption_rate,0.185589519650655
train,flag_posture_unknown_count,0.0
train,flag_posture_unknown_rate,0.0
train,flag_pair_ambiguity_c3_c4_count,1097.0
train,flag_pair_ambiguity_c3_c4_rate,0.17108546475358702
train,flag_low_confidence_no_class_set_count,47.0
train,flag_low_confidence_no_class_set_rate,0.007330006238303182
train,flag_confident_C2_count,1006.0
train,flag_confident_C2_rate,0.15689332501559575
train,flag_anchor_unreliable_count,289.0
train,flag_anchor_unreliable_rate,0.04507174048658765
train,flag_within_group_ambiguity_c1_c5_c6_count,3072.0
train,flag_within_group_ambiguity_c1_c5_c6_rate,0.479101684341859
val,level_confident_count,243.0
val,level_confident_rate,0.1692200557103064
val,level_hedged_count,1118.0
val,level_hedged_rate,0.7785515320334262
val,level_low_count,62.0
val,level_low_rate,0.04317548746518106
val,level_no_call_count,13.0
val,level_no_call_rate,0.009052924791086351
val,no_call_count,13.0
val,no_call_rate,0.009052924791086351
val,ambiguity_confident_C2_count,250.0
val,ambiguity_confident_C2_rate,0.17409470752089137
val,ambiguity_within_group_c1_c5_c6_count,674.0
val,ambiguity_within_group_c1_c5_c6_rate,0.46935933147632314
val,ambiguity_pair_c3_c4_count,251.0
val,ambiguity_pair_c3_c4_rate,0.17479108635097493
val,ambiguity_pair_plus_c2_absorption_count,248.0
val,ambiguity_pair_plus_c2_absorption_rate,0.17270194986072424
val,ambiguity_no_call_count,13.0
val,ambiguity_no_call_rate,0.009052924791086351
val,ambiguity_uncategorized_count,0.0
val,ambiguity_uncategorized_rate,0.0
val,class_set_size_0_count,13.0
val,class_set_size_1_count,250.0
val,class_set_size_2_count,408.0
val,class_set_size_3_count,765.0
val,flag_pair_plus_c2_absorption_count,252.0
val,flag_pair_plus_c2_absorption_rate,0.17548746518105848
val,flag_posture_unknown_count,0.0
val,flag_posture_unknown_rate,0.0
val,flag_pair_ambiguity_c3_c4_count,251.0
val,flag_pair_ambiguity_c3_c4_rate,0.17479108635097493
val,flag_low_confidence_no_class_set_count,6.0
val,flag_low_confidence_no_class_set_rate,0.004178272980501393
val,flag_confident_C2_count,253.0
val,flag_confident_C2_rate,0.17618384401114207
val,flag_anchor_unreliable_count,77.0
val,flag_anchor_unreliable_rate,0.05362116991643454
val,flag_within_group_ambiguity_c1_c5_c6_count,674.0
val,flag_within_group_ambiguity_c1_c5_c6_rate,0.46935933147632314
test,level_confident_count,303.0
test,level_confident_rate,0.212333566923616
test,level_hedged_count,1042.0
test,level_hedged_rate,0.7302032235459005
test,level_low_count,59.0
test,level_low_rate,0.04134548002803083
test,level_no_call_count,23.0
test,level_no_call_rate,0.0161177295024527
test,no_call_count,23.0
test,no_call_rate,0.0161177295024527
test,ambiguity_confident_C2_count,309.0
test,ambiguity_confident_C2_rate,0.21653819201121233
test,ambiguity_within_group_c1_c5_c6_count,588.0
test,ambiguity_within_group_c1_c5_c6_rate,0.41205325858444286
test,ambiguity_pair_c3_c4_count,221.0
test,ambiguity_pair_c3_c4_rate,0.15487035739313246
test,ambiguity_pair_plus_c2_absorption_count,286.0
test,ambiguity_pair_plus_c2_absorption_rate,0.20042046250875964
test,ambiguity_no_call_count,23.0
test,ambiguity_no_call_rate,0.0161177295024527
test,ambiguity_uncategorized_count,0.0
test,ambiguity_uncategorized_rate,0.0
test,class_set_size_0_count,23.0
test,class_set_size_1_count,309.0
test,class_set_size_2_count,324.0
test,class_set_size_3_count,771.0
test,flag_pair_plus_c2_absorption_count,291.0
test,flag_pair_plus_c2_absorption_rate,0.20392431674842326
test,flag_posture_unknown_count,0.0
test,flag_posture_unknown_rate,0.0
test,flag_pair_ambiguity_c3_c4_count,221.0
test,flag_pair_ambiguity_c3_c4_rate,0.15487035739313246
test,flag_low_confidence_no_class_set_count,15.0
test,flag_low_confidence_no_class_set_rate,0.01051156271899089
test,flag_confident_C2_count,312.0
test,flag_confident_C2_rate,0.21864050455501052
test,flag_anchor_unreliable_count,75.0
test,flag_anchor_unreliable_rate,0.05255781359495445
test,flag_within_group_ambiguity_c1_c5_c6_count,588.0
test,flag_within_group_ambiguity_c1_c5_c6_rate,0.41205325858444286
all,level_confident_count,1525.0
all,level_confident_rate,0.16442048517520216
all,level_hedged_count,7282.0
all,level_hedged_rate,0.7851212938005391
all,level_low_count,357.0
all,level_low_rate,0.038490566037735846
all,level_no_call_count,111.0
all,level_no_call_rate,0.011967654986522911
all,no_call_count,111.0
all,no_call_rate,0.011967654986522911
all,ambiguity_confident_C2_count,1559.0
all,ambiguity_confident_C2_rate,0.16808625336927224
all,ambiguity_within_group_c1_c5_c6_count,4334.0
all,ambiguity_within_group_c1_c5_c6_rate,0.467277628032345
all,ambiguity_pair_c3_c4_count,1569.0
all,ambiguity_pair_c3_c4_rate,0.16916442048517522
all,ambiguity_pair_plus_c2_absorption_count,1702.0
all,ambiguity_pair_plus_c2_absorption_rate,0.18350404312668464
all,ambiguity_no_call_count,111.0
all,ambiguity_no_call_rate,0.011967654986522911
all,ambiguity_uncategorized_count,0.0
all,ambiguity_uncategorized_rate,0.0
all,class_set_size_0_count,111.0
all,class_set_size_1_count,1559.0
all,class_set_size_2_count,2439.0
all,class_set_size_3_count,5166.0
all,flag_pair_plus_c2_absorption_count,1733.0
all,flag_pair_plus_c2_absorption_rate,0.18684636118598383
all,flag_posture_unknown_count,0.0
all,flag_posture_unknown_rate,0.0
all,flag_pair_ambiguity_c3_c4_count,1569.0
all,flag_pair_ambiguity_c3_c4_rate,0.16916442048517522
all,flag_low_confidence_no_class_set_count,68.0
all,flag_low_confidence_no_class_set_rate,0.007331536388140162
all,flag_confident_C2_count,1571.0
all,flag_confident_C2_rate,0.16938005390835578
all,flag_anchor_unreliable_count,441.0
all,flag_anchor_unreliable_rate,0.047547169811320754
all,flag_within_group_ambiguity_c1_c5_c6_count,4334.0
all,flag_within_group_ambiguity_c1_c5_c6_rate,0.467277628032345
