split,metric,mean,std,median,min,max,n_seeds,values
test,accuracy,0.5192711983181499,0.010322999202982653,0.5213735108619482,0.5080588647512263,0.5283812193412754,3,"0.5214,0.5081,0.5284"
test,accuracy_calibrated,0.5192711983181499,0.010322999202982653,0.5213735108619482,0.5080588647512263,0.5283812193412754,3,"0.5214,0.5081,0.5284"
test,amb_c1_c5_c6_internal,0.39393939393939387,0.024875191742571773,0.3832167832167832,0.3762237762237762,0.4223776223776224,3,"0.3832,0.4224,0.3762"
test,amb_c2_recall,0.7168758716875873,0.02379180210492608,0.7238493723849372,0.6903765690376569,0.7364016736401674,3,"0.6904,0.7238,0.7364"
test,amb_c3_c4_pair,0.2649753347427766,0.011643912362127086,0.2642706131078224,0.2536997885835095,0.2769556025369979,3,"0.2643,0.2770,0.2537"
test,amb_c3_to_c2_absorb,0.22549019607843132,0.01940673173746644,0.2142857142857142,0.2142857142857142,0.2478991596638655,3,"0.2143,0.2479,0.2143"
test,amb_c4_to_c2_absorb,0.12056737588652477,0.0024568096561260865,0.1191489361702127,0.1191489361702127,0.1234042553191489,3,"0.1234,0.1191,0.1191"
test,attention_entropy_mean,2.69145401318868,0.11383272641127544,2.6790401935577397,2.584336996078491,2.8109848499298096,3,"2.6790,2.8110,2.5843"
test,balanced_accuracy,0.519392740900923,0.010263653905504157,0.5215720392904664,0.5082144552577025,0.5283917281546002,3,"0.5216,0.5082,0.5284"
test,balanced_accuracy_calibrated,0.519392740900923,0.010263653905504157,0.5215720392904664,0.5082144552577025,0.5283917281546002,3,"0.5216,0.5082,0.5284"
test,brier_multiclass,0.6274646705333805,0.0011601760883792962,0.6281338191258877,0.626125014809129,0.6281351776651247,3,"0.6281,0.6261,0.6281"
test,brier_multiclass_calibrated,0.5942131162394414,0.006257175221369944,0.5945535667500232,0.5877926660411336,0.6002931159271672,3,"0.5946,0.6003,0.5878"
test,ece_15bin,0.14193801257800231,0.015218922598993864,0.1414924709422653,0.1269467528791969,0.1573748139125447,3,"0.1415,0.1269,0.1574"
test,ece_15bin_calibrated,0.0418894032337932,0.0050950729893366915,0.0435589452097277,0.0361690165262249,0.045940247965427,3,"0.0362,0.0436,0.0459"
test,f1_C1,0.5831393829246525,0.022537729909199562,0.5869158878504673,0.5589519650655022,0.6035502958579881,3,"0.5869,0.5590,0.6036"
test,f1_C2,0.6489333860739245,0.011030196197274671,0.6431226765799256,0.642023346303502,0.6616541353383458,3,"0.6420,0.6431,0.6617"
test,f1_C3,0.48868433356867474,0.05608847622310373,0.4622425629290618,0.4507042253521127,0.5531062124248497,3,"0.4507,0.4622,0.5531"
test,f1_C4,0.5117863637194032,0.030222337420265557,0.5219123505976095,0.4778012684989429,0.535645472061657,3,"0.5356,0.5219,0.4778"
test,f1_C5,0.3702455504301663,0.02322422537221765,0.3598130841121495,0.354066985645933,0.3968565815324165,3,"0.3541,0.3969,0.3598"
test,f1_C6,0.47422817857901084,0.034209289716187155,0.4674698795180723,0.4439024390243902,0.5113122171945701,3,"0.5113,0.4439,0.4675"
test,log_loss,1.227355245580201,0.04316241976392204,1.2143680749733183,1.1921775634491405,1.2755200983181447,3,"1.2144,1.1922,1.2755"
test,log_loss_calibrated,1.114655128371752,0.004659607256658247,1.116774074446031,1.1093126084708689,1.1178787021983565,3,"1.1168,1.1179,1.1093"
