split,true_class,pred_class,count
train,C1,C1,920
train,C1,C2,27
train,C1,C3,9
train,C1,C4,7
train,C1,C5,74
train,C1,C6,39
train,C2,C1,19
train,C2,C2,918
train,C2,C3,85
train,C2,C4,29
train,C2,C5,20
train,C2,C6,5
train,C3,C1,0
train,C3,C2,141
train,C3,C3,671
train,C3,C4,236
train,C3,C5,1
train,C3,C6,3
train,C4,C1,3
train,C4,C2,38
train,C4,C3,168
train,C4,C4,837
train,C4,C5,13
train,C4,C6,9
train,C5,C1,155
train,C5,C2,33
train,C5,C3,15
train,C5,C4,64
train,C5,C5,694
train,C5,C6,109
train,C6,C1,73
train,C6,C2,23
train,C6,C3,10
train,C6,C4,37
train,C6,C5,106
train,C6,C6,821
val,C1,C1,164
val,C1,C2,9
val,C1,C3,1
val,C1,C4,13
val,C1,C5,38
val,C1,C6,15
val,C2,C1,10
val,C2,C2,181
val,C2,C3,30
val,C2,C4,4
val,C2,C5,9
val,C2,C6,6
val,C3,C1,2
val,C3,C2,49
val,C3,C3,101
val,C3,C4,75
val,C3,C5,4
val,C3,C6,8
val,C4,C1,1
val,C4,C2,20
val,C4,C3,63
val,C4,C4,108
val,C4,C5,20
val,C4,C6,25
val,C5,C1,81
val,C5,C2,8
val,C5,C3,5
val,C5,C4,32
val,C5,C5,77
val,C5,C6,38
val,C6,C1,41
val,C6,C2,11
val,C6,C3,4
val,C6,C4,30
val,C6,C5,31
val,C6,C6,122
test,C1,C1,157
test,C1,C2,13
test,C1,C3,1
test,C1,C4,1
test,C1,C5,38
test,C1,C6,27
test,C2,C1,18
test,C2,C2,165
test,C2,C3,41
test,C2,C4,4
test,C2,C5,6
test,C2,C6,5
test,C3,C1,1
test,C3,C2,51
test,C3,C3,96
test,C3,C4,79
test,C3,C5,3
test,C3,C6,8
test,C4,C1,2
test,C4,C2,29
test,C4,C3,46
test,C4,C4,139
test,C4,C5,14
test,C4,C6,5
test,C5,C1,83
test,C5,C2,7
test,C5,C3,0
test,C5,C4,30
test,C5,C5,74
test,C5,C6,44
test,C6,C1,37
test,C6,C2,10
test,C6,C3,4
test,C6,C4,31
test,C6,C5,45
test,C6,C6,113
