split,metric,value
train,n,6412.0
train,accuracy,0.7623206487835309
train,balanced_accuracy,0.7619533481429029
train,macro_f1,0.7619980673236598
train,weighted_f1,0.7622648488942034
train,log_loss,0.5907560877424392
train,brier_multiclass,0.3321316027290699
train,ece_15bin,0.0740826418501321
train,top1_prob_mean,0.6886789798736572
train,top1_top2_margin_mean,0.466129869222641
train,predictive_entropy_mean,0.7313672304153442
train,attention_entropy_mean,2.6583969593048096
train,amb_c2_recall,0.8559479553903345
train,amb_c1_c5_c6_internal,0.2142412935323383
train,amb_c3_c4_pair,0.18443396226415093
train,amb_c3_to_c2_absorb,0.10836501901140684
train,amb_c4_to_c2_absorb,0.033707865168539325
train,precision_C1,0.7615457115928369
train,recall_C1,0.7509293680297398
train,f1_C1,0.756200280767431
train,support_C1,1076.0
train,precision_C2,0.8349954669084315
train,recall_C2,0.8559479553903345
train,f1_C2,0.8453418999541074
train,support_C2,1076.0
train,precision_C3,0.7341101694915254
train,recall_C3,0.658745247148289
train,f1_C3,0.6943887775551102
train,support_C3,1052.0
train,precision_C4,0.7339945897204689
train,recall_C4,0.7621722846441947
train,f1_C4,0.7478180983004135
train,support_C4,1068.0
train,precision_C5,0.6847290640394089
train,recall_C5,0.7794392523364486
train,f1_C5,0.7290209790209791
train,support_C5,1070.0
train,precision_C6,0.8372569089048106
train,recall_C6,0.7644859813084112
train,f1_C6,0.7992183683439179
train,support_C6,1070.0
val,n,1436.0
val,accuracy,0.504874651810585
val,balanced_accuracy,0.5048754988323291
val,macro_f1,0.5070109767139287
val,weighted_f1,0.5070694992039793
val,log_loss,1.3799541612616582
val,brier_multiclass,0.6449139258379307
val,ece_15bin,0.16284521407652697
val,top1_prob_mean,0.6677199006080627
val,top1_top2_margin_mean,0.4338960349559784
val,predictive_entropy_mean,0.7764010429382324
val,attention_entropy_mean,2.759725332260132
val,amb_c2_recall,0.7041666666666667
val,amb_c1_c5_c6_internal,0.3541666666666667
val,amb_c3_c4_pair,0.2815126050420168
val,amb_c3_to_c2_absorb,0.19246861924686193
val,amb_c4_to_c2_absorb,0.05063291139240506
val,precision_C1,0.5113122171945701
val,recall_C1,0.4708333333333333
val,f1_C1,0.49023861171366595
val,support_C1,240.0
val,precision_C2,0.6653543307086615
val,recall_C2,0.7041666666666667
val,f1_C2,0.6842105263157895
val,support_C2,240.0
val,precision_C3,0.5097087378640777
val,recall_C3,0.4393305439330544
val,f1_C3,0.47191011235955055
val,support_C3,239.0
val,precision_C4,0.391025641025641
val,recall_C4,0.5147679324894515
val,f1_C4,0.4444444444444444
val,support_C4,237.0
val,precision_C5,0.3837638376383764
val,recall_C5,0.4315352697095436
val,f1_C5,0.40625
val,support_C5,241.0
val,precision_C6,0.6511627906976745
val,recall_C6,0.4686192468619247
val,f1_C6,0.5450121654501217
val,support_C6,239.0
test,n,1427.0
test,accuracy,0.5080588647512263
test,balanced_accuracy,0.5082144552577025
test,macro_f1,0.5044980959548176
test,weighted_f1,0.5044355427899438
test,log_loss,1.1921775634491403
test,brier_multiclass,0.626125014809129
test,ece_15bin,0.1269467528791969
test,top1_prob_mean,0.6335852146148682
test,top1_top2_margin_mean,0.3883938193321228
test,predictive_entropy_mean,0.8390740156173706
test,attention_entropy_mean,2.8109848499298096
test,amb_c2_recall,0.7238493723849372
test,amb_c1_c5_c6_internal,0.4223776223776224
test,amb_c3_c4_pair,0.2769556025369979
test,amb_c3_to_c2_absorb,0.24789915966386555
test,amb_c4_to_c2_absorb,0.11914893617021277
test,precision_C1,0.579185520361991
test,recall_C1,0.540084388185654
test,f1_C1,0.5589519650655022
test,support_C1,237.0
test,precision_C2,0.5785953177257525
test,recall_C2,0.7238493723849372
test,f1_C2,0.6431226765799256
test,support_C2,239.0
test,precision_C3,0.507537688442211
test,recall_C3,0.42436974789915966
test,f1_C3,0.4622425629290618
test,support_C3,238.0
test,precision_C4,0.49063670411985016
test,recall_C4,0.5574468085106383
test,f1_C4,0.5219123505976095
test,support_C4,235.0
test,precision_C5,0.3726937269372694
test,recall_C5,0.42436974789915966
test,f1_C5,0.3968565815324165
test,support_C5,238.0
test,precision_C6,0.5352941176470588
test,recall_C6,0.37916666666666665
test,f1_C6,0.44390243902439025
test,support_C6,240.0
