split,metric,value
train,level_confident_count,1121.0
train,level_confident_rate,0.1748284466625078
train,level_hedged_count,5016.0
train,level_hedged_rate,0.7822832189644416
train,level_low_count,238.0
train,level_low_rate,0.03711790393013101
train,level_no_call_count,37.0
train,level_no_call_rate,0.005770430442919526
train,no_call_count,37.0
train,no_call_rate,0.005770430442919526
train,ambiguity_confident_C2_count,1151.0
train,ambiguity_confident_C2_rate,0.17950717404865876
train,ambiguity_within_group_c1_c5_c6_count,3106.0
train,ambiguity_within_group_c1_c5_c6_rate,0.48440424204616345
train,ambiguity_pair_c3_c4_count,1060.0
train,ambiguity_pair_c3_c4_rate,0.1653150343106675
train,ambiguity_pair_plus_c2_absorption_count,1058.0
train,ambiguity_pair_plus_c2_absorption_rate,0.16500311915159077
train,ambiguity_no_call_count,37.0
train,ambiguity_no_call_rate,0.005770430442919526
train,ambiguity_uncategorized_count,0.0
train,ambiguity_uncategorized_rate,0.0
train,class_set_size_0_count,37.0
train,class_set_size_1_count,1151.0
train,class_set_size_2_count,1728.0
train,class_set_size_3_count,3496.0
train,flag_pair_plus_c2_absorption_count,1073.0
train,flag_pair_plus_c2_absorption_rate,0.16734248284466624
train,flag_pair_ambiguity_c3_c4_count,1060.0
train,flag_pair_ambiguity_c3_c4_rate,0.1653150343106675
train,flag_posture_unknown_count,0.0
train,flag_posture_unknown_rate,0.0
train,flag_confident_C2_count,1157.0
train,flag_confident_C2_rate,0.18044291952588895
train,flag_low_confidence_no_class_set_count,16.0
train,flag_low_confidence_no_class_set_rate,0.002495321272613849
train,flag_within_group_ambiguity_c1_c5_c6_count,3106.0
train,flag_within_group_ambiguity_c1_c5_c6_rate,0.48440424204616345
train,flag_anchor_unreliable_count,289.0
train,flag_anchor_unreliable_rate,0.04507174048658765
val,level_confident_count,251.0
val,level_confident_rate,0.17479108635097493
val,level_hedged_count,1105.0
val,level_hedged_rate,0.7694986072423399
val,level_low_count,66.0
val,level_low_rate,0.04596100278551532
val,level_no_call_count,14.0
val,level_no_call_rate,0.009749303621169917
val,no_call_count,14.0
val,no_call_rate,0.009749303621169917
val,ambiguity_confident_C2_count,255.0
val,ambiguity_confident_C2_rate,0.1775766016713092
val,ambiguity_within_group_c1_c5_c6_count,663.0
val,ambiguity_within_group_c1_c5_c6_rate,0.4616991643454039
val,ambiguity_pair_c3_c4_count,253.0
