split,stage,metric,value
train,before,accuracy,0.7960074859638179
train,before,balanced_accuracy,0.795868744869176
train,before,macro_f1,0.7954042870312095
train,before,log_loss,0.5125302458889132
train,before,brier_multiclass,0.2901311649911451
train,before,ece_15bin,0.06316597040229043
train,before,top1_prob_mean,0.7335147857666016
train,before,top1_prob_p25,0.5822612345218658
train,before,top1_prob_p50,0.7395106554031372
train,before,top1_prob_p75,0.9039808660745621
train,before,top1_top2_margin_mean,0.5308799147605896
train,before,predictive_entropy_mean,0.636547863483429
train,before,n,6412.0
train,after,accuracy,0.7960074859638179
train,after,balanced_accuracy,0.795868744869176
train,after,macro_f1,0.7954042870312095
train,after,log_loss,0.6841947186553202
train,after,brier_multiclass,0.3640961381224154
train,after,ece_15bin,0.22313752722550537
train,after,top1_prob_mean,0.5728699564933777
train,after,top1_prob_p25,0.45179951936006546
train,after,top1_prob_p50,0.5489206612110138
train,after,top1_prob_p75,0.6823310554027557
train,after,top1_top2_margin_mean,0.3163304328918457
train,after,predictive_entropy_mean,1.0419044494628906
train,after,n,6412.0
val,before,accuracy,0.5557103064066853
val,before,balanced_accuracy,0.5555477191120753
val,before,macro_f1,0.5521387346108652
val,before,log_loss,1.2532618285901544
val,before,brier_multiclass,0.5970469098228929
val,before,ece_15bin,0.15379503335087746
val,before,top1_prob_mean,0.7091450095176697
val,before,top1_prob_p25,0.562336653470993
val,before,top1_prob_p50,0.6949821710586548
val,before,top1_prob_p75,0.8740722984075546
val,before,top1_top2_margin_mean,0.4933071434497833
val,before,predictive_entropy_mean,0.6859230399131775
val,before,n,1436.0
val,after,accuracy,0.5557103064066853
val,after,balanced_accuracy,0.5555477191120753
val,after,macro_f1,0.5521387346108652
val,after,log_loss,1.0715420672785212
val,after,brier_multiclass,0.557870876145108
val,after,ece_15bin,0.023286208043440462
val,after,top1_prob_mean,0.553608238697052
val,after,top1_prob_p25,0.43172306567430496
val,after,top1_prob_p50,0.5246865749359131
val,after,top1_prob_p75,0.6486708670854568
val,after,top1_top2_margin_mean,0.2906827926635742
val,after,predictive_entropy_mean,1.0705114603042603
val,after,n,1436.0
test,before,accuracy,0.5283812193412754
test,before,balanced_accuracy,0.5283917281546002
test,before,macro_f1,0.5205658126250582
test,before,log_loss,1.2755200992935412
test,before,brier_multiclass,0.628133821030709
test,before,ece_15bin,0.15737481359927574
test,before,top1_prob_mean,0.6857560276985168
test,before,top1_prob_p25,0.5360543727874756
test,before,top1_prob_p50,0.6709374785423279
test,before,top1_prob_p75,0.8466711044311523
test,before,top1_top2_margin_mean,0.4600444734096527
test,before,predictive_entropy_mean,0.735445499420166
test,before,n,1427.0
test,after,accuracy,0.5283812193412754
test,after,balanced_accuracy,0.5283917281546002
test,after,macro_f1,0.5205658126250582
test,after,log_loss,1.1093126084708687
test,after,brier_multiclass,0.5877926660411336
test,after,ece_15bin,0.04594024796542707
test,after,top1_prob_mean,0.5298524498939514
test,after,top1_prob_p25,0.40938179194927216
test,after,top1_prob_p50,0.5019331574440002
test,after,top1_prob_p75,0.6283881962299347
test,after,top1_top2_margin_mean,0.26404523849487305
test,after,predictive_entropy_mean,1.123999834060669
test,after,n,1427.0
—,—,fitted_temperature,2.0157711505889893
—,—,lbfgs_n_closures,19.0
—,—,final_val_nll,1.0715422630310059
