split,metric,value
train,n,6412.0
train,accuracy,0.8800686213349969
train,balanced_accuracy,0.8800916129054529
train,macro_f1,0.8806525547056379
train,weighted_f1,0.8808126446026757
train,log_loss,0.3219569449754866
train,brier_multiclass,0.17828380242445516
train,ece_15bin,0.0521986294614473
train,top1_prob_mean,0.8285226821899414
train,top1_top2_margin_mean,0.6876198649406433
train,predictive_entropy_mean,0.4264709949493408
train,attention_entropy_mean,2.7576940059661865
train,amb_c2_recall,0.912639405204461
train,amb_c1_c5_c6_internal,0.09732587064676616
train,amb_c3_c4_pair,0.10141509433962265
train,amb_c3_to_c2_absorb,0.04657794676806084
train,amb_c4_to_c2_absorb,0.014044943820224719
train,precision_C1,0.929342492639843
train,recall_C1,0.8801115241635687
train,f1_C1,0.9040572792362769
train,support_C1,1076.0
train,precision_C2,0.9143389199255121
train,recall_C2,0.912639405204461
train,f1_C2,0.9134883720930232
train,support_C2,1076.0
train,precision_C3,0.7908713692946058
train,recall_C3,0.905893536121673
train,f1_C3,0.8444838280903855
train,support_C3,1052.0
train,precision_C4,0.9086188992731049
train,recall_C4,0.8192883895131086
train,f1_C4,0.8616445100935499
train,support_C4,1068.0
train,precision_C5,0.8198275862068966
train,recall_C5,0.888785046728972
train,f1_C5,0.852914798206278
train,support_C5,1070.0
train,precision_C6,0.9434914228052472
train,recall_C6,0.8738317757009346
train,f1_C6,0.9073265405143135
train,support_C6,1070.0
val,n,1436.0
val,accuracy,0.5250696378830083
val,balanced_accuracy,0.5247335278043511
val,macro_f1,0.5262660509193341
val,weighted_f1,0.5265519207900137
val,log_loss,1.6859305806049267
val,brier_multiclass,0.6992183421441086
val,ece_15bin,0.2564687242207421
val,top1_prob_mean,0.7791821360588074
val,top1_top2_margin_mean,0.6072247624397278
val,predictive_entropy_mean,0.539800763130188
val,attention_entropy_mean,2.921844959259033
val,amb_c2_recall,0.7041666666666667
val,amb_c1_c5_c6_internal,0.3111111111111111
val,amb_c3_c4_pair,0.35084033613445376
val,amb_c3_to_c2_absorb,0.17154811715481172
val,amb_c4_to_c2_absorb,0.03375527426160337
val,precision_C1,0.6188340807174888
val,recall_C1,0.575
val,f1_C1,0.5961123110151187
val,support_C1,240.0
val,precision_C2,0.6842105263157895
val,recall_C2,0.7041666666666667
val,f1_C2,0.6940451745379876
val,support_C2,240.0
val,precision_C3,0.4061433447098976
val,recall_C3,0.497907949790795
val,f1_C3,0.4473684210526316
val,support_C3,239.0
val,precision_C4,0.4090909090909091
val,recall_C4,0.379746835443038
val,f1_C4,0.3938730853391685
val,support_C4,237.0
val,precision_C5,0.45692883895131087
val,recall_C5,0.5062240663900415
val,f1_C5,0.48031496062992124
val,support_C5,241.0
val,precision_C6,0.6236559139784946
val,recall_C6,0.48535564853556484
val,f1_C6,0.5458823529411765
val,support_C6,239.0
test,n,1427.0
test,accuracy,0.4940434477925718
test,balanced_accuracy,0.4940868485828744
test,macro_f1,0.49402196436696766
test,weighted_f1,0.49399372749090253
test,log_loss,1.6635081028013923
test,brier_multiclass,0.7221434471795479
test,ece_15bin,0.26608566312248594
test,top1_prob_mean,0.7601292133331299
test,top1_top2_margin_mean,0.5783082842826843
test,predictive_entropy_mean,0.5809933543205261
test,attention_entropy_mean,2.9409732818603516
test,amb_c2_recall,0.606694560669456
test,amb_c1_c5_c6_internal,0.4013986013986014
test,amb_c3_c4_pair,0.2642706131078224
test,amb_c3_to_c2_absorb,0.23109243697478993
test,amb_c4_to_c2_absorb,0.1148936170212766
test,precision_C1,0.575
test,recall_C1,0.48523206751054854
test,f1_C1,0.5263157894736842
test,support_C1,237.0
test,precision_C2,0.5330882352941176
test,recall_C2,0.606694560669456
test,f1_C2,0.5675146771037182
test,support_C2,239.0
test,precision_C3,0.492
test,recall_C3,0.5168067226890757
test,f1_C3,0.5040983606557377
test,support_C3,238.0
test,precision_C4,0.49377593360995853
test,recall_C4,0.5063829787234042
test,f1_C4,0.5
test,support_C4,235.0
test,precision_C5,0.38202247191011235
test,recall_C5,0.42857142857142855
test,f1_C5,0.403960396039604
test,support_C5,238.0
test,precision_C6,0.5126903553299492
test,recall_C6,0.42083333333333334
test,f1_C6,0.4622425629290618
test,support_C6,240.0
