split,metric,value
train,level_confident_count,1032.0
train,level_confident_rate,0.16094822208359327
train,level_hedged_count,5113.0
train,level_hedged_rate,0.7974111041796631
train,level_low_count,239.0
train,level_low_rate,0.03727386150966937
train,level_no_call_count,28.0
train,level_no_call_rate,0.004366812227074236
train,no_call_count,28.0
train,no_call_rate,0.004366812227074236
train,ambiguity_confident_C2_count,1059.0
train,ambiguity_confident_C2_rate,0.16515907673112915
train,ambiguity_within_group_c1_c5_c6_count,3170.0
train,ambiguity_within_group_c1_c5_c6_rate,0.4943855271366188
train,ambiguity_pair_c3_c4_count,1137.0
train,ambiguity_pair_c3_c4_rate,0.17732376793512164
train,ambiguity_pair_plus_c2_absorption_count,1018.0
train,ambiguity_pair_plus_c2_absorption_rate,0.15876481597005615
train,ambiguity_no_call_count,28.0
train,ambiguity_no_call_rate,0.004366812227074236
train,ambiguity_uncategorized_count,0.0
train,ambiguity_uncategorized_rate,0.0
train,class_set_size_0_count,28.0
train,class_set_size_1_count,1059.0
train,class_set_size_2_count,1830.0
train,class_set_size_3_count,3495.0
train,flag_anchor_unreliable_count,289.0
train,flag_anchor_unreliable_rate,0.04507174048658765
train,flag_within_group_ambiguity_c1_c5_c6_count,3170.0
train,flag_within_group_ambiguity_c1_c5_c6_rate,0.4943855271366188
train,flag_low_confidence_no_class_set_count,6.0
train,flag_low_confidence_no_class_set_rate,0.0009357454772301934
train,flag_pair_plus_c2_absorption_count,1031.0
train,flag_pair_plus_c2_absorption_rate,0.1607922645040549
train,flag_pair_ambiguity_c3_c4_count,1137.0
train,flag_pair_ambiguity_c3_c4_rate,0.17732376793512164
train,flag_confident_C2_count,1068.0
train,flag_confident_C2_rate,0.16656269494697443
train,flag_posture_unknown_count,0.0
train,flag_posture_unknown_rate,0.0
val,level_confident_count,235.0
val,level_confident_rate,0.16364902506963788
val,level_hedged_count,1124.0
val,level_hedged_rate,0.7827298050139275
val,level_low_count,67.0
val,level_low_rate,0.04665738161559889
val,level_no_call_count,10.0
val,level_no_call_rate,0.006963788300835654
val,no_call_count,10.0
val,no_call_rate,0.006963788300835654
val,ambiguity_confident_C2_count,240.0
val,ambiguity_confident_C2_rate,0.1671309192200557
val,ambiguity_within_group_c1_c5_c6_count,676.0
val,ambiguity_within_group_c1_c5_c6_rate,0.47075208913649025
val,ambiguity_pair_c3_c4_count,256.0
val,ambiguity_pair_c3_c4_rate,0.17827298050139276
val,ambiguity_pair_plus_c2_absorption_count,254.0
val,ambiguity_pair_plus_c2_absorption_rate,0.17688022284122562
val,ambiguity_no_call_count,10.0
val,ambiguity_no_call_rate,0.006963788300835654
val,ambiguity_uncategorized_count,0.0
val,ambiguity_uncategorized_rate,0.0
val,class_set_size_0_count,10.0
val,class_set_size_1_count,240.0
val,class_set_size_2_count,391.0
val,class_set_size_3_count,795.0
val,flag_anchor_unreliable_count,77.0
val,flag_anchor_unreliable_rate,0.05362116991643454
val,flag_within_group_ambiguity_c1_c5_c6_count,676.0
val,flag_within_group_ambiguity_c1_c5_c6_rate,0.47075208913649025
val,flag_low_confidence_no_class_set_count,6.0
val,flag_low_confidence_no_class_set_rate,0.004178272980501393
val,flag_pair_plus_c2_absorption_count,257.0
val,flag_pair_plus_c2_absorption_rate,0.1789693593314763
val,flag_pair_ambiguity_c3_c4_count,256.0
val,flag_pair_ambiguity_c3_c4_rate,0.17827298050139276
val,flag_confident_C2_count,241.0
val,flag_confident_C2_rate,0.16782729805013927
val,flag_posture_unknown_count,0.0
val,flag_posture_unknown_rate,0.0
test,level_confident_count,260.0
test,level_confident_rate,0.18220042046250876
test,level_hedged_count,1093.0
test,level_hedged_rate,0.7659425367904695
test,level_low_count,66.0
test,level_low_rate,0.046250875963559916
test,level_no_call_count,8.0
test,level_no_call_rate,0.005606166783461808
test,no_call_count,8.0
test,no_call_rate,0.005606166783461808
test,ambiguity_confident_C2_count,266.0
test,ambiguity_confident_C2_rate,0.18640504555010512
test,ambiguity_within_group_c1_c5_c6_count,664.0
test,ambiguity_within_group_c1_c5_c6_rate,0.4653118430273301
test,ambiguity_pair_c3_c4_count,221.0
test,ambiguity_pair_c3_c4_rate,0.15487035739313246
test,ambiguity_pair_plus_c2_absorption_count,268.0
test,ambiguity_pair_plus_c2_absorption_rate,0.18780658724597057
test,ambiguity_no_call_count,8.0
test,ambiguity_no_call_rate,0.005606166783461808
test,ambiguity_uncategorized_count,0.0
test,ambiguity_uncategorized_rate,0.0
test,class_set_size_0_count,8.0
test,class_set_size_1_count,266.0
test,class_set_size_2_count,314.0
test,class_set_size_3_count,839.0
test,flag_anchor_unreliable_count,75.0
test,flag_anchor_unreliable_rate,0.05255781359495445
test,flag_within_group_ambiguity_c1_c5_c6_count,664.0
test,flag_within_group_ambiguity_c1_c5_c6_rate,0.4653118430273301
test,flag_low_confidence_no_class_set_count,5.0
test,flag_low_confidence_no_class_set_rate,0.00350385423966363
test,flag_pair_plus_c2_absorption_count,270.0
test,flag_pair_plus_c2_absorption_rate,0.18920812894183603
test,flag_pair_ambiguity_c3_c4_count,221.0
test,flag_pair_ambiguity_c3_c4_rate,0.15487035739313246
test,flag_confident_C2_count,267.0
test,flag_confident_C2_rate,0.18710581639803783
test,flag_posture_unknown_count,0.0
test,flag_posture_unknown_rate,0.0
all,level_confident_count,1527.0
all,level_confident_rate,0.16463611859838276
all,level_hedged_count,7330.0
all,level_hedged_rate,0.7902964959568733
all,level_low_count,372.0
all,level_low_rate,0.0401078167115903
all,level_no_call_count,46.0
all,level_no_call_rate,0.004959568733153639
all,no_call_count,46.0
all,no_call_rate,0.004959568733153639
all,ambiguity_confident_C2_count,1565.0
all,ambiguity_confident_C2_rate,0.16873315363881403
all,ambiguity_within_group_c1_c5_c6_count,4510.0
all,ambiguity_within_group_c1_c5_c6_rate,0.4862533692722372
all,ambiguity_pair_c3_c4_count,1614.0
all,ambiguity_pair_c3_c4_rate,0.17401617250673854
all,ambiguity_pair_plus_c2_absorption_count,1540.0
all,ambiguity_pair_plus_c2_absorption_rate,0.1660377358490566
all,ambiguity_no_call_count,46.0
all,ambiguity_no_call_rate,0.004959568733153639
all,ambiguity_uncategorized_count,0.0
all,ambiguity_uncategorized_rate,0.0
all,class_set_size_0_count,46.0
all,class_set_size_1_count,1565.0
all,class_set_size_2_count,2535.0
all,class_set_size_3_count,5129.0
all,flag_anchor_unreliable_count,441.0
all,flag_anchor_unreliable_rate,0.047547169811320754
all,flag_within_group_ambiguity_c1_c5_c6_count,4510.0
all,flag_within_group_ambiguity_c1_c5_c6_rate,0.4862533692722372
all,flag_low_confidence_no_class_set_count,17.0
all,flag_low_confidence_no_class_set_rate,0.0018328840970350405
all,flag_pair_plus_c2_absorption_count,1558.0
all,flag_pair_plus_c2_absorption_rate,0.16797843665768195
all,flag_pair_ambiguity_c3_c4_count,1614.0
all,flag_pair_ambiguity_c3_c4_rate,0.17401617250673854
all,flag_confident_C2_count,1576.0
all,flag_confident_C2_rate,0.16991913746630727
all,flag_posture_unknown_count,0.0
all,flag_posture_unknown_rate,0.0
