split,true_class,pred_class,count
train,C1,C1,818
train,C1,C2,54
train,C1,C3,4
train,C1,C4,15
train,C1,C5,111
train,C1,C6,74
train,C2,C1,27
train,C2,C2,867
train,C2,C3,105
train,C2,C4,46
train,C2,C5,20
train,C2,C6,11
train,C3,C1,5
train,C3,C2,179
train,C3,C3,555
train,C3,C4,293
train,C3,C5,9
train,C3,C6,11
train,C4,C1,8
train,C4,C2,65
train,C4,C3,228
train,C4,C4,703
train,C4,C5,40
train,C4,C6,24
train,C5,C1,230
train,C5,C2,32
train,C5,C3,10
train,C5,C4,93
train,C5,C5,553
train,C5,C6,152
train,C6,C1,127
train,C6,C2,28
train,C6,C3,10
train,C6,C4,59
train,C6,C5,141
train,C6,C6,705
val,C1,C1,145
val,C1,C2,15
val,C1,C3,3
val,C1,C4,16
val,C1,C5,45
val,C1,C6,16
val,C2,C1,8
val,C2,C2,181
val,C2,C3,31
val,C2,C4,16
val,C2,C5,3
val,C2,C6,1
val,C3,C1,2
val,C3,C2,34
val,C3,C3,107
val,C3,C4,78
val,C3,C5,2
val,C3,C6,16
val,C4,C1,0
val,C4,C2,15
val,C4,C3,52
val,C4,C4,126
val,C4,C5,5
val,C4,C6,39
val,C5,C1,64
val,C5,C2,16
val,C5,C3,3
val,C5,C4,32
val,C5,C5,86
val,C5,C6,40
val,C6,C1,34
val,C6,C2,5
val,C6,C3,4
val,C6,C4,25
val,C6,C5,28
val,C6,C6,143
test,C1,C1,155
test,C1,C2,14
test,C1,C3,2
test,C1,C4,3
test,C1,C5,32
test,C1,C6,31
test,C2,C1,10
test,C2,C2,181
test,C2,C3,39
test,C2,C4,2
test,C2,C5,5
test,C2,C6,2
test,C3,C1,1
test,C3,C2,60
test,C3,C3,116
test,C3,C4,57
test,C3,C5,0
test,C3,C6,4
test,C4,C1,0
test,C4,C2,18
test,C4,C3,54
test,C4,C4,150
test,C4,C5,4
test,C4,C6,9
test,C5,C1,56
test,C5,C2,17
test,C5,C3,0
test,C5,C4,39
test,C5,C5,76
test,C5,C6,50
test,C6,C1,31
test,C6,C2,27
test,C6,C3,0
test,C6,C4,25
test,C6,C5,51
test,C6,C6,106
