split,metric,mean,std,median,min,max,n_seeds,values
all,ambiguity_confident_C2_count,1731.6666666666667,244.94148961197516,1624.0,1559.0,2012.0,3,"2012.0000,1624.0000,1559.0000"
all,ambiguity_confident_C2_rate,0.18670260557053006,0.026408785941991912,0.1750943396226415,0.1680862533692722,0.2169272237196765,3,"0.2169,0.1751,0.1681"
all,ambiguity_no_call_count,143.66666666666666,108.96023739572769,127.0,44.0,260.0,3,"127.0000,260.0000,44.0000"
all,ambiguity_no_call_rate,0.015489667565139198,0.01174773449010539,0.0136927223719676,0.004743935309973,0.028032345013477,3,"0.0137,0.0280,0.0047"
all,ambiguity_pair_c3_c4_count,1490.3333333333333,71.44461724534139,1527.0,1408.0,1536.0,3,"1408.0000,1527.0000,1536.0000"
all,ambiguity_pair_c3_c4_rate,0.16068283917340517,0.007702923692220113,0.1646361185983827,0.1518059299191374,0.1656064690026954,3,"0.1518,0.1646,0.1656"
all,ambiguity_pair_plus_c2_absorption_count,1501.6666666666667,176.50023607160793,1480.0,1337.0,1688.0,3,"1337.0000,1480.0000,1688.0000"
all,ambiguity_pair_plus_c2_absorption_rate,0.16190476190476186,0.019029675048151767,0.1595687331536388,0.1441509433962264,0.1819946091644204,3,"0.1442,0.1596,0.1820"
all,ambiguity_uncategorized_count,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,ambiguity_uncategorized_rate,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,ambiguity_within_group_c1_c5_c6_count,4407.666666666667,35.10460558578223,4391.0,4384.0,4448.0,3,"4391.0000,4384.0000,4448.0000"
all,ambiguity_within_group_c1_c5_c6_rate,0.47522012578616346,0.0037848631359333963,0.4734231805929919,0.4726684636118598,0.4795687331536388,3,"0.4734,0.4727,0.4796"
all,class_set_size_0_count,143.66666666666666,108.96023739572769,127.0,44.0,260.0,3,"127.0000,260.0000,44.0000"
all,class_set_size_1_count,1731.6666666666667,244.94148961197516,1624.0,1559.0,2012.0,3,"2012.0000,1624.0000,1559.0000"
all,class_set_size_2_count,2289.3333333333335,115.80299362854716,2299.0,2169.0,2400.0,3,"2169.0000,2400.0000,2299.0000"
all,class_set_size_3_count,5110.333333333333,227.7923030599,4991.0,4967.0,5373.0,3,"4967.0000,4991.0000,5373.0000"
all,flag_anchor_unreliable_count,441.0,0.0,441.0,441.0,441.0,3,"441.0000,441.0000,441.0000"
all,flag_anchor_unreliable_rate,0.0475471698113207,0.0,0.0475471698113207,0.0475471698113207,0.0475471698113207,3,"0.0475,0.0475,0.0475"
all,flag_confident_C2_count,1743.3333333333333,247.14638037675834,1636.0,1568.0,2026.0,3,"2026.0000,1636.0000,1568.0000"
all,flag_confident_C2_rate,0.18796046720575021,0.026646510013666694,0.176388140161725,0.1690566037735849,0.2184366576819407,3,"0.2184,0.1764,0.1691"
all,flag_low_confidence_no_class_set_count,110.33333333333333,107.31418048577426,91.0,14.0,226.0,3,"91.0000,226.0000,14.0000"
all,flag_low_confidence_no_class_set_rate,0.011895777178796,0.011570262046983774,0.0098113207547169,0.0015094339622641,0.024366576819407,3,"0.0098,0.0244,0.0015"
all,flag_pair_ambiguity_c3_c4_count,1490.3333333333333,71.44461724534139,1527.0,1408.0,1536.0,3,"1408.0000,1527.0000,1536.0000"
all,flag_pair_ambiguity_c3_c4_rate,0.16068283917340517,0.007702923692220113,0.1646361185983827,0.1518059299191374,0.1656064690026954,3,"0.1518,0.1646,0.1656"
all,flag_pair_plus_c2_absorption_count,1523.3333333333333,175.9725357359305,1502.0,1359.0,1709.0,3,"1359.0000,1502.0000,1709.0000"
all,flag_pair_plus_c2_absorption_rate,0.16424079065588496,0.018972780133253972,0.1619407008086253,0.1465229110512129,0.1842587601078167,3,"0.1465,0.1619,0.1843"
all,flag_posture_unknown_count,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,flag_posture_unknown_rate,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,flag_within_group_ambiguity_c1_c5_c6_count,4407.666666666667,35.10460558578223,4391.0,4384.0,4448.0,3,"4391.0000,4384.0000,4448.0000"
all,flag_within_group_ambiguity_c1_c5_c6_rate,0.47522012578616346,0.0037848631359333963,0.4734231805929919,0.4726684636118598,0.4795687331536388,3,"0.4734,0.4727,0.4796"
all,level_confident_count,1689.0,238.82210952924774,1579.0,1525.0,1963.0,3,"1963.0000,1579.0000,1525.0000"
all,level_confident_rate,0.18210242587601075,0.025749014504501126,0.1702425876010781,0.1644204851752021,0.211644204851752,3,"0.2116,0.1702,0.1644"
all,level_hedged_count,7081.333333333333,247.00269904058402,7080.0,6835.0,7329.0,3,"6835.0000,7080.0000,7329.0000"
all,level_hedged_rate,0.7634860736747529,0.026631018764483448,0.7633423180592992,0.7369272237196766,0.790188679245283,3,"0.7369,0.7633,0.7902"
all,level_low_count,361.0,14.177446878757825,356.0,350.0,377.0,3,"350.0000,356.0000,377.0000"
all,level_low_rate,0.03892183288409697,0.0015285657012137745,0.0383827493261455,0.0377358490566037,0.0406469002695417,3,"0.0377,0.0384,0.0406"
all,level_no_call_count,143.66666666666666,108.96023739572769,127.0,44.0,260.0,3,"127.0000,260.0000,44.0000"
all,level_no_call_rate,0.015489667565139198,0.01174773449010539,0.0136927223719676,0.004743935309973,0.028032345013477,3,"0.0137,0.0280,0.0047"
all,no_call_count,143.66666666666666,108.96023739572769,127.0,44.0,260.0,3,"127.0000,260.0000,44.0000"
all,no_call_rate,0.015489667565139198,0.01174773449010539,0.0136927223719676,0.004743935309973,0.028032345013477,3,"0.0137,0.0280,0.0047"
test,ambiguity_confident_C2_count,288.6666666666667,33.30665599145813,278.0,262.0,326.0,3,"326.0000,262.0000,278.0000"
test,ambiguity_confident_C2_rate,0.20228918476991353,0.023340333560937683,0.1948142957252978,0.1836019621583742,0.2284512964260686,3,"0.2285,0.1836,0.1948"
test,ambiguity_no_call_count,29.333333333333332,21.594752448994022,27.0,9.0,52.0,3,"27.0000,52.0000,9.0000"
test,ambiguity_no_call_rate,0.020555944872693264,0.015132972984578838,0.0189208128941836,0.0063069376313945,0.0364400840925017,3,"0.0189,0.0364,0.0063"
test,ambiguity_pair_c3_c4_count,221.33333333333334,17.50238079043344,221.0,204.0,239.0,3,"221.0000,239.0000,204.0000"
test,ambiguity_pair_c3_c4_rate,0.15510394767577665,0.012265158227353485,0.1548703573931324,0.1429572529782761,0.1674842326559215,3,"0.1549,0.1675,0.1430"
test,ambiguity_pair_plus_c2_absorption_count,246.0,31.575306807693888,233.0,223.0,282.0,3,"223.0000,233.0000,282.0000"
test,ambiguity_pair_plus_c2_absorption_rate,0.17238962859145054,0.022127054525363652,0.1632796075683251,0.1562718990889978,0.1976173791170287,3,"0.1563,0.1633,0.1976"
test,ambiguity_uncategorized_count,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
test,ambiguity_uncategorized_rate,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
test,ambiguity_within_group_c1_c5_c6_count,641.6666666666666,12.013880860626733,641.0,630.0,654.0,3,"630.0000,641.0000,654.0000"
test,ambiguity_within_group_c1_c5_c6_rate,0.44966129409016586,0.008418977477664133,0.4491941135248773,0.4414856341976174,0.4583041345480028,3,"0.4415,0.4492,0.4583"
test,class_set_size_0_count,29.333333333333332,21.594752448994022,27.0,9.0,52.0,3,"27.0000,52.0000,9.0000"
test,class_set_size_1_count,288.6666666666667,33.30665599145813,278.0,262.0,326.0,3,"326.0000,262.0000,278.0000"
test,class_set_size_2_count,301.3333333333333,22.898325994127458,294.0,283.0,327.0,3,"294.0000,327.0000,283.0000"
test,class_set_size_3_count,807.6666666666666,42.82911782109612,786.0,780.0,857.0,3,"780.0000,786.0000,857.0000"
test,flag_anchor_unreliable_count,75.0,0.0,75.0,75.0,75.0,3,"75.0000,75.0000,75.0000"
test,flag_anchor_unreliable_rate,0.0525578135949544,0.0,0.0525578135949544,0.0525578135949544,0.0525578135949544,3,"0.0526,0.0526,0.0526"
test,flag_confident_C2_count,290.6666666666667,32.34707611722168,280.0,265.0,327.0,3,"327.0000,265.0000,280.0000"
test,flag_confident_C2_rate,0.203690726465779,0.022667887958809915,0.1962158374211632,0.1857042747021723,0.2291520672740014,3,"0.2292,0.1857,0.1962"
test,flag_low_confidence_no_class_set_count,25.666666666666668,22.120880030716076,23.0,5.0,49.0,3,"23.0000,49.0000,5.0000"
test,flag_low_confidence_no_class_set_rate,0.017986451763606602,0.015501667856142987,0.0161177295024527,0.0035038542396636,0.0343377715487035,3,"0.0161,0.0343,0.0035"
test,flag_pair_ambiguity_c3_c4_count,221.33333333333334,17.50238079043344,221.0,204.0,239.0,3,"221.0000,239.0000,204.0000"
test,flag_pair_ambiguity_c3_c4_rate,0.15510394767577665,0.012265158227353485,0.1548703573931324,0.1429572529782761,0.1674842326559215,3,"0.1549,0.1675,0.1430"
test,flag_pair_plus_c2_absorption_count,247.66666666666666,31.659648345067467,233.0,226.0,284.0,3,"226.0000,233.0000,284.0000"
test,flag_pair_plus_c2_absorption_rate,0.17355758000467172,0.02218615861602485,0.1632796075683251,0.158374211632796,0.1990189208128941,3,"0.1584,0.1633,0.1990"
test,flag_posture_unknown_count,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
test,flag_posture_unknown_rate,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
test,flag_within_group_ambiguity_c1_c5_c6_count,641.6666666666666,12.013880860626733,641.0,630.0,654.0,3,"630.0000,641.0000,654.0000"
test,flag_within_group_ambiguity_c1_c5_c6_rate,0.44966129409016586,0.008418977477664133,0.4491941135248773,0.4414856341976174,0.4583041345480028,3,"0.4415,0.4492,0.4583"
test,level_confident_count,283.3333333333333,34.42867022313428,272.0,256.0,322.0,3,"322.0000,256.0000,272.0000"
test,level_confident_rate,0.19855174024760566,0.024126608425462014,0.1906096706377014,0.1793973370707778,0.2256482130343377,3,"0.2256,0.1794,0.1906"
test,level_hedged_count,1048.6666666666667,34.70350606687073,1053.0,1012.0,1081.0,3,"1012.0000,1053.0000,1081.0000"
test,level_hedged_rate,0.7348750291987853,0.024319205372719522,0.7379117028731604,0.7091800981079187,0.7575332866152769,3,"0.7092,0.7379,0.7575"
test,level_low_count,65.66666666666667,0.5773502691896257,66.0,65.0,66.0,3,"66.0000,66.0000,65.0000"
test,level_low_rate,0.04601728568091564,0.0004045902376942465,0.0462508759635599,0.0455501051156271,0.0462508759635599,3,"0.0463,0.0463,0.0456"
test,level_no_call_count,29.333333333333332,21.594752448994022,27.0,9.0,52.0,3,"27.0000,52.0000,9.0000"
test,level_no_call_rate,0.020555944872693264,0.015132972984578838,0.0189208128941836,0.0063069376313945,0.0364400840925017,3,"0.0189,0.0364,0.0063"
test,no_call_count,29.333333333333332,21.594752448994022,27.0,9.0,52.0,3,"27.0000,52.0000,9.0000"
test,no_call_rate,0.020555944872693264,0.015132972984578838,0.0189208128941836,0.0063069376313945,0.0364400840925017,3,"0.0189,0.0364,0.0063"
train,ambiguity_confident_C2_count,1174.6666666666667,187.33481612699046,1099.0,1037.0,1388.0,3,"1388.0000,1099.0000,1037.0000"
train,ambiguity_confident_C2_rate,0.1831981700977334,0.02921628448643021,0.1713973799126637,0.1617280099812851,0.2164691203992514,3,"0.2165,0.1714,0.1617"
train,ambiguity_no_call_count,97.66666666666667,73.38483040338332,89.0,29.0,175.0,3,"89.0000,175.0000,29.0000"
