split,true_class,pred_class,count
train,C1,C1,733
train,C1,C2,77
train,C1,C3,14
train,C1,C4,23
train,C1,C5,193
train,C1,C6,36
train,C2,C1,28
train,C2,C2,903
train,C2,C3,61
train,C2,C4,39
train,C2,C5,28
train,C2,C6,17
train,C3,C1,12
train,C3,C2,274
train,C3,C3,310
train,C3,C4,412
train,C3,C5,17
train,C3,C6,27
train,C4,C1,7
train,C4,C2,121
train,C4,C3,143
train,C4,C4,679
train,C4,C5,63
train,C4,C6,55
train,C5,C1,201
train,C5,C2,48
train,C5,C3,12
train,C5,C4,108
train,C5,C5,559
train,C5,C6,142
train,C6,C1,168
train,C6,C2,36
train,C6,C3,15
train,C6,C4,70
train,C6,C5,233
train,C6,C6,548
val,C1,C1,153
val,C1,C2,12
val,C1,C3,1
val,C1,C4,10
val,C1,C5,48
val,C1,C6,16
val,C2,C1,1
val,C2,C2,190
val,C2,C3,23
val,C2,C4,19
val,C2,C5,5
val,C2,C6,2
val,C3,C1,2
val,C3,C2,56
val,C3,C3,74
val,C3,C4,92
val,C3,C5,5
val,C3,C6,10
val,C4,C1,0
val,C4,C2,15
val,C4,C3,21
val,C4,C4,150
val,C4,C5,13
val,C4,C6,38
val,C5,C1,88
val,C5,C2,26
val,C5,C3,2
val,C5,C4,25
val,C5,C5,70
val,C5,C6,30
val,C6,C1,44
val,C6,C2,9
val,C6,C3,5
val,C6,C4,12
val,C6,C5,38
val,C6,C6,131
test,C1,C1,143
test,C1,C2,31
test,C1,C3,0
test,C1,C4,1
test,C1,C5,35
test,C1,C6,27
test,C2,C1,8
test,C2,C2,190
test,C2,C3,22
test,C2,C4,7
test,C2,C5,9
test,C2,C6,3
test,C3,C1,0
test,C3,C2,64
test,C3,C3,76
test,C3,C4,90
test,C3,C5,3
test,C3,C6,5
test,C4,C1,0
test,C4,C2,23
test,C4,C3,39
test,C4,C4,151
test,C4,C5,12
test,C4,C6,10
test,C5,C1,50
test,C5,C2,15
test,C5,C3,0
test,C5,C4,41
test,C5,C5,83
test,C5,C6,49
test,C6,C1,52
test,C6,C2,27
test,C6,C3,2
test,C6,C4,18
test,C6,C5,56
test,C6,C6,85
