split,metric,value
train,n,6412.0
train,accuracy,0.6929195258889582
train,balanced_accuracy,0.6924695084716457
train,macro_f1,0.6896692461939679
train,weighted_f1,0.6899937215540045
train,log_loss,0.7122555872642273
train,brier_multiclass,0.4029535076378814
train,ece_15bin,0.027560236944549173
train,top1_prob_mean,0.6667014360427856
train,top1_top2_margin_mean,0.4296596944332123
train,predictive_entropy_mean,0.7689043879508972
train,attention_entropy_mean,2.7964463233947754
train,amb_c2_recall,0.8643122676579925
train,amb_c1_c5_c6_internal,0.26026119402985076
train,amb_c3_c4_pair,0.2349056603773585
train,amb_c3_to_c2_absorb,0.15684410646387834
train,amb_c4_to_c2_absorb,0.05805243445692884
train,precision_C1,0.6763518966908797
train,recall_C1,0.7788104089219331
train,f1_C1,0.7239740820734342
train,support_C1,1076.0
train,precision_C2,0.7410358565737052
train,recall_C2,0.8643122676579925
train,f1_C2,0.797940797940798
train,support_C2,1076.0
train,precision_C3,0.6263107721639657
train,recall_C3,0.6245247148288974
train,f1_C3,0.6254164683484055
train,support_C3,1052.0
train,precision_C4,0.6762948207171314
train,recall_C4,0.6357677902621723
train,f1_C4,0.6554054054054054
train,support_C4,1068.0
train,precision_C5,0.6533776301218162
train,recall_C5,0.5514018691588785
train,f1_C5,0.5980739989863153
train,support_C5,1070.0
train,precision_C6,0.7785862785862786
train,recall_C6,0.7
train,f1_C6,0.7372047244094488
train,support_C6,1070.0
val,n,1436.0
val,accuracy,0.5229805013927576
val,balanced_accuracy,0.5227831563970982
val,macro_f1,0.5179432653239842
val,weighted_f1,0.5181098805035121
val,log_loss,1.3385209268502443
val,brier_multiclass,0.6335337995185619
val,ece_15bin,0.1367812067851383
val,top1_prob_mean,0.6549985408782959
val,top1_top2_margin_mean,0.41088128089904785
val,predictive_entropy_mean,0.7877618670463562
val,attention_entropy_mean,2.860889196395874
val,amb_c2_recall,0.7583333333333333
val,amb_c1_c5_c6_internal,0.30833333333333335
val,amb_c3_c4_pair,0.3067226890756303
val,amb_c3_to_c2_absorb,0.24686192468619247
val,amb_c4_to_c2_absorb,0.05907172995780591
val,precision_C1,0.5494505494505495
val,recall_C1,0.625
val,f1_C1,0.5847953216374269
val,support_C1,240.0
val,precision_C2,0.621160409556314
val,recall_C2,0.7583333333333333
val,f1_C2,0.6829268292682927
val,support_C2,240.0
val,precision_C3,0.4033898305084746
val,recall_C3,0.497907949790795
val,f1_C3,0.44569288389513106
val,support_C3,239.0
val,precision_C4,0.44019138755980863
val,recall_C4,0.3881856540084388
val,f1_C4,0.4125560538116592
val,support_C4,237.0
val,precision_C5,0.4915254237288136
val,recall_C5,0.36099585062240663
val,f1_C5,0.41626794258373206
val,support_C5,241.0
val,precision_C6,0.6402116402116402
val,recall_C6,0.5062761506276151
val,f1_C6,0.5654205607476636
val,support_C6,239.0
test,n,1427.0
test,accuracy,0.5101611772950245
test,balanced_accuracy,0.5103146676233498
test,macro_f1,0.4953595765571975
test,weighted_f1,0.4953021340807621
test,log_loss,1.1403643761359679
test,brier_multiclass,0.6189207370493036
test,ece_15bin,0.127454882507234
test,top1_prob_mean,0.6259905695915222
test,top1_top2_margin_mean,0.37636783719062805
test,predictive_entropy_mean,0.8549919128417969
test,attention_entropy_mean,2.8581130504608154
test,amb_c2_recall,0.7949790794979079
test,amb_c1_c5_c6_internal,0.406993006993007
test,amb_c3_c4_pair,0.3128964059196617
test,amb_c3_to_c2_absorb,0.2184873949579832
test,amb_c4_to_c2_absorb,0.07659574468085106
test,precision_C1,0.5242718446601942
test,recall_C1,0.6835443037974683
test,f1_C1,0.5934065934065934
test,support_C1,237.0
test,precision_C2,0.6050955414012739
test,recall_C2,0.7949790794979079
test,f1_C2,0.6871609403254972
test,support_C2,239.0
test,precision_C3,0.4885844748858447
test,recall_C3,0.4495798319327731
test,f1_C3,0.4682713347921225
test,support_C3,238.0
test,precision_C4,0.48221343873517786
test,recall_C4,0.5191489361702127
test,f1_C4,0.5
test,support_C4,235.0
test,precision_C5,0.3885350318471338
test,recall_C5,0.25630252100840334
test,f1_C5,0.30886075949367087
test,support_C5,238.0
test,precision_C6,0.49142857142857144
test,recall_C6,0.35833333333333334
test,f1_C6,0.41445783132530123
test,support_C6,240.0
