split,metric,value
train,level_confident_count,1066.0
train,level_confident_rate,0.16625077978789768
train,level_hedged_count,4945.0
train,level_hedged_rate,0.7712102308172177
train,level_low_count,226.0
train,level_low_rate,0.03524641297567062
train,level_no_call_count,175.0
train,level_no_call_rate,0.027292576419213975
train,no_call_count,175.0
train,no_call_rate,0.027292576419213975
train,ambiguity_confident_C2_count,1099.0
train,ambiguity_confident_C2_rate,0.17139737991266377
train,ambiguity_within_group_c1_c5_c6_count,3104.0
train,ambiguity_within_group_c1_c5_c6_rate,0.4840923268870867
train,ambiguity_pair_c3_c4_count,1036.0
train,ambiguity_pair_c3_c4_rate,0.1615720524017467
train,ambiguity_pair_plus_c2_absorption_count,998.0
train,ambiguity_pair_plus_c2_absorption_rate,0.15564566437928884
train,ambiguity_no_call_count,175.0
train,ambiguity_no_call_rate,0.027292576419213975
train,ambiguity_uncategorized_count,0.0
train,ambiguity_uncategorized_rate,0.0
train,class_set_size_0_count,175.0
train,class_set_size_1_count,1099.0
train,class_set_size_2_count,1702.0
train,class_set_size_3_count,3436.0
train,flag_pair_plus_c2_absorption_count,1017.0
train,flag_pair_plus_c2_absorption_rate,0.15860885839051778
train,flag_within_group_ambiguity_c1_c5_c6_count,3104.0
train,flag_within_group_ambiguity_c1_c5_c6_rate,0.4840923268870867
train,flag_pair_ambiguity_c3_c4_count,1036.0
train,flag_pair_ambiguity_c3_c4_rate,0.1615720524017467
train,flag_anchor_unreliable_count,289.0
train,flag_anchor_unreliable_rate,0.04507174048658765
train,flag_posture_unknown_count,0.0
train,flag_posture_unknown_rate,0.0
train,flag_confident_C2_count,1105.0
train,flag_confident_C2_rate,0.17233312538989395
train,flag_low_confidence_no_class_set_count,150.0
train,flag_low_confidence_no_class_set_rate,0.023393636930754833
val,level_confident_count,257.0
val,level_confident_rate,0.1789693593314763
val,level_hedged_count,1082.0
val,level_hedged_rate,0.7534818941504178
val,level_low_count,64.0
val,level_low_rate,0.04456824512534819
val,level_no_call_count,33.0
val,level_no_call_rate,0.02298050139275766
val,no_call_count,33.0
val,no_call_rate,0.02298050139275766
val,ambiguity_confident_C2_count,263.0
val,ambiguity_confident_C2_rate,0.18314763231197773
val,ambiguity_within_group_c1_c5_c6_count,639.0
val,ambiguity_within_group_c1_c5_c6_rate,0.4449860724233983
val,ambiguity_pair_c3_c4_count,252.0
val,ambiguity_pair_c3_c4_rate,0.17548746518105848
val,ambiguity_pair_plus_c2_absorption_count,249.0
val,ambiguity_pair_plus_c2_absorption_rate,0.1733983286908078
val,ambiguity_no_call_count,33.0
val,ambiguity_no_call_rate,0.02298050139275766
val,ambiguity_uncategorized_count,0.0
val,ambiguity_uncategorized_rate,0.0
val,class_set_size_0_count,33.0
val,class_set_size_1_count,263.0
val,class_set_size_2_count,371.0
val,class_set_size_3_count,769.0
val,flag_pair_plus_c2_absorption_count,252.0
val,flag_pair_plus_c2_absorption_rate,0.17548746518105848
val,flag_within_group_ambiguity_c1_c5_c6_count,639.0
val,flag_within_group_ambiguity_c1_c5_c6_rate,0.4449860724233983
val,flag_pair_ambiguity_c3_c4_count,252.0
val,flag_pair_ambiguity_c3_c4_rate,0.17548746518105848
val,flag_anchor_unreliable_count,77.0
val,flag_anchor_unreliable_rate,0.05362116991643454
val,flag_posture_unknown_count,0.0
val,flag_posture_unknown_rate,0.0
val,flag_confident_C2_count,266.0
val,flag_confident_C2_rate,0.18523676880222842
val,flag_low_confidence_no_class_set_count,27.0
val,flag_low_confidence_no_class_set_rate,0.018802228412256268
test,level_confident_count,256.0
test,level_confident_rate,0.17939733707077785
test,level_hedged_count,1053.0
test,level_hedged_rate,0.7379117028731604
test,level_low_count,66.0
test,level_low_rate,0.046250875963559916
test,level_no_call_count,52.0
test,level_no_call_rate,0.036440084092501754
test,no_call_count,52.0
test,no_call_rate,0.036440084092501754
test,ambiguity_confident_C2_count,262.0
test,ambiguity_confident_C2_rate,0.1836019621583742
test,ambiguity_within_group_c1_c5_c6_count,641.0
test,ambiguity_within_group_c1_c5_c6_rate,0.44919411352487737
test,ambiguity_pair_c3_c4_count,239.0
test,ambiguity_pair_c3_c4_rate,0.16748423265592152
test,ambiguity_pair_plus_c2_absorption_count,233.0
test,ambiguity_pair_plus_c2_absorption_rate,0.16327960756832516
test,ambiguity_no_call_count,52.0
test,ambiguity_no_call_rate,0.036440084092501754
test,ambiguity_uncategorized_count,0.0
test,ambiguity_uncategorized_rate,0.0
test,class_set_size_0_count,52.0
test,class_set_size_1_count,262.0
test,class_set_size_2_count,327.0
test,class_set_size_3_count,786.0
test,flag_pair_plus_c2_absorption_count,233.0
test,flag_pair_plus_c2_absorption_rate,0.16327960756832516
test,flag_within_group_ambiguity_c1_c5_c6_count,641.0
test,flag_within_group_ambiguity_c1_c5_c6_rate,0.44919411352487737
test,flag_pair_ambiguity_c3_c4_count,239.0
test,flag_pair_ambiguity_c3_c4_rate,0.16748423265592152
test,flag_anchor_unreliable_count,75.0
test,flag_anchor_unreliable_rate,0.05255781359495445
test,flag_posture_unknown_count,0.0
test,flag_posture_unknown_rate,0.0
test,flag_confident_C2_count,265.0
test,flag_confident_C2_rate,0.18570427470217238
test,flag_low_confidence_no_class_set_count,49.0
test,flag_low_confidence_no_class_set_rate,0.03433777154870357
all,level_confident_count,1579.0
all,level_confident_rate,0.17024258760107816
all,level_hedged_count,7080.0
all,level_hedged_rate,0.7633423180592992
all,level_low_count,356.0
all,level_low_rate,0.038382749326145556
all,level_no_call_count,260.0
all,level_no_call_rate,0.028032345013477088
all,no_call_count,260.0
all,no_call_rate,0.028032345013477088
all,ambiguity_confident_C2_count,1624.0
all,ambiguity_confident_C2_rate,0.1750943396226415
all,ambiguity_within_group_c1_c5_c6_count,4384.0
all,ambiguity_within_group_c1_c5_c6_rate,0.4726684636118598
all,ambiguity_pair_c3_c4_count,1527.0
all,ambiguity_pair_c3_c4_rate,0.16463611859838276
all,ambiguity_pair_plus_c2_absorption_count,1480.0
all,ambiguity_pair_plus_c2_absorption_rate,0.15956873315363881
all,ambiguity_no_call_count,260.0
all,ambiguity_no_call_rate,0.028032345013477088
all,ambiguity_uncategorized_count,0.0
all,ambiguity_uncategorized_rate,0.0
all,class_set_size_0_count,260.0
all,class_set_size_1_count,1624.0
all,class_set_size_2_count,2400.0
all,class_set_size_3_count,4991.0
all,flag_pair_plus_c2_absorption_count,1502.0
all,flag_pair_plus_c2_absorption_rate,0.16194070080862533
all,flag_within_group_ambiguity_c1_c5_c6_count,4384.0
all,flag_within_group_ambiguity_c1_c5_c6_rate,0.4726684636118598
all,flag_pair_ambiguity_c3_c4_count,1527.0
all,flag_pair_ambiguity_c3_c4_rate,0.16463611859838276
all,flag_anchor_unreliable_count,441.0
all,flag_anchor_unreliable_rate,0.047547169811320754
all,flag_posture_unknown_count,0.0
