split,metric,mean,std,median,min,max,n_seeds,values
test,accuracy,0.5230086428404578,0.03910736672632285,0.5101611772950245,0.4919411352487736,0.5669236159775753,3,"0.4919,0.5102,0.5669"
test,accuracy_calibrated,0.5230086428404578,0.03910736672632285,0.5101611772950245,0.4919411352487736,0.5669236159775753,3,"0.4919,0.5102,0.5669"
test,amb_c1_c5_c6_internal,0.3944055944055944,0.027227863404100435,0.4041958041958042,0.3636363636363636,0.4153846153846154,3,"0.4042,0.4154,0.3636"
test,amb_c2_recall,0.7615062761506276,0.03765690376569042,0.7615062761506276,0.7238493723849372,0.799163179916318,3,"0.7238,0.7992,0.7615"
test,amb_c3_c4_pair,0.25229034531360106,0.014390823013856328,0.2473572938689217,0.241014799154334,0.2684989429175475,3,"0.2474,0.2685,0.2410"
test,amb_c3_to_c2_absorb,0.2703081232492997,0.04531845850802082,0.2899159663865546,0.2184873949579832,0.3025210084033613,3,"0.2899,0.3025,0.2185"
test,amb_c4_to_c2_absorb,0.11347517730496452,0.043046782710619916,0.1361702127659574,0.0638297872340425,0.1404255319148936,3,"0.1362,0.1404,0.0638"
test,attention_entropy_mean,2.6921326319376626,0.19953986402560434,2.776573657989502,2.4642553329467773,2.835568904876709,3,"2.4643,2.8356,2.7766"
test,balanced_accuracy,0.5232814992513722,0.03914194603056146,0.5103781680045426,0.4922202341560291,0.5672460955935449,3,"0.4922,0.5104,0.5672"
test,balanced_accuracy_calibrated,0.5232814992513722,0.03914194603056146,0.5103781680045426,0.4922202341560291,0.5672460955935449,3,"0.4922,0.5104,0.5672"
test,brier_multiclass,0.6275798361671754,0.05462135870750594,0.647337232354888,0.5658289220134151,0.6695733541332228,3,"0.6696,0.6473,0.5658"
test,brier_multiclass_calibrated,0.5956713676099205,0.027212325770599996,0.6082478167338152,0.5644455134609248,0.6143207726350213,3,"0.6143,0.6082,0.5644"
test,ece_15bin,0.13089947695557794,0.06916374093404022,0.1464969292335269,0.0552688801965265,0.1909326214366804,3,"0.1909,0.1465,0.0553"
test,ece_15bin_calibrated,0.04043405566558577,0.00387116773314179,0.0383153178617514,0.0380847368130921,0.0449021123219138,3,"0.0383,0.0381,0.0449"
test,f1_C1,0.5786114252370754,0.06813245664373978,0.5682242990654206,0.5162689804772235,0.6513409961685823,3,"0.5163,0.5682,0.6513"
test,f1_C2,0.6625797465048543,0.04287528545666218,0.6597582037996546,0.6211849192100538,0.7067961165048544,3,"0.6212,0.6598,0.7068"
test,f1_C3,0.45530899214227966,0.08399696854290972,0.416243654822335,0.3979591836734694,0.5517241379310345,3,"0.4162,0.3980,0.5517"
test,f1_C4,0.5464316158459975,0.018225755877862602,0.5483870967741935,0.527306967984934,0.5636007827788649,3,"0.5273,0.5484,0.5636"
test,f1_C5,0.4008836301471504,0.040310502266621306,0.4030131826741996,0.3595505617977528,0.4400871459694989,3,"0.4030,0.3596,0.4401"
test,f1_C6,0.44003072613190136,0.011880932466356828,0.4466019417475728,0.4263157894736842,0.4471744471744471,3,"0.4263,0.4472,0.4466"
test,log_loss,1.2394171894250576,0.13299771803077926,1.279706840299109,1.0909331609917148,1.3476115669843496,3,"1.3476,1.2797,1.0909"
test,log_loss_calibrated,1.124427061254173,0.05183541645490917,1.1468264813441238,1.0651585475650531,1.1612961548533416,3,"1.1613,1.1468,1.0652"
test,macro_f1,0.5139743560015431,0.04031427708032309,0.4968422987141563,0.4850555824404051,0.560025186850068,3,"0.4851,0.4968,0.5600"
