split,metric,mean,std,median,min,max,n_seeds,values
all,ambiguity_confident_C2_count,1739.6666666666667,48.19059382631981,1758.0,1685.0,1776.0,3,"1776.0000,1758.0000,1685.0000"
all,ambiguity_confident_C2_rate,0.18756513926325244,0.005195751355937415,0.1895417789757412,0.1816711590296496,0.1914824797843665,3,"0.1915,0.1895,0.1817"
all,ambiguity_no_call_count,72.0,57.23635208501674,42.0,36.0,138.0,3,"42.0000,138.0000,36.0000"
all,ambiguity_no_call_rate,0.0077628032345013,0.006171035265230942,0.0045283018867924,0.0038814016172506,0.0148787061994609,3,"0.0045,0.0149,0.0039"
all,ambiguity_pair_c3_c4_count,1494.0,124.21352583354198,1514.0,1361.0,1607.0,3,"1607.0000,1361.0000,1514.0000"
all,ambiguity_pair_c3_c4_rate,0.16107816711590292,0.013392293890408826,0.1632345013477089,0.1467385444743935,0.1732614555256064,3,"0.1733,0.1467,0.1632"
all,ambiguity_pair_plus_c2_absorption_count,1439.3333333333333,37.233497463081996,1454.0,1397.0,1467.0,3,"1397.0000,1467.0000,1454.0000"
all,ambiguity_pair_plus_c2_absorption_rate,0.15518418688230007,0.0040143932574751295,0.1567654986522911,0.1506199460916442,0.1581671159029649,3,"0.1506,0.1582,0.1568"
all,ambiguity_uncategorized_count,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,ambiguity_uncategorized_rate,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,ambiguity_within_group_c1_c5_c6_count,4530.0,68.94200461257273,4551.0,4453.0,4586.0,3,"4453.0000,4551.0000,4586.0000"
all,ambiguity_within_group_c1_c5_c6_rate,0.4884097035040431,0.007433100227770616,0.4906738544474393,0.4801078167115903,0.4944474393530997,3,"0.4801,0.4907,0.4944"
all,class_set_size_0_count,72.0,57.23635208501674,42.0,36.0,138.0,3,"42.0000,138.0000,36.0000"
all,class_set_size_1_count,1739.6666666666667,48.19059382631981,1758.0,1685.0,1776.0,3,"1776.0000,1758.0000,1685.0000"
all,class_set_size_2_count,2379.6666666666665,90.16281569102271,2407.0,2279.0,2453.0,3,"2453.0000,2279.0000,2407.0000"
all,class_set_size_3_count,5083.666666666667,72.88575535269793,5100.0,5004.0,5147.0,3,"5004.0000,5100.0000,5147.0000"
all,flag_anchor_unreliable_count,441.0,0.0,441.0,441.0,441.0,3,"441.0000,441.0000,441.0000"
all,flag_anchor_unreliable_rate,0.0475471698113207,0.0,0.0475471698113207,0.0475471698113207,0.0475471698113207,3,"0.0475,0.0475,0.0475"
all,flag_confident_C2_count,1752.3333333333333,48.4389650316079,1768.0,1698.0,1791.0,3,"1791.0000,1768.0000,1698.0000"
all,flag_confident_C2_rate,0.18893081761006283,0.005222529922545341,0.1906199460916442,0.1830727762803234,0.193099730458221,3,"0.1931,0.1906,0.1831"
all,flag_low_confidence_no_class_set_count,39.0,59.75784467331465,5.0,4.0,108.0,3,"5.0000,108.0000,4.0000"
all,flag_low_confidence_no_class_set_rate,0.0042048517520215005,0.006442894304400538,0.0005390835579514,0.0004312668463611,0.011644204851752,3,"0.0005,0.0116,0.0004"
all,flag_pair_ambiguity_c3_c4_count,1494.0,124.21352583354198,1514.0,1361.0,1607.0,3,"1607.0000,1361.0000,1514.0000"
all,flag_pair_ambiguity_c3_c4_rate,0.16107816711590292,0.013392293890408826,0.1632345013477089,0.1467385444743935,0.1732614555256064,3,"0.1733,0.1467,0.1632"
all,flag_pair_plus_c2_absorption_count,1459.6666666666667,35.90728802532062,1473.0,1419.0,1487.0,3,"1419.0000,1487.0000,1473.0000"
all,flag_pair_plus_c2_absorption_rate,0.15737646001796943,0.0038714057170157064,0.1588140161725067,0.1529919137466307,0.1603234501347709,3,"0.1530,0.1603,0.1588"
all,flag_posture_unknown_count,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
all,flag_posture_unknown_rate,0.0,0.0,0.0,0.0,0.0,3,"0.0000,0.0000,0.0000"
