split,metric,value
train,level_confident_count,1165.0
train,level_confident_rate,0.18169058016219589
train,level_hedged_count,4987.0
train,level_hedged_rate,0.777760449157829
train,level_low_count,227.0
train,level_low_rate,0.035402370555208985
train,level_no_call_count,33.0
train,level_no_call_rate,0.005146600124766063
train,no_call_count,33.0
train,no_call_rate,0.005146600124766063
train,ambiguity_confident_C2_count,1197.0
train,ambiguity_confident_C2_rate,0.18668122270742357
train,ambiguity_within_group_c1_c5_c6_count,3101.0
train,ambiguity_within_group_c1_c5_c6_rate,0.4836244541484716
train,ambiguity_pair_c3_c4_count,1131.0
train,ambiguity_pair_c3_c4_rate,0.17638802245789145
train,ambiguity_pair_plus_c2_absorption_count,950.0
train,ambiguity_pair_plus_c2_absorption_rate,0.14815970056144728
train,ambiguity_no_call_count,33.0
train,ambiguity_no_call_rate,0.005146600124766063
train,ambiguity_uncategorized_count,0.0
train,ambiguity_uncategorized_rate,0.0
train,class_set_size_0_count,33.0
train,class_set_size_1_count,1197.0
train,class_set_size_2_count,1729.0
train,class_set_size_3_count,3453.0
train,flag_low_confidence_no_class_set_count,3.0
train,flag_low_confidence_no_class_set_rate,0.0004678727386150967
train,flag_pair_plus_c2_absorption_count,971.0
train,flag_pair_plus_c2_absorption_rate,0.15143480973175297
train,flag_anchor_unreliable_count,289.0
train,flag_anchor_unreliable_rate,0.04507174048658765
train,flag_confident_C2_count,1206.0
train,flag_confident_C2_rate,0.18808484092326888
train,flag_posture_unknown_count,0.0
train,flag_posture_unknown_rate,0.0
train,flag_pair_ambiguity_c3_c4_count,1131.0
train,flag_pair_ambiguity_c3_c4_rate,0.17638802245789145
train,flag_within_group_ambiguity_c1_c5_c6_count,3101.0
train,flag_within_group_ambiguity_c1_c5_c6_rate,0.4836244541484716
val,level_confident_count,259.0
val,level_confident_rate,0.18036211699164345
val,level_hedged_count,1106.0
val,level_hedged_rate,0.7701949860724234
val,level_low_count,66.0
val,level_low_rate,0.04596100278551532
val,level_no_call_count,5.0
val,level_no_call_rate,0.003481894150417827
val,no_call_count,5.0
val,no_call_rate,0.003481894150417827
val,ambiguity_confident_C2_count,265.0
val,ambiguity_confident_C2_rate,0.18454038997214484
val,ambiguity_within_group_c1_c5_c6_count,695.0
val,ambiguity_within_group_c1_c5_c6_rate,0.483983286908078
val,ambiguity_pair_c3_c4_count,236.0
val,ambiguity_pair_c3_c4_rate,0.16434540389972144
val,ambiguity_pair_plus_c2_absorption_count,235.0
val,ambiguity_pair_plus_c2_absorption_rate,0.16364902506963788
val,ambiguity_no_call_count,5.0
val,ambiguity_no_call_rate,0.003481894150417827
val,ambiguity_uncategorized_count,0.0
val,ambiguity_uncategorized_rate,0.0
val,class_set_size_0_count,5.0
val,class_set_size_1_count,265.0
val,class_set_size_2_count,399.0
val,class_set_size_3_count,767.0
val,flag_low_confidence_no_class_set_count,0.0
val,flag_low_confidence_no_class_set_rate,0.0
val,flag_pair_plus_c2_absorption_count,236.0
val,flag_pair_plus_c2_absorption_rate,0.16434540389972144
val,flag_anchor_unreliable_count,77.0
val,flag_anchor_unreliable_rate,0.05362116991643454
val,flag_confident_C2_count,269.0
val,flag_confident_C2_rate,0.1873259052924791
val,flag_posture_unknown_count,0.0
val,flag_posture_unknown_rate,0.0
val,flag_pair_ambiguity_c3_c4_count,236.0
val,flag_pair_ambiguity_c3_c4_rate,0.16434540389972144
val,flag_within_group_ambiguity_c1_c5_c6_count,695.0
val,flag_within_group_ambiguity_c1_c5_c6_rate,0.483983286908078
test,level_confident_count,305.0
test,level_confident_rate,0.21373510861948142
test,level_hedged_count,1054.0
test,level_hedged_rate,0.7386124737210932
test,level_low_count,64.0
test,level_low_rate,0.04484933426769446
test,level_no_call_count,4.0
test,level_no_call_rate,0.002803083391730904
test,no_call_count,4.0
test,no_call_rate,0.002803083391730904
test,ambiguity_confident_C2_count,314.0
test,ambiguity_confident_C2_rate,0.22004204625087595
test,ambiguity_within_group_c1_c5_c6_count,657.0
test,ambiguity_within_group_c1_c5_c6_rate,0.460406447091801
test,ambiguity_pair_c3_c4_count,240.0
test,ambiguity_pair_c3_c4_rate,0.16818500350385424
test,ambiguity_pair_plus_c2_absorption_count,212.0
test,ambiguity_pair_plus_c2_absorption_rate,0.14856341976173792
test,ambiguity_no_call_count,4.0
test,ambiguity_no_call_rate,0.002803083391730904
test,ambiguity_uncategorized_count,0.0
