split,stage,metric,value
train,before,accuracy,0.7503119151590767
train,before,balanced_accuracy,0.7498532615158785
train,before,macro_f1,0.7502778525977232
train,before,log_loss,0.6020397684022084
train,before,brier_multiclass,0.3396503647937076
train,before,ece_15bin,0.028568726044592103
train,before,top1_prob_mean,0.7217432260513306
train,before,top1_prob_p25,0.5659632533788681
train,before,top1_prob_p50,0.7225551307201385
train,before,top1_prob_p75,0.8987171947956085
train,before,top1_top2_margin_mean,0.5168150663375854
train,before,predictive_entropy_mean,0.6691760420799255
train,before,n,6412.0
train,after,accuracy,0.7503119151590767
train,after,balanced_accuracy,0.7498532615158785
train,after,macro_f1,0.7502778525977232
train,after,log_loss,0.7445726963083314
train,after,brier_multiclass,0.3959483869477731
train,after,ece_15bin,0.19028982813850615
train,after,top1_prob_mean,0.5600835084915161
train,after,top1_prob_p25,0.4399694800376892
train,after,top1_prob_p50,0.5338081419467926
train,after,top1_prob_p75,0.6740425527095795
train,after,top1_top2_margin_mean,0.3052757978439331
train,after,predictive_entropy_mean,1.0777926445007324
train,after,n,6412.0
val,before,accuracy,0.5355153203342619
val,before,balanced_accuracy,0.5353290101523729
val,before,macro_f1,0.5353368293630802
val,before,log_loss,1.2751029331359895
val,before,brier_multiclass,0.6180886266111506
val,before,ece_15bin,0.16393137445107805
val,before,top1_prob_mean,0.6952952146530151
val,before,top1_prob_p25,0.5364234000444412
val,before,top1_prob_p50,0.6798145473003387
val,before,top1_prob_p75,0.8717125207185745
val,before,top1_top2_margin_mean,0.4765576422214508
val,before,predictive_entropy_mean,0.7163949608802795
val,before,n,1436.0
val,after,accuracy,0.5355153203342619
val,after,balanced_accuracy,0.5353290101523729
val,after,macro_f1,0.5353368293630802
val,after,log_loss,1.100224713341347
val,after,brier_multiclass,0.5733665487846253
val,after,ece_15bin,0.04111585321947725
val,after,top1_prob_mean,0.5420703291893005
val,after,top1_prob_p25,0.4206903502345085
val,after,top1_prob_p50,0.5096987187862396
val,after,top1_prob_p75,0.6443818956613541
val,after,top1_top2_margin_mean,0.2818637490272522
val,after,predictive_entropy_mean,1.099460482597351
val,after,n,1436.0
test,before,accuracy,0.49194113524877364
test,before,balanced_accuracy,0.4922202341560291
test,before,macro_f1,0.4850555824404051
test,before,log_loss,1.3476115667414832
test,before,brier_multiclass,0.6695733558650055
test,before,ece_15bin,0.19093263326780563
test,before,top1_prob_mean,0.6828737854957581
test,before,top1_prob_p25,0.5311737656593323
test,before,top1_prob_p50,0.6620647311210632
test,before,top1_prob_p75,0.8489764630794525
test,before,top1_top2_margin_mean,0.45860835909843445
test,before,predictive_entropy_mean,0.7553688883781433
test,before,n,1427.0
test,after,accuracy,0.49194113524877364
test,after,balanced_accuracy,0.4922202341560291
test,after,macro_f1,0.4850555824404051
test,after,log_loss,1.1612961548533416
test,after,brier_multiclass,0.6143207726350213
test,after,ece_15bin,0.038315317861751484
test,after,top1_prob_mean,0.5223760604858398
test,after,top1_prob_p25,0.4059021323919296
test,after,top1_prob_p50,0.4973147511482239
test,after,top1_prob_p75,0.6183203756809235
test,after,top1_top2_margin_mean,0.2581917643547058
test,after,predictive_entropy_mean,1.1529624462127686
test,after,n,1427.0
—,—,fitted_temperature,1.986560344696045
—,—,lbfgs_n_closures,24.0
—,—,final_val_nll,1.1002248525619507
