split,true_class,pred_class,count
train,C1,C1,878
train,C1,C2,26
train,C1,C3,6
train,C1,C4,6
train,C1,C5,109
train,C1,C6,51
train,C2,C1,8
train,C2,C2,976
train,C2,C3,60
train,C2,C4,21
train,C2,C5,8
train,C2,C6,3
train,C3,C1,2
train,C3,C2,144
train,C3,C3,743
train,C3,C4,151
train,C3,C5,7
train,C3,C6,5
train,C4,C1,1
train,C4,C2,62
train,C4,C3,209
train,C4,C4,743
train,C4,C5,42
train,C4,C6,11
train,C5,C1,168
train,C5,C2,28
train,C5,C3,5
train,C5,C4,26
train,C5,C5,744
train,C5,C6,99
train,C6,C1,137
train,C6,C2,14
train,C6,C3,1
train,C6,C4,11
train,C6,C5,99
train,C6,C6,808
val,C1,C1,144
val,C1,C2,16
val,C1,C3,5
val,C1,C4,12
val,C1,C5,51
val,C1,C6,12
val,C2,C1,15
val,C2,C2,171
val,C2,C3,27
val,C2,C4,14
val,C2,C5,10
val,C2,C6,3
val,C3,C1,5
val,C3,C2,50
val,C3,C3,101
val,C3,C4,66
val,C3,C5,10
val,C3,C6,7
val,C4,C1,1
val,C4,C2,16
val,C4,C3,63
val,C4,C4,113
val,C4,C5,26
val,C4,C6,18
val,C5,C1,74
val,C5,C2,21
val,C5,C3,1
val,C5,C4,27
val,C5,C5,89
val,C5,C6,29
val,C6,C1,40
val,C6,C2,12
val,C6,C3,5
val,C6,C4,17
val,C6,C5,46
val,C6,C6,119
test,C1,C1,152
test,C1,C2,22
test,C1,C3,2
test,C1,C4,0
test,C1,C5,38
test,C1,C6,23
test,C2,C1,21
test,C2,C2,191
test,C2,C3,21
test,C2,C4,2
test,C2,C5,4
test,C2,C6,0
test,C3,C1,6
test,C3,C2,72
test,C3,C3,78
test,C3,C4,77
test,C3,C5,5
test,C3,C6,0
test,C4,C1,2
test,C4,C2,33
test,C4,C3,50
test,C4,C4,136
test,C4,C5,12
test,C4,C6,2
test,C5,C1,67
test,C5,C2,8
test,C5,C3,2
test,C5,C4,30
test,C5,C5,80
test,C5,C6,51
test,C6,C1,50
test,C6,C2,14
test,C6,C3,1
test,C6,C4,16
test,C6,C5,68
test,C6,C6,91
