split,true_class,pred_class,count
train,C1,C1,950
train,C1,C2,8
train,C1,C3,1
train,C1,C4,0
train,C1,C5,71
train,C1,C6,46
train,C2,C1,5
train,C2,C2,1035
train,C2,C3,15
train,C2,C4,6
train,C2,C5,5
train,C2,C6,10
train,C3,C1,1
train,C3,C2,104
train,C3,C3,792
train,C3,C4,145
train,C3,C5,3
train,C3,C6,7
train,C4,C1,1
train,C4,C2,27
train,C4,C3,177
train,C4,C4,822
train,C4,C5,36
train,C4,C6,5
train,C5,C1,93
train,C5,C2,5
train,C5,C3,2
train,C5,C4,2
train,C5,C5,853
train,C5,C6,115
train,C6,C1,47
train,C6,C2,2
train,C6,C3,1
train,C6,C4,0
train,C6,C5,38
train,C6,C6,982
val,C1,C1,150
val,C1,C2,10
val,C1,C3,0
val,C1,C4,8
val,C1,C5,49
val,C1,C6,23
val,C2,C1,2
val,C2,C2,196
val,C2,C3,28
val,C2,C4,3
val,C2,C5,9
val,C2,C6,2
val,C3,C1,0
val,C3,C2,37
val,C3,C3,114
val,C3,C4,71
val,C3,C5,9
val,C3,C6,8
val,C4,C1,1
val,C4,C2,14
val,C4,C3,74
val,C4,C4,91
val,C4,C5,30
val,C4,C6,27
val,C5,C1,44
val,C5,C2,21
val,C5,C3,3
val,C5,C4,20
val,C5,C5,107
val,C5,C6,46
val,C6,C1,33
val,C6,C2,9
val,C6,C3,3
val,C6,C4,11
val,C6,C5,36
val,C6,C6,147
test,C1,C1,139
test,C1,C2,10
test,C1,C3,1
test,C1,C4,1
test,C1,C5,35
test,C1,C6,51
test,C2,C1,10
test,C2,C2,186
test,C2,C3,17
test,C2,C4,12
test,C2,C5,6
test,C2,C6,8
test,C3,C1,1
test,C3,C2,51
test,C3,C3,113
test,C3,C4,68
test,C3,C5,2
test,C3,C6,3
test,C4,C1,0
test,C4,C2,16
test,C4,C3,53
test,C4,C4,138
test,C4,C5,14
test,C4,C6,14
test,C5,C1,47
test,C5,C2,6
test,C5,C3,2
test,C5,C4,21
test,C5,C5,101
test,C5,C6,61
test,C6,C1,26
test,C6,C2,14
test,C6,C3,1
test,C6,C4,11
test,C6,C5,49
test,C6,C6,139
