split,metric,value
train,n,6412.0
train,accuracy,0.8474734872114785
train,balanced_accuracy,0.8470439070727376
train,macro_f1,0.8455338821160389
train,weighted_f1,0.845834488145208
train,log_loss,0.38758400034039964
train,brier_multiclass,0.22061996253990926
train,ece_15bin,0.05908857554624916
train,top1_prob_mean,0.7890245914459229
train,top1_top2_margin_mean,0.6210358142852783
train,predictive_entropy_mean,0.5089796781539917
train,attention_entropy_mean,2.8522636890411377
train,amb_c2_recall,0.9618959107806692
train,amb_c1_c5_c6_internal,0.12748756218905472
train,amb_c3_c4_pair,0.15188679245283018
train,amb_c3_to_c2_absorb,0.09885931558935361
train,amb_c4_to_c2_absorb,0.025280898876404494
train,precision_C1,0.8659981768459435
train,recall_C1,0.8828996282527881
train,f1_C1,0.8743672342383801
train,support_C1,1076.0
train,precision_C2,0.8763759525825572
train,recall_C2,0.9618959107806692
train,f1_C2,0.9171466548515729
train,support_C2,1076.0
train,precision_C3,0.8016194331983806
train,recall_C3,0.752851711026616
train,f1_C3,0.7764705882352941
train,support_C3,1052.0
train,precision_C4,0.8430769230769231
train,recall_C4,0.7696629213483146
train,f1_C4,0.8046989720998532
train,support_C4,1068.0
train,precision_C5,0.8479125248508946
train,recall_C5,0.797196261682243
train,f1_C5,0.8217726396917149
train,support_C5,1070.0
train,precision_C6,0.8429184549356223
train,recall_C6,0.9177570093457944
train,f1_C6,0.8787472035794184
train,support_C6,1070.0
val,n,1436.0
val,accuracy,0.5605849582172702
val,balanced_accuracy,0.5602777538478422
val,macro_f1,0.5553122881900717
val,weighted_f1,0.555546217422282
val,log_loss,1.401433141767941
val,brier_multiclass,0.6253197772139673
val,ece_15bin,0.18496062836939248
val,top1_prob_mean,0.7425640821456909
val,top1_top2_margin_mean,0.5470158457756042
val,predictive_entropy_mean,0.6033501029014587
val,attention_entropy_mean,2.949921131134033
val,amb_c2_recall,0.8166666666666667
val,amb_c1_c5_c6_internal,0.32083333333333336
val,amb_c3_c4_pair,0.30462184873949577
val,amb_c3_to_c2_absorb,0.15481171548117154
val,amb_c4_to_c2_absorb,0.05907172995780591
val,precision_C1,0.6521739130434783
val,recall_C1,0.625
val,f1_C1,0.6382978723404256
val,support_C1,240.0
val,precision_C2,0.6829268292682927
val,recall_C2,0.8166666666666667
val,f1_C2,0.7438330170777988
val,support_C2,240.0
val,precision_C3,0.5135135135135135
val,recall_C3,0.4769874476987448
val,f1_C3,0.4945770065075922
val,support_C3,239.0
val,precision_C4,0.44607843137254904
val,recall_C4,0.38396624472573837
val,f1_C4,0.4126984126984127
val,support_C4,237.0
val,precision_C5,0.44583333333333336
val,recall_C5,0.44398340248962653
val,f1_C5,0.44490644490644493
val,support_C5,241.0
val,precision_C6,0.5810276679841897
val,recall_C6,0.6150627615062761
val,f1_C6,0.5975609756097561
val,support_C6,239.0
test,n,1427.0
test,accuracy,0.5718290119131044
test,balanced_accuracy,0.5717168235341717
test,macro_f1,0.568224953148379
test,weighted_f1,0.568260227487106
test,log_loss,1.2786736946488912
test,brier_multiclass,0.6016154340834935
test,ece_15bin,0.14766346839189362
test,top1_prob_mean,0.7151920199394226
test,top1_top2_margin_mean,0.5019233822822571
test,predictive_entropy_mean,0.6578577160835266
test,attention_entropy_mean,3.061094284057617
test,amb_c2_recall,0.7782426778242678
test,amb_c1_c5_c6_internal,0.37622377622377623
test,amb_c3_c4_pair,0.2558139534883721
test,amb_c3_to_c2_absorb,0.21428571428571427
test,amb_c4_to_c2_absorb,0.06808510638297872
test,precision_C1,0.6233183856502242
test,recall_C1,0.5864978902953587
test,f1_C1,0.6043478260869565
test,support_C1,237.0
test,precision_C2,0.657243816254417
test,recall_C2,0.7782426778242678
test,f1_C2,0.7126436781609196
test,support_C2,239.0
test,precision_C3,0.6042780748663101
test,recall_C3,0.47478991596638653
test,f1_C3,0.5317647058823529
test,support_C3,238.0
test,precision_C4,0.549800796812749
test,recall_C4,0.5872340425531914
test,f1_C4,0.5679012345679012
test,support_C4,235.0
test,precision_C5,0.48792270531400966
test,recall_C5,0.42436974789915966
test,f1_C5,0.45393258426966293
test,support_C5,238.0
test,precision_C6,0.5036231884057971
test,recall_C6,0.5791666666666667
test,f1_C6,0.5387596899224806
test,support_C6,240.0
