split,metric,value
train,level_confident_count,995.0
train,level_confident_rate,0.15517779164067375
train,level_hedged_count,5141.0
train,level_hedged_rate,0.8017779164067373
train,level_low_count,239.0
train,level_low_rate,0.03727386150966937
train,level_no_call_count,37.0
train,level_no_call_rate,0.005770430442919526
train,no_call_count,37.0
train,no_call_rate,0.005770430442919526
train,ambiguity_confident_C2_count,1025.0
train,ambiguity_confident_C2_rate,0.1598565190268247
train,ambiguity_within_group_c1_c5_c6_count,3251.0
train,ambiguity_within_group_c1_c5_c6_rate,0.5070180910792265
train,ambiguity_pair_c3_c4_count,1285.0
train,ambiguity_pair_c3_c4_rate,0.20040548970679975
train,ambiguity_pair_plus_c2_absorption_count,814.0
train,ambiguity_pair_plus_c2_absorption_rate,0.12694946974422958
train,ambiguity_no_call_count,37.0
train,ambiguity_no_call_rate,0.005770430442919526
train,ambiguity_uncategorized_count,0.0
train,ambiguity_uncategorized_rate,0.0
train,class_set_size_0_count,37.0
train,class_set_size_1_count,1025.0
train,class_set_size_2_count,2090.0
train,class_set_size_3_count,3260.0
train,flag_within_group_ambiguity_c1_c5_c6_count,3251.0
train,flag_within_group_ambiguity_c1_c5_c6_rate,0.5070180910792265
train,flag_pair_ambiguity_c3_c4_count,1285.0
train,flag_pair_ambiguity_c3_c4_rate,0.20040548970679975
train,flag_low_confidence_no_class_set_count,18.0
train,flag_low_confidence_no_class_set_rate,0.0028072364316905803
train,flag_pair_plus_c2_absorption_count,823.0
train,flag_pair_plus_c2_absorption_rate,0.12835308796007486
train,flag_anchor_unreliable_count,289.0
train,flag_anchor_unreliable_rate,0.04507174048658765
train,flag_posture_unknown_count,0.0
train,flag_posture_unknown_rate,0.0
train,flag_confident_C2_count,1035.0
train,flag_confident_C2_rate,0.16141609482220837
val,level_confident_count,245.0
val,level_confident_rate,0.17061281337047354
val,level_hedged_count,1120.0
val,level_hedged_rate,0.7799442896935933
val,level_low_count,61.0
val,level_low_rate,0.04247910863509749
val,level_no_call_count,10.0
val,level_no_call_rate,0.006963788300835654
val,no_call_count,10.0
val,no_call_rate,0.006963788300835654
val,ambiguity_confident_C2_count,255.0
val,ambiguity_confident_C2_rate,0.1775766016713092
val,ambiguity_within_group_c1_c5_c6_count,696.0
val,ambiguity_within_group_c1_c5_c6_rate,0.48467966573816157
val,ambiguity_pair_c3_c4_count,237.0
val,ambiguity_pair_c3_c4_rate,0.16504178272980502
val,ambiguity_pair_plus_c2_absorption_count,238.0
val,ambiguity_pair_plus_c2_absorption_rate,0.16573816155988857
val,ambiguity_no_call_count,10.0
val,ambiguity_no_call_rate,0.006963788300835654
val,ambiguity_uncategorized_count,0.0
val,ambiguity_uncategorized_rate,0.0
val,class_set_size_0_count,10.0
val,class_set_size_1_count,255.0
val,class_set_size_2_count,398.0
val,class_set_size_3_count,773.0
val,flag_within_group_ambiguity_c1_c5_c6_count,696.0
val,flag_within_group_ambiguity_c1_c5_c6_rate,0.48467966573816157
val,flag_pair_ambiguity_c3_c4_count,237.0
val,flag_pair_ambiguity_c3_c4_rate,0.16504178272980502
val,flag_low_confidence_no_class_set_count,4.0
val,flag_low_confidence_no_class_set_rate,0.002785515320334262
val,flag_pair_plus_c2_absorption_count,238.0
val,flag_pair_plus_c2_absorption_rate,0.16573816155988857
val,flag_anchor_unreliable_count,77.0
val,flag_anchor_unreliable_rate,0.05362116991643454
val,flag_posture_unknown_count,0.0
val,flag_posture_unknown_rate,0.0
val,flag_confident_C2_count,261.0
val,flag_confident_C2_rate,0.1817548746518106
test,level_confident_count,267.0
test,level_confident_rate,0.18710581639803783
test,level_hedged_count,1083.0
test,level_hedged_rate,0.7589348283111422
test,level_low_count,66.0
test,level_low_rate,0.046250875963559916
test,level_no_call_count,11.0
test,level_no_call_rate,0.007708479327259986
test,no_call_count,11.0
test,no_call_rate,0.007708479327259986
test,ambiguity_confident_C2_count,273.0
test,ambiguity_confident_C2_rate,0.1913104414856342
test,ambiguity_within_group_c1_c5_c6_count,718.0
test,ambiguity_within_group_c1_c5_c6_rate,0.5031534688156972
test,ambiguity_pair_c3_c4_count,269.0
test,ambiguity_pair_c3_c4_rate,0.1885073580939033
test,ambiguity_pair_plus_c2_absorption_count,156.0
test,ambiguity_pair_plus_c2_absorption_rate,0.10932025227750526
test,ambiguity_no_call_count,11.0
test,ambiguity_no_call_rate,0.007708479327259986
test,ambiguity_uncategorized_count,0.0
test,ambiguity_uncategorized_rate,0.0
test,class_set_size_0_count,11.0
test,class_set_size_1_count,273.0
test,class_set_size_2_count,398.0
test,class_set_size_3_count,745.0
test,flag_within_group_ambiguity_c1_c5_c6_count,718.0
test,flag_within_group_ambiguity_c1_c5_c6_rate,0.5031534688156972
test,flag_pair_ambiguity_c3_c4_count,269.0
test,flag_pair_ambiguity_c3_c4_rate,0.1885073580939033
test,flag_low_confidence_no_class_set_count,8.0
