split,true_class,pred_class,count
train,C1,C1,852
train,C1,C2,21
train,C1,C3,4
train,C1,C4,10
train,C1,C5,121
train,C1,C6,68
train,C2,C1,27
train,C2,C2,850
train,C2,C3,123
train,C2,C4,36
train,C2,C5,14
train,C2,C6,26
train,C3,C1,5
train,C3,C2,120
train,C3,C3,637
train,C3,C4,275
train,C3,C5,4
train,C3,C6,11
train,C4,C1,1
train,C4,C2,25
train,C4,C3,230
train,C4,C4,740
train,C4,C5,39
train,C4,C6,33
train,C5,C1,165
train,C5,C2,19
train,C5,C3,7
train,C5,C4,45
train,C5,C5,630
train,C5,C6,204
train,C6,C1,73
train,C6,C2,12
train,C6,C3,5
train,C6,C4,24
train,C6,C5,106
train,C6,C6,850
val,C1,C1,133
val,C1,C2,13
val,C1,C3,8
val,C1,C4,15
val,C1,C5,37
val,C1,C6,34
val,C2,C1,6
val,C2,C2,171
val,C2,C3,37
val,C2,C4,16
val,C2,C5,5
val,C2,C6,5
val,C3,C1,2
val,C3,C2,47
val,C3,C3,104
val,C3,C4,75
val,C3,C5,2
val,C3,C6,9
val,C4,C1,3
val,C4,C2,9
val,C4,C3,69
val,C4,C4,102
val,C4,C5,20
val,C4,C6,34
val,C5,C1,54
val,C5,C2,16
val,C5,C3,6
val,C5,C4,25
val,C5,C5,87
val,C5,C6,53
val,C6,C1,31
val,C6,C2,7
val,C6,C3,2
val,C6,C4,23
val,C6,C5,24
val,C6,C6,152
test,C1,C1,160
test,C1,C2,21
test,C1,C3,0
test,C1,C4,0
test,C1,C5,22
test,C1,C6,34
test,C2,C1,18
test,C2,C2,173
test,C2,C3,28
test,C2,C4,6
test,C2,C5,9
test,C2,C6,5
test,C3,C1,2
test,C3,C2,57
test,C3,C3,101
test,C3,C4,69
test,C3,C5,3
test,C3,C6,6
test,C4,C1,1
test,C4,C2,19
test,C4,C3,62
test,C4,C4,133
test,C4,C5,12
test,C4,C6,8
test,C5,C1,48
test,C5,C2,15
test,C5,C3,4
test,C5,C4,36
test,C5,C5,65
test,C5,C6,70
test,C6,C1,37
test,C6,C2,13
test,C6,C3,2
test,C6,C4,18
test,C6,C5,48
test,C6,C6,122
