split,n,metric,value
train,6412,accuracy,0.7110106051154086
train,6412,balanced_accuracy,0.7105598599710725
train,6412,macro_f1,0.7091110496988277
train,6412,weighted_f1,0.7095223504541892
train,6412,log_loss,0.6888215799825077
train,6412,brier_multiclass,0.3848114800007068
train,6412,ece_15bin,0.032589563204025514
train,6412,top1_prob_mean,0.678450345993042
train,6412,top1_prob_p05,0.3856500178575516
train,6412,top1_prob_p25,0.5340218394994736
train,6412,top1_prob_p50,0.6647488474845886
train,6412,top1_prob_p75,0.8328502625226974
train,6412,top1_prob_p95,0.9808659106492996
train,6412,top1_top2_margin_mean,0.4474346935749054
train,6412,top1_top2_margin_p05,0.03104788064956665
train,6412,top1_top2_margin_p25,0.17282739654183388
train,6412,top1_top2_margin_p50,0.402794748544693
train,6412,top1_top2_margin_p75,0.70683653652668
train,6412,top1_top2_margin_p95,0.9679084599018096
train,6412,predictive_entropy_mean,0.7544345855712891
train,6412,predictive_entropy_p05,0.11032566316425803
train,6412,predictive_entropy_p25,0.5313933789730072
train,6412,predictive_entropy_p50,0.7442112267017365
train,6412,predictive_entropy_p75,0.9910496473312378
train,6412,predictive_entropy_p95,1.4161529541015625
train,6412,attention_entropy_mean,3.100925922393799
train,6412,attention_entropy_p05,2.23588947057724
train,6412,attention_entropy_p25,2.6878721117973328
train,6412,attention_entropy_p50,3.072403907775879
train,6412,attention_entropy_p75,3.487236797809601
train,6412,attention_entropy_p95,4.080528593063354
train,6412,amb_c2_recall,0.7899628252788105
train,6412,amb_c1_c5_c6_internal,0.22916666666666666
train,6412,amb_c3_c4_pair,0.23820754716981132
train,6412,amb_c3_to_c2_absorb,0.11406844106463879
train,6412,amb_c4_to_c2_absorb,0.023408239700374533
train,6412,precision_C1,0.7586821015138023
train,6412,recall_C1,0.79182156133829
train,6412,f1_C1,0.7748976807639836
train,6412,support_C1,1076.0
train,6412,precision_C2,0.8118433619866284
train,6412,recall_C2,0.7899628252788105
train,6412,f1_C2,0.8007536504945831
train,6412,support_C2,1076.0
train,6412,precision_C3,0.6332007952286283
train,6412,recall_C3,0.6055133079847909
train,6412,f1_C3,0.6190476190476191
train,6412,support_C3,1052.0
train,6412,precision_C4,0.6548672566371682
train,6412,recall_C4,0.6928838951310862
train,6412,f1_C4,0.6733393994540491
train,6412,support_C4,1068.0
train,6412,precision_C5,0.6892778993435449
train,6412,recall_C5,0.5887850467289719
train,6412,f1_C5,0.6350806451612904
train,6412,support_C5,1070.0
train,6412,precision_C6,0.7130872483221476
train,6412,recall_C6,0.794392523364486
train,6412,f1_C6,0.7515473032714411
train,6412,support_C6,1070.0
val,1436,accuracy,0.5215877437325905
val,1436,balanced_accuracy,0.5215286618729145
val,1436,macro_f1,0.5174009310794978
val,1436,weighted_f1,0.5175549944839021
val,1436,log_loss,1.3174329671499911
val,1436,brier_multiclass,0.635158406928311
val,1436,ece_15bin,0.14284567698877837
val,1436,top1_prob_mean,0.6629248261451721
val,1436,top1_prob_p05,0.38283514976501465
val,1436,top1_prob_p25,0.5097526460886002
val,1436,top1_prob_p50,0.6316169798374176
val,1436,top1_prob_p75,0.8290005177259445
val,1436,top1_prob_p95,0.9921783208847046
val,1436,top1_top2_margin_mean,0.423940509557724
val,1436,top1_top2_margin_p05,0.028769809752702713
val,1436,top1_top2_margin_p25,0.14054136723279953
val,1436,top1_top2_margin_p50,0.343203604221344
val,1436,top1_top2_margin_p75,0.6999012231826782
val,1436,top1_top2_margin_p95,0.986766517162323
val,1436,predictive_entropy_mean,0.7769163250923157
val,1436,predictive_entropy_p05,0.05146834719926119
val,1436,predictive_entropy_p25,0.5489602833986282
val,1436,predictive_entropy_p50,0.7765015363693237
val,1436,predictive_entropy_p75,1.0479182302951813
val,1436,predictive_entropy_p95,1.4225503504276276
val,1436,attention_entropy_mean,3.1907169818878174
val,1436,attention_entropy_p05,2.3778669834136963
val,1436,attention_entropy_p25,2.8373365998268127
val,1436,attention_entropy_p50,3.159172296524048
val,1436,attention_entropy_p75,3.507519245147705
val,1436,attention_entropy_p95,4.1309884786605835
val,1436,amb_c2_recall,0.7125
val,1436,amb_c1_c5_c6_internal,0.3236111111111111
val,1436,amb_c3_c4_pair,0.3025210084033613
val,1436,amb_c3_to_c2_absorb,0.19665271966527198
val,1436,amb_c4_to_c2_absorb,0.0379746835443038
val,1436,precision_C1,0.5807860262008734
val,1436,recall_C1,0.5541666666666667
val,1436,f1_C1,0.5671641791044776
val,1436,support_C1,240.0
val,1436,precision_C2,0.6501901140684411
val,1436,recall_C2,0.7125
val,1436,f1_C2,0.679920477137177
val,1436,support_C2,240.0
val,1436,precision_C3,0.46017699115044247
val,1436,recall_C3,0.4351464435146444
val,1436,f1_C3,0.44731182795698926
val,1436,support_C3,239.0
val,1436,precision_C4,0.3984375
val,1436,recall_C4,0.43037974683544306
val,1436,f1_C4,0.41379310344827586
val,1436,support_C4,237.0
val,1436,precision_C5,0.49714285714285716
val,1436,recall_C5,0.36099585062240663
val,1436,f1_C5,0.4182692307692308
val,1436,support_C5,241.0
val,1436,precision_C6,0.5296167247386759
val,1436,recall_C6,0.6359832635983264
val,1436,f1_C6,0.5779467680608364
val,1436,support_C6,239.0
test,1427,accuracy,0.5283812193412754
test,1427,balanced_accuracy,0.5284541048925812
test,1427,macro_f1,0.518438497855714
test,1427,weighted_f1,0.5183874310424108
test,1427,log_loss,1.2285802602067202
test,1427,brier_multiclass,0.6258393968917979
test,1427,ece_15bin,0.1339595419548572
test,1427,top1_prob_mean,0.6526565551757812
test,1427,top1_prob_p05,0.3594904035329819
test,1427,top1_prob_p25,0.5100635290145874
test,1427,top1_prob_p50,0.6354728937149048
test,1427,top1_prob_p75,0.8060418963432312
test,1427,top1_prob_p95,0.9718264162540435
test,1427,top1_top2_margin_mean,0.4163227677345276
test,1427,top1_top2_margin_p05,0.023754075169563293
test,1427,top1_top2_margin_p25,0.1477385014295578
test,1427,top1_top2_margin_p50,0.35875070095062256
test,1427,top1_top2_margin_p75,0.6607129573822021
test,1427,top1_top2_margin_p95,0.9505575776100159
test,1427,predictive_entropy_mean,0.8163506388664246
test,1427,predictive_entropy_p05,0.151157708466053
test,1427,predictive_entropy_p25,0.5786186754703522
test,1427,predictive_entropy_p50,0.8088873624801636
