split,stage,metric,value
train,before,accuracy,0.7110106051154086
train,before,balanced_accuracy,0.7105598599710725
train,before,macro_f1,0.7091110496988277
train,before,log_loss,0.6888215806095571
train,before,brier_multiclass,0.3848114797153316
train,before,ece_15bin,0.03258955817499981
train,before,top1_prob_mean,0.678450345993042
train,before,top1_prob_p25,0.5340218096971512
train,before,top1_prob_p50,0.6647487878799438
train,before,top1_prob_p75,0.8328502178192139
train,before,top1_top2_margin_mean,0.4474346339702606
train,before,top1_top2_margin_p25,0.17282726243138313
train,before,top1_top2_margin_p50,0.40279488265514374
train,before,top1_top2_margin_p75,0.70683653652668
train,before,predictive_entropy_mean,0.7544345855712891
train,before,predictive_entropy_p25,0.5313933491706848
train,before,predictive_entropy_p50,0.7442112565040588
train,before,predictive_entropy_p75,0.9910496026277542
train,before,n,6412.0
train,after,accuracy,0.7110106051154086
train,after,balanced_accuracy,0.7105598599710725
train,after,macro_f1,0.7091110496988277
train,after,log_loss,0.8232161406859079
train,after,brier_multiclass,0.4408223083205198
train,after,ece_15bin,0.1868204390763753
train,after,top1_prob_mean,0.5241901278495789
train,after,top1_prob_p25,0.415040098130703
train,after,top1_prob_p50,0.5058671236038208
train,after,top1_prob_p75,0.6108566075563431
train,after,top1_top2_margin_mean,0.2546444237232208
train,after,top1_top2_margin_p25,0.0771070197224617
train,after,top1_top2_margin_p50,0.18727149069309235
train,after,top1_top2_margin_p75,0.37378036230802536
train,after,predictive_entropy_mean,1.1415265798568726
train,after,predictive_entropy_p25,0.9430763125419617
train,after,predictive_entropy_p50,1.1363229155540466
train,after,predictive_entropy_p75,1.3471008241176605
train,after,n,6412.0
val,before,accuracy,0.5215877437325905
val,before,balanced_accuracy,0.5215286618729145
val,before,macro_f1,0.5174009310794978
val,before,log_loss,1.3174329527233632
val,before,brier_multiclass,0.6351583986296079
val,before,ece_15bin,0.14284567796420256
val,before,top1_prob_mean,0.6629248261451721
val,before,top1_prob_p25,0.5097526013851166
val,before,top1_prob_p50,0.6316169500350952
val,before,top1_prob_p75,0.8290005177259445
val,before,top1_top2_margin_mean,0.423940509557724
val,before,top1_top2_margin_p25,0.14054130017757416
val,before,top1_top2_margin_p50,0.3432038128376007
val,before,top1_top2_margin_p75,0.6999011635780334
val,before,predictive_entropy_mean,0.7769163250923157
val,before,predictive_entropy_p25,0.5489602535963058
val,before,predictive_entropy_p50,0.7765015959739685
val,before,predictive_entropy_p75,1.0479182600975037
val,before,n,1436.0
val,after,accuracy,0.5215877437325905
val,after,balanced_accuracy,0.5215286618729145
val,after,macro_f1,0.5174009310794978
val,after,log_loss,1.151492930639814
val,after,brier_multiclass,0.5973186830992704
val,after,ece_15bin,0.02704965825449458
val,after,top1_prob_mean,0.5167188048362732
val,after,top1_prob_p25,0.39297454059123993
val,after,top1_prob_p50,0.4871186912059784
val,after,top1_prob_p75,0.6046121716499329
val,after,top1_top2_margin_mean,0.2477479875087738
val,after,top1_top2_margin_p25,0.061620235443115234
val,after,top1_top2_margin_p50,0.15492917597293854
val,after,top1_top2_margin_p75,0.367868609726429
val,after,predictive_entropy_mean,1.150660514831543
val,after,predictive_entropy_p25,0.9369801878929138
val,after,predictive_entropy_p50,1.1641326546669006
val,after,predictive_entropy_p75,1.402553230524063
val,after,n,1436.0
test,before,accuracy,0.5283812193412754
test,before,balanced_accuracy,0.5284541048925812
test,before,macro_f1,0.518438497855714
test,before,log_loss,1.2285802627600486
test,before,brier_multiclass,0.6258393956080223
test,before,ece_15bin,0.13395954984923553
test,before,top1_prob_mean,0.6526565551757812
test,before,top1_prob_p25,0.5100635290145874
test,before,top1_prob_p50,0.6354728937149048
test,before,top1_prob_p75,0.8060418665409088
test,before,top1_top2_margin_mean,0.4163227379322052
test,before,top1_top2_margin_p25,0.14773863554000854
test,before,top1_top2_margin_p50,0.35875076055526733
test,before,top1_top2_margin_p75,0.6607126593589783
test,before,predictive_entropy_mean,0.8163506388664246
test,before,predictive_entropy_p25,0.5786188244819641
test,before,predictive_entropy_p50,0.8088873624801636
test,before,predictive_entropy_p75,1.0697364211082458
test,before,n,1427.0
test,after,accuracy,0.5283812193412754
test,after,balanced_accuracy,0.5284541048925812
test,after,macro_f1,0.518438497855714
test,after,log_loss,1.1296345371838044
test,after,brier_multiclass,0.5982759132644774
test,after,ece_15bin,0.05400897083202273
test,after,top1_prob_mean,0.49850666522979736
test,after,top1_prob_p25,0.3877221792936325
test,after,top1_prob_p50,0.4795618951320648
test,after,top1_prob_p75,0.5880652070045471
test,after,top1_top2_margin_mean,0.23061096668243408
test,after,top1_top2_margin_p25,0.06358776241540909
test,after,top1_top2_margin_p50,0.16020554304122925
test,after,top1_top2_margin_p75,0.33802878856658936
test,after,predictive_entropy_mean,1.200727939605713
test,after,predictive_entropy_p25,1.002724826335907
test,after,predictive_entropy_p50,1.195651888847351
test,after,predictive_entropy_p75,1.4344227313995361
test,after,n,1427.0
—,—,fitted_temperature,1.9579001665115356
—,—,lbfgs_n_closures,16.0
—,—,final_val_nll,1.151492953300476
