breakdown,posture,n,k,template_i2t_R,class_i2t_R,ambig_i2t_R,strict_i2t_R,class
posture,SA,477,1,0.740041928721174,0.39622641509433965,0.9203354297693921,0.014675052410901468,
posture,SA,477,5,0.9161425576519916,0.859538784067086,0.9412997903563941,0.06289308176100629,
posture,CA,473,1,0.6617336152219874,0.3192389006342495,0.9112050739957717,0.012684989429175475,
posture,CA,473,5,0.8710359408033826,0.7928118393234672,0.945031712473573,0.046511627906976744,
posture,HW,477,1,0.8658280922431866,0.33752620545073375,0.9245283018867925,0.010482180293501049,
posture,HW,477,5,0.8930817610062893,0.8071278825995807,0.9287211740041929,0.06708595387840671,
posture,ALL,1427,1,0.7021723896285914,0.3461807988787666,0.9145059565522075,0.009810791871058164,
posture,ALL,1427,5,0.8149964961457603,0.8100911002102312,0.9355290819901892,0.056762438682550806,
class,,237,1,0.7046413502109705,0.34177215189873417,0.9789029535864979,,C1
class,,237,5,0.8481012658227848,0.7890295358649789,0.9831223628691983,,C1
class,,239,1,0.6359832635983264,0.3598326359832636,0.9163179916317992,,C2
class,,239,5,0.7656903765690377,0.8200836820083682,0.9330543933054394,,C2
class,,238,1,0.7058823529411765,0.4327731092436975,0.8445378151260504,,C3
class,,238,5,0.8109243697478992,0.8445378151260504,0.8991596638655462,,C3
class,,235,1,0.7957446808510639,0.4340425531914894,0.8808510638297873,,C4
class,,235,5,0.8680851063829788,0.8680851063829788,0.9063829787234042,,C4
class,,238,1,0.7310924369747899,0.25630252100840334,0.9663865546218487,,C5
class,,238,5,0.8277310924369747,0.7647058823529411,0.9705882352941176,,C5
class,,240,1,0.6416666666666667,0.25416666666666665,0.9,,C6
class,,240,5,0.7708333333333334,0.775,0.9208333333333333,,C6
