split,metric,value
train,n,6428.0
train,accuracy,0.8585874299937772
train,balanced_accuracy,0.8583609435988951
train,macro_f1,0.8573026450276814
train,weighted_f1,0.8573928484856246
train,log_loss,0.3790836577835427
train,brier_multiclass,0.210484468622552
train,ece_15bin,0.060673060207427736
train,top1_prob_mean,0.7988112568855286
train,top1_top2_margin_mean,0.6430661082267761
train,predictive_entropy_mean,0.49583297967910767
train,attention_entropy_mean,2.457758665084839
train,amb_c2_recall,0.9573283858998145
train,amb_c1_c5_c6_internal,0.12414649286157665
train,amb_c3_c4_pair,0.09727443609022557
train,amb_c3_to_c2_absorb,0.10244360902255639
train,amb_c4_to_c2_absorb,0.03477443609022556
train,precision_C1,0.8712328767123287
train,recall_C1,0.8866171003717472
train,f1_C1,0.878857669276831
train,support_C1,1076.0
train,precision_C2,0.8452088452088452
train,recall_C2,0.9573283858998145
train,f1_C2,0.8977816441931274
train,support_C2,1078.0
train,precision_C3,0.8692946058091287
train,recall_C3,0.7875939849624061
train,f1_C3,0.8264299802761341
train,support_C3,1064.0
train,precision_C4,0.8762376237623762
train,recall_C4,0.831766917293233
train,f1_C4,0.8534233365477338
train,support_C4,1064.0
train,precision_C5,0.8353413654618473
train,recall_C5,0.7753960857409133
train,f1_C5,0.8042532624456259
train,support_C5,1073.0
train,precision_C6,0.8563922942206655
train,recall_C6,0.9114631873252563
train,f1_C6,0.8830699774266366
train,support_C6,1073.0
val,n,1420.0
val,accuracy,0.5204225352112676
val,balanced_accuracy,0.5201104781009445
val,macro_f1,0.5162210167343191
val,weighted_f1,0.5162806184779947
val,log_loss,1.4688819492630898
val,brier_multiclass,0.6792760401877266
val,ece_15bin,0.22603441627932266
val,top1_prob_mean,0.7439716458320618
val,top1_top2_margin_mean,0.5548321604728699
val,predictive_entropy_mean,0.6290966868400574
val,attention_entropy_mean,2.479337453842163
val,amb_c2_recall,0.7416666666666667
val,amb_c1_c5_c6_internal,0.3688639551192146
val,amb_c3_c4_pair,0.25481798715203424
val,amb_c3_to_c2_absorb,0.19736842105263158
val,amb_c4_to_c2_absorb,0.09623430962343096
val,precision_C1,0.5416666666666666
val,recall_C1,0.5485232067510548
val,f1_C1,0.5450733752620545
val,support_C1,237.0
val,precision_C2,0.5933333333333334
val,recall_C2,0.7416666666666667
val,f1_C2,0.6592592592592592
val,support_C2,240.0
val,precision_C3,0.5471698113207547
val,recall_C3,0.5087719298245614
val,f1_C3,0.5272727272727272
val,support_C3,228.0
val,precision_C4,0.4748858447488584
val,recall_C4,0.4351464435146444
val,f1_C4,0.45414847161572053
val,support_C4,239.0
val,precision_C5,0.47368421052631576
val,recall_C5,0.41596638655462187
val,f1_C5,0.4429530201342282
val,support_C5,238.0
val,precision_C6,0.4666666666666667
val,recall_C6,0.47058823529411764
val,f1_C6,0.4686192468619247
val,support_C6,238.0
test,n,1427.0
test,accuracy,0.5339873861247372
test,balanced_accuracy,0.5340339827914289
test,macro_f1,0.5322810743831395
test,weighted_f1,0.5322333680169402
test,log_loss,1.4147789276251659
test,brier_multiclass,0.6734910741975384
test,ece_15bin,0.21218878506945826
test,top1_prob_mean,0.7399333715438843
test,top1_top2_margin_mean,0.548391580581665
test,predictive_entropy_mean,0.6227717399597168
test,attention_entropy_mean,2.48009991645813
test,amb_c2_recall,0.7046413502109705
test,amb_c1_c5_c6_internal,0.3994413407821229
test,amb_c3_c4_pair,0.310126582278481
test,amb_c3_to_c2_absorb,0.1518987341772152
test,amb_c4_to_c2_absorb,0.0379746835443038
test,precision_C1,0.5298804780876494
test,recall_C1,0.5541666666666667
test,f1_C1,0.5417515274949084
test,support_C1,240.0
test,precision_C2,0.6788617886178862
test,recall_C2,0.7046413502109705
test,f1_C2,0.6915113871635611
test,support_C2,237.0
test,precision_C3,0.5157894736842106
test,recall_C3,0.41350210970464135
test,f1_C3,0.45901639344262296
test,support_C3,237.0
test,precision_C4,0.4861111111111111
test,recall_C4,0.5907172995780591
test,f1_C4,0.5333333333333333
test,support_C4,237.0
test,precision_C5,0.44841269841269843
test,recall_C5,0.47478991596638653
test,f1_C5,0.46122448979591835
test,support_C5,238.0
test,precision_C6,0.555
test,recall_C6,0.46638655462184875
test,f1_C6,0.5068493150684932
test,support_C6,238.0
