split,true_class,pred_class,count
train,C1,C1,1067
train,C1,C2,0
train,C1,C3,0
train,C1,C4,0
train,C1,C5,4
train,C1,C6,4
train,C2,C1,1
train,C2,C2,1070
train,C2,C3,4
train,C2,C4,0
train,C2,C5,0
train,C2,C6,0
train,C3,C1,0
train,C3,C2,24
train,C3,C3,1005
train,C3,C4,35
train,C3,C5,0
train,C3,C6,1
train,C4,C1,0
train,C4,C2,3
train,C4,C3,34
train,C4,C4,1028
train,C4,C5,8
train,C4,C6,2
train,C5,C1,57
train,C5,C2,0
train,C5,C3,0
train,C5,C4,4
train,C5,C5,1004
train,C5,C6,6
train,C6,C1,16
train,C6,C2,4
train,C6,C3,1
train,C6,C4,1
train,C6,C5,22
train,C6,C6,1029
val,C1,C1,128
val,C1,C2,22
val,C1,C3,7
val,C1,C4,6
val,C1,C5,57
val,C1,C6,18
val,C2,C1,5
val,C2,C2,172
val,C2,C3,29
val,C2,C4,17
val,C2,C5,7
val,C2,C6,10
val,C3,C1,1
val,C3,C2,58
val,C3,C3,86
val,C3,C4,72
val,C3,C5,5
val,C3,C6,6
val,C4,C1,2
val,C4,C2,26
val,C4,C3,54
val,C4,C4,130
val,C4,C5,18
val,C4,C6,7
val,C5,C1,65
val,C5,C2,8
val,C5,C3,9
val,C5,C4,23
val,C5,C5,95
val,C5,C6,39
val,C6,C1,29
val,C6,C2,11
val,C6,C3,6
val,C6,C4,19
val,C6,C5,56
val,C6,C6,117
test,C1,C1,128
test,C1,C2,28
test,C1,C3,8
test,C1,C4,7
test,C1,C5,41
test,C1,C6,28
test,C2,C1,7
test,C2,C2,166
test,C2,C3,39
test,C2,C4,12
test,C2,C5,10
test,C2,C6,6
test,C3,C1,1
test,C3,C2,35
test,C3,C3,92
test,C3,C4,94
test,C3,C5,12
test,C3,C6,2
test,C4,C1,9
test,C4,C2,4
test,C4,C3,78
test,C4,C4,110
test,C4,C5,17
test,C4,C6,10
test,C5,C1,63
test,C5,C2,31
test,C5,C3,10
test,C5,C4,29
test,C5,C5,75
test,C5,C6,31
test,C6,C1,30
test,C6,C2,13
test,C6,C3,6
test,C6,C4,20
test,C6,C5,69
test,C6,C6,100
