split,stage,metric,value
train,before,accuracy,0.9399221789883269
train,before,balanced_accuracy,0.9398638657012927
train,before,macro_f1,0.9396430583823653
train,before,log_loss,0.16718095229837449
train,before,brier_multiclass,0.09186124699864713
train,before,ece_15bin,0.0331343089513742
train,before,top1_prob_mean,0.9067878127098083
train,before,top1_prob_p25,0.8752306699752808
train,before,top1_prob_p50,0.9803628325462341
train,before,top1_prob_p75,0.9974159002304077
train,before,top1_top2_margin_mean,0.8276317715644836
train,before,predictive_entropy_mean,0.24598060548305511
train,before,n,6425.0
train,after,accuracy,0.9399221789883269
train,after,balanced_accuracy,0.9398638657012927
train,after,macro_f1,0.9396430583823653
train,after,log_loss,0.553491233651928
train,after,brier_multiclass,0.2607477875819062
train,after,ece_15bin,0.33502062543356925
train,after,top1_prob_mean,0.6049015522003174
train,after,top1_prob_p25,0.48540759086608887
train,after,top1_prob_p50,0.6084686517715454
train,after,top1_prob_p75,0.7280241847038269
train,after,top1_top2_margin_mean,0.39480769634246826
train,after,predictive_entropy_mean,1.0754051208496094
train,after,n,6425.0
val,before,accuracy,0.5080815179198875
val,before,balanced_accuracy,0.5076547866272628
val,before,macro_f1,0.49975217116128495
val,before,log_loss,2.1911421328011538
val,before,brier_multiclass,0.7813638142883814
val,before,ece_15bin,0.3208125917449101
val,before,top1_prob_mean,0.8288940787315369
val,before,top1_prob_p25,0.6900828182697296
val,before,top1_prob_p50,0.9018086791038513
val,before,top1_prob_p75,0.985968679189682
val,before,top1_top2_margin_mean,0.6944312453269958
val,before,predictive_entropy_mean,0.42668184638023376
val,before,n,1423.0
val,after,accuracy,0.5080815179198875
val,after,balanced_accuracy,0.5076547866272628
val,after,macro_f1,0.49975217116128495
val,after,log_loss,1.2184480684598178
val,after,brier_multiclass,0.6211102772652451
val,after,ece_15bin,0.050518351965024286
val,after,top1_prob_mean,0.5203188061714172
val,after,top1_prob_p25,0.397169291973114
val,after,top1_prob_p50,0.49925729632377625
val,after,top1_prob_p75,0.629347562789917
val,after,top1_top2_margin_mean,0.2792719900608063
val,after,predictive_entropy_mean,1.2176505327224731
val,after,n,1423.0
test,before,accuracy,0.4989488437281009
test,before,balanced_accuracy,0.4989570869469149
test,before,macro_f1,0.48752428410704085
test,before,log_loss,2.085817310284105
test,before,brier_multiclass,0.7729434515691206
test,before,ece_15bin,0.3274306473547375
test,before,top1_prob_mean,0.8252663016319275
test,before,top1_prob_p25,0.6870352923870087
test,before,top1_prob_p50,0.8951452970504761
test,before,top1_prob_p75,0.987884908914566
test,before,top1_top2_margin_mean,0.6890504956245422
test,before,predictive_entropy_mean,0.4346224367618561
test,before,n,1427.0
test,after,accuracy,0.4989488437281009
test,after,balanced_accuracy,0.4989570869469149
test,after,macro_f1,0.48752428410704085
test,after,log_loss,1.195563293916804
test,after,brier_multiclass,0.6126737485972634
test,after,ece_15bin,0.04289757114193535
test,after,top1_prob_mean,0.5195411443710327
test,after,top1_prob_p25,0.38759253919124603
test,after,top1_prob_p50,0.49385377764701843
test,after,top1_prob_p75,0.6437190473079681
test,after,top1_top2_margin_mean,0.28340867161750793
test,after,predictive_entropy_mean,1.2231444120407104
test,after,n,1427.0
—,—,fitted_temperature,3.8318798542022705
