branch,split,stage,metric,value
raw,train,before,accuracy,0.9925779317169718
raw,train,before,balanced_accuracy,0.9925760111116647
raw,train,before,macro_f1,0.9925746656523984
raw,train,before,log_loss,0.3326397330994303
raw,train,before,brier_multiclass,0.12789014216111289
raw,train,before,ece_15bin,0.25636690623895936
raw,train,before,top1_prob_mean,0.7362110254780124
raw,train,before,top1_prob_p25,0.6346256502406487
raw,train,before,top1_prob_p50,0.7551787174937792
raw,train,before,top1_prob_p75,0.8517511475759116
raw,train,before,top1_top2_margin_mean,0.6011036961604277
raw,train,before,top1_top2_margin_p25,0.4513483676614389
raw,train,before,top1_top2_margin_p50,0.6238303849296056
raw,train,before,top1_top2_margin_p75,0.7711313793326922
raw,train,before,predictive_entropy_mean,0.8231342857134203
raw,train,before,predictive_entropy_p25,0.5615272274105098
raw,train,before,predictive_entropy_p50,0.8167448548365313
raw,train,before,predictive_entropy_p75,1.0923295355390499
raw,train,before,n,6063.0
raw,train,after,accuracy,0.9925779317169718
raw,train,after,balanced_accuracy,0.9925760111116647
raw,train,after,macro_f1,0.9925746656523984
raw,train,after,log_loss,0.9566847236830565
raw,train,after,brier_multiclass,0.46590993914223966
raw,train,after,ece_15bin,0.597542675625534
raw,train,after,top1_prob_mean,0.39503525609143786
raw,train,after,top1_prob_p25,0.3253927292133863
raw,train,after,top1_prob_p50,0.3824534095143354
raw,train,after,top1_prob_p75,0.44943417468551966
raw,train,after,top1_top2_margin_mean,0.1947230715825288
raw,train,after,top1_top2_margin_p25,0.11865061376809459
raw,train,after,top1_top2_margin_p50,0.17857497096810943
raw,train,after,top1_top2_margin_p75,0.2503402167798273
raw,train,after,predictive_entropy_mean,1.5578914749045556
raw,train,after,predictive_entropy_p25,1.4819212895911285
raw,train,after,predictive_entropy_p50,1.594734258797317
raw,train,after,predictive_entropy_p75,1.6750485192544593
raw,train,after,n,6063.0
raw,val,before,accuracy,0.3170391061452514
raw,val,before,balanced_accuracy,0.3168293283266545
raw,val,before,macro_f1,0.3046121809174018
raw,val,before,log_loss,1.929870282927684
raw,val,before,brier_multiclass,0.872273538725298
raw,val,before,ece_15bin,0.22992245812453943
raw,val,before,top1_prob_mean,0.5469615642697908
raw,val,before,top1_prob_p25,0.39079849884194073
raw,val,before,top1_prob_p50,0.500936916082821
raw,val,before,top1_prob_p75,0.6897292493598429
raw,val,before,top1_top2_margin_mean,0.3245880684211198
raw,val,before,top1_top2_margin_p25,0.09320880625073406
raw,val,before,top1_top2_margin_p50,0.24545823309731862
raw,val,before,top1_top2_margin_p75,0.5057903643493393
raw,val,before,predictive_entropy_mean,1.1377103001256885
raw,val,before,predictive_entropy_p25,0.8984802642273773
raw,val,before,predictive_entropy_p50,1.2235354231842877
raw,val,before,predictive_entropy_p75,1.4415040724319612
raw,val,before,n,716.0
raw,val,after,accuracy,0.3170391061452514
raw,val,after,balanced_accuracy,0.3168293283266545
raw,val,after,macro_f1,0.3046121809174018
raw,val,after,log_loss,1.6210073866983838
raw,val,after,brier_multiclass,0.7788422832557524
raw,val,after,ece_15bin,0.05683909062688674
raw,val,after,top1_prob_mean,0.3223765605607337
raw,val,after,top1_prob_p25,0.2530490750839186
raw,val,after,top1_prob_p50,0.2937589999340873
raw,val,after,top1_prob_p75,0.3669930314962593
raw,val,after,top1_top2_margin_mean,0.1012598855030105
raw,val,after,top1_top2_margin_p25,0.02507466814582012
raw,val,after,top1_top2_margin_p50,0.06315060870809686
raw,val,after,top1_top2_margin_p75,0.13666328207372214
raw,val,after,predictive_entropy_mean,1.6210073812991035
raw,val,after,predictive_entropy_p25,1.5655609756464823
raw,val,after,predictive_entropy_p50,1.6607434129718446
raw,val,after,predictive_entropy_p75,1.7255607646331268
raw,val,after,n,716.0
raw,test,before,accuracy,0.296474358974359
raw,test,before,balanced_accuracy,0.2958697597989327
raw,test,before,macro_f1,0.2937240217789862
raw,test,before,log_loss,2.077777559301793
raw,test,before,brier_multiclass,0.9007586419013435
raw,test,before,ece_15bin,0.2677870365542402
raw,test,before,top1_prob_mean,0.5642613955285992
raw,test,before,top1_prob_p25,0.41824025496672923
raw,test,before,top1_prob_p50,0.5269277328922786
raw,test,before,top1_prob_p75,0.696235430052358
raw,test,before,top1_top2_margin_mean,0.34189140219705977
raw,test,before,top1_top2_margin_p25,0.11271505099534286
raw,test,before,top1_top2_margin_p50,0.26929909700483534
raw,test,before,top1_top2_margin_p75,0.5177215432112996
raw,test,before,predictive_entropy_mean,1.0985246313513104
raw,test,before,predictive_entropy_p25,0.8599073607309069
raw,test,before,predictive_entropy_p50,1.1656802023166137
raw,test,before,predictive_entropy_p75,1.4051288837065339
raw,test,before,n,2496.0
raw,test,after,accuracy,0.296474358974359
raw,test,after,balanced_accuracy,0.2958697597989327
raw,test,after,macro_f1,0.2937240217789862
raw,test,after,log_loss,1.6535519084556647
raw,test,after,brier_multiclass,0.787930950214236
raw,test,after,ece_15bin,0.03719446800830296
raw,test,after,top1_prob_mean,0.3336688269826619
raw,test,after,top1_prob_p25,0.26105498315519543
raw,test,after,top1_prob_p50,0.3067455466132907
raw,test,after,top1_prob_p75,0.3782300715373992
raw,test,after,top1_top2_margin_mean,0.10947538755587094
raw,test,after,top1_top2_margin_p25,0.028727564617579013
raw,test,after,top1_top2_margin_p50,0.0695619519123174
raw,test,after,top1_top2_margin_p75,0.14276466128481655
raw,test,after,predictive_entropy_mean,1.5998177221201273
raw,test,after,predictive_entropy_p25,1.5258159093935566
raw,test,after,predictive_entropy_p50,1.6480657060323316
raw,test,after,predictive_entropy_p75,1.719449092498657
raw,test,after,n,2496.0
raw,—,—,fitted_temperature,2.8134247749812644
raw,—,—,lbfgs_n_iters,16.0
raw,—,—,final_val_nll,1.6210073866983838
zscore,train,before,accuracy,0.9930727362691737
zscore,train,before,balanced_accuracy,0.9930736644272923
zscore,train,before,macro_f1,0.993071757633814
