condition,split,true_class,pred_class,count
raw,train,C1,C1,1008
raw,train,C1,C2,1
raw,train,C1,C3,1
raw,train,C1,C4,2
raw,train,C1,C5,2
raw,train,C1,C6,0
raw,train,C2,C1,0
raw,train,C2,C2,1011
raw,train,C2,C3,2
raw,train,C2,C4,0
raw,train,C2,C5,0
raw,train,C2,C6,1
raw,train,C3,C1,1
raw,train,C3,C2,3
raw,train,C3,C3,999
raw,train,C3,C4,3
raw,train,C3,C5,1
raw,train,C3,C6,3
raw,train,C4,C1,0
raw,train,C4,C2,0
raw,train,C4,C3,3
raw,train,C4,C4,1000
raw,train,C4,C5,2
raw,train,C4,C6,0
raw,train,C5,C1,2
raw,train,C5,C2,1
raw,train,C5,C3,1
raw,train,C5,C4,2
raw,train,C5,C5,1001
raw,train,C5,C6,3
raw,train,C6,C1,6
raw,train,C6,C2,1
raw,train,C6,C3,1
raw,train,C6,C4,1
raw,train,C6,C5,2
raw,train,C6,C6,999
raw,val,C1,C1,28
raw,val,C1,C2,27
raw,val,C1,C3,6
raw,val,C1,C4,2
raw,val,C1,C5,25
raw,val,C1,C6,31
raw,val,C2,C1,10
raw,val,C2,C2,79
raw,val,C2,C3,11
raw,val,C2,C4,4
raw,val,C2,C5,4
raw,val,C2,C6,12
raw,val,C3,C1,6
raw,val,C3,C2,50
raw,val,C3,C3,31
raw,val,C3,C4,15
raw,val,C3,C5,5
raw,val,C3,C6,12
raw,val,C4,C1,11
raw,val,C4,C2,16
raw,val,C4,C3,33
raw,val,C4,C4,31
raw,val,C4,C5,13
raw,val,C4,C6,13
raw,val,C5,C1,29
raw,val,C5,C2,35
raw,val,C5,C3,4
raw,val,C5,C4,8
raw,val,C5,C5,21
raw,val,C5,C6,24
raw,val,C6,C1,21
raw,val,C6,C2,24
raw,val,C6,C3,6
raw,val,C6,C4,5
raw,val,C6,C5,27
raw,val,C6,C6,37
raw,test,C1,C1,168
raw,test,C1,C2,44
raw,test,C1,C3,31
raw,test,C1,C4,37
raw,test,C1,C5,74
raw,test,C1,C6,66
raw,test,C2,C1,43
raw,test,C2,C2,182
raw,test,C2,C3,56
raw,test,C2,C4,50
raw,test,C2,C5,50
raw,test,C2,C6,40
raw,test,C3,C1,28
raw,test,C3,C2,74
raw,test,C3,C3,97
raw,test,C3,C4,108
raw,test,C3,C5,51
raw,test,C3,C6,42
raw,test,C4,C1,29
raw,test,C4,C2,42
raw,test,C4,C3,130
raw,test,C4,C4,109
raw,test,C4,C5,57
raw,test,C4,C6,51
raw,test,C5,C1,98
raw,test,C5,C2,57
raw,test,C5,C3,38
raw,test,C5,C4,60
raw,test,C5,C5,89
raw,test,C5,C6,76
raw,test,C6,C1,107
raw,test,C6,C2,43
raw,test,C6,C3,46
raw,test,C6,C4,41
raw,test,C6,C5,87
raw,test,C6,C6,95
zscore,train,C1,C1,1005
zscore,train,C1,C2,2
zscore,train,C1,C3,0
zscore,train,C1,C4,3
zscore,train,C1,C5,2
zscore,train,C1,C6,2
zscore,train,C2,C1,1
zscore,train,C2,C2,1010
zscore,train,C2,C3,0
zscore,train,C2,C4,1
zscore,train,C2,C5,1
zscore,train,C2,C6,1
zscore,train,C3,C1,1
zscore,train,C3,C2,1
zscore,train,C3,C3,1006
zscore,train,C3,C4,2
zscore,train,C3,C5,0
zscore,train,C3,C6,0
zscore,train,C4,C1,0
zscore,train,C4,C2,0
zscore,train,C4,C3,1
zscore,train,C4,C4,1000
zscore,train,C4,C5,1
zscore,train,C4,C6,3
zscore,train,C5,C1,5
zscore,train,C5,C2,0
zscore,train,C5,C3,0
zscore,train,C5,C4,5
zscore,train,C5,C5,996
zscore,train,C5,C6,4
zscore,train,C6,C1,3
zscore,train,C6,C2,1
zscore,train,C6,C3,0
zscore,train,C6,C4,1
zscore,train,C6,C5,1
zscore,train,C6,C6,1004
zscore,val,C1,C1,29
zscore,val,C1,C2,32
zscore,val,C1,C3,7
zscore,val,C1,C4,4
zscore,val,C1,C5,19
zscore,val,C1,C6,28
zscore,val,C2,C1,8
zscore,val,C2,C2,82
zscore,val,C2,C3,8
zscore,val,C2,C4,4
zscore,val,C2,C5,5
zscore,val,C2,C6,13
zscore,val,C3,C1,7
zscore,val,C3,C2,55
zscore,val,C3,C3,23
zscore,val,C3,C4,20
zscore,val,C3,C5,4
zscore,val,C3,C6,10
zscore,val,C4,C1,9
zscore,val,C4,C2,15
zscore,val,C4,C3,38
zscore,val,C4,C4,30
zscore,val,C4,C5,10
zscore,val,C4,C6,15
zscore,val,C5,C1,27
zscore,val,C5,C2,52
zscore,val,C5,C3,2
zscore,val,C5,C4,8
zscore,val,C5,C5,18
zscore,val,C5,C6,14
zscore,val,C6,C1,22
zscore,val,C6,C2,37
zscore,val,C6,C3,7
zscore,val,C6,C4,5
zscore,val,C6,C5,20
zscore,val,C6,C6,29
zscore,test,C1,C1,161
zscore,test,C1,C2,58
zscore,test,C1,C3,34
zscore,test,C1,C4,43
zscore,test,C1,C5,70
zscore,test,C1,C6,54
zscore,test,C2,C1,55
zscore,test,C2,C2,184
zscore,test,C2,C3,51
zscore,test,C2,C4,55
zscore,test,C2,C5,33
zscore,test,C2,C6,43
zscore,test,C3,C1,36
zscore,test,C3,C2,64
zscore,test,C3,C3,104
zscore,test,C3,C4,103
zscore,test,C3,C5,50
zscore,test,C3,C6,43
zscore,test,C4,C1,31
zscore,test,C4,C2,50
zscore,test,C4,C3,113
zscore,test,C4,C4,124
zscore,test,C4,C5,50
zscore,test,C4,C6,50
zscore,test,C5,C1,114
zscore,test,C5,C2,52
zscore,test,C5,C3,49
zscore,test,C5,C4,60
zscore,test,C5,C5,67
zscore,test,C5,C6,76
zscore,test,C6,C1,106
zscore,test,C6,C2,59
zscore,test,C6,C3,36
zscore,test,C6,C4,55
zscore,test,C6,C5,85
zscore,test,C6,C6,78
