condition,split,n,metric,value
raw,train,6063,accuracy,0.9925779317169718
raw,train,6063,balanced_accuracy,0.9925760111116647
raw,train,6063,macro_f1,0.9925746656523984
raw,train,6063,weighted_f1,0.9925758694725068
raw,train,6063,log_loss,0.33263973309943057
raw,train,6063,brier_multiclass,0.12789014216111297
raw,train,6063,ece_15bin,0.2563669062389595
raw,train,6063,top1_prob_mean,0.7362110254780121
raw,train,6063,top1_prob_p05,0.4554884819580674
raw,train,6063,top1_prob_p25,0.6346256502406484
raw,train,6063,top1_prob_p50,0.7551787174937792
raw,train,6063,top1_prob_p75,0.8517511475759114
raw,train,6063,top1_prob_p95,0.9495888304653255
raw,train,6063,top1_top2_margin_mean,0.6011036961604275
raw,train,6063,top1_top2_margin_p05,0.19873151832560282
raw,train,6063,top1_top2_margin_p25,0.45134836766143877
raw,train,6063,top1_top2_margin_p50,0.6238303849296054
raw,train,6063,top1_top2_margin_p75,0.7711313793326919
raw,train,6063,top1_top2_margin_p95,0.9195045363729546
raw,train,6063,amb_c2_recall,0.9970414201183432
raw,train,6063,amb_c1_c5_c6_internal,0.004943968358602505
raw,train,6063,amb_c3_c4_pair,0.002977667493796526
raw,train,6063,amb_c3_to_c2_absorb,0.0029702970297029703
raw,train,6063,amb_c4_to_c2_absorb,0.0
raw,train,6063,precision_C1,0.9911504424778761
raw,train,6063,recall_C1,0.9940828402366864
raw,train,6063,f1_C1,0.9926144756277696
raw,train,6063,support_C1,1014.0
raw,train,6063,precision_C2,0.9941002949852508
raw,train,6063,recall_C2,0.9970414201183432
raw,train,6063,f1_C2,0.9955686853766618
raw,train,6063,support_C2,1014.0
raw,train,6063,precision_C3,0.9920556107249255
raw,train,6063,recall_C3,0.9891089108910891
raw,train,6063,f1_C3,0.9905800694100149
raw,train,6063,support_C3,1010.0
raw,train,6063,precision_C4,0.9920634920634921
raw,train,6063,recall_C4,0.9950248756218906
raw,train,6063,f1_C4,0.9935419771485345
raw,train,6063,support_C4,1005.0
raw,train,6063,precision_C5,0.9930555555555556
raw,train,6063,recall_C5,0.9910891089108911
raw,train,6063,f1_C5,0.9920713577799801
raw,train,6063,support_C5,1010.0
raw,train,6063,precision_C6,0.9930417495029821
raw,train,6063,recall_C6,0.9891089108910891
raw,train,6063,f1_C6,0.9910714285714286
raw,train,6063,support_C6,1010.0
raw,val,716,accuracy,0.3170391061452514
raw,val,716,balanced_accuracy,0.3168293283266545
raw,val,716,macro_f1,0.3046121809174018
raw,val,716,weighted_f1,0.30439664607228717
raw,val,716,log_loss,1.9298702829276817
raw,val,716,brier_multiclass,0.872273538725298
raw,val,716,ece_15bin,0.22992245812453932
raw,val,716,top1_prob_mean,0.5469615642697908
raw,val,716,top1_prob_p05,0.29134035085713006
raw,val,716,top1_prob_p25,0.39079849884194073
raw,val,716,top1_prob_p50,0.5009369160828209
raw,val,716,top1_prob_p75,0.6897292493598427
raw,val,716,top1_prob_p95,0.9159699458922613
raw,val,716,top1_top2_margin_mean,0.3245880684211197
raw,val,716,top1_top2_margin_p05,0.014015704987972374
raw,val,716,top1_top2_margin_p25,0.09320880625073402
raw,val,716,top1_top2_margin_p50,0.2454582330973185
raw,val,716,top1_top2_margin_p75,0.5057903643493393
raw,val,716,top1_top2_margin_p95,0.8687246574918559
raw,val,716,amb_c2_recall,0.6583333333333333
raw,val,716,amb_c1_c5_c6_internal,0.4361111111111111
raw,val,716,amb_c3_c4_pair,0.2033898305084746
raw,val,716,amb_c3_to_c2_absorb,0.42016806722689076
raw,val,716,amb_c4_to_c2_absorb,0.13675213675213677
raw,val,716,precision_C1,0.26666666666666666
raw,val,716,recall_C1,0.23529411764705882
raw,val,716,f1_C1,0.25
raw,val,716,support_C1,119.0
raw,val,716,precision_C2,0.341991341991342
raw,val,716,recall_C2,0.6583333333333333
raw,val,716,f1_C2,0.45014245014245013
raw,val,716,support_C2,120.0
raw,val,716,precision_C3,0.34065934065934067
raw,val,716,recall_C3,0.2605042016806723
raw,val,716,f1_C3,0.29523809523809524
raw,val,716,support_C3,119.0
raw,val,716,precision_C4,0.47692307692307695
raw,val,716,recall_C4,0.26495726495726496
raw,val,716,f1_C4,0.34065934065934067
raw,val,716,support_C4,117.0
raw,val,716,precision_C5,0.22105263157894736
raw,val,716,recall_C5,0.17355371900826447
raw,val,716,f1_C5,0.19444444444444445
raw,val,716,support_C5,121.0
raw,val,716,precision_C6,0.2868217054263566
raw,val,716,recall_C6,0.30833333333333335
raw,val,716,f1_C6,0.2971887550200803
raw,val,716,support_C6,120.0
raw,test,2496,accuracy,0.296474358974359
raw,test,2496,balanced_accuracy,0.2958697597989327
raw,test,2496,macro_f1,0.2937240217789862
raw,test,2496,weighted_f1,0.29428789701146024
raw,test,2496,log_loss,2.07777755930179
raw,test,2496,brier_multiclass,0.9007586419013435
raw,test,2496,ece_15bin,0.2677870365542401
raw,test,2496,top1_prob_mean,0.564261395528599
raw,test,2496,top1_prob_p05,0.3005084578248694
raw,test,2496,top1_prob_p25,0.4182402549667291
raw,test,2496,top1_prob_p50,0.5269277328922783
raw,test,2496,top1_prob_p75,0.6962354300523579
raw,test,2496,top1_prob_p95,0.9356224107437756
raw,test,2496,top1_top2_margin_mean,0.34189140219705966
raw,test,2496,top1_top2_margin_p05,0.01877447487803989
raw,test,2496,top1_top2_margin_p25,0.11271505099534285
raw,test,2496,top1_top2_margin_p50,0.26929909700483523
raw,test,2496,top1_top2_margin_p75,0.5177215432112996
raw,test,2496,top1_top2_margin_p95,0.8945259606252414
raw,test,2496,amb_c2_recall,0.4323040380047506
raw,test,2496,amb_c1_c5_c6_internal,0.4041368337311058
raw,test,2496,amb_c3_c4_pair,0.29095354523227385
raw,test,2496,amb_c3_to_c2_absorb,0.185
raw,test,2496,amb_c4_to_c2_absorb,0.10047846889952153
raw,test,2496,precision_C1,0.35517970401691334
raw,test,2496,recall_C1,0.4
raw,test,2496,f1_C1,0.3762597984322508
raw,test,2496,support_C1,420.0
raw,test,2496,precision_C2,0.4117647058823529
raw,test,2496,recall_C2,0.4323040380047506
raw,test,2496,f1_C2,0.42178447276940906
raw,test,2496,support_C2,421.0
raw,test,2496,precision_C3,0.24371859296482412
raw,test,2496,recall_C3,0.2425
raw,test,2496,f1_C3,0.24310776942355888
raw,test,2496,support_C3,400.0
raw,test,2496,precision_C4,0.2691358024691358
raw,test,2496,recall_C4,0.2607655502392344
raw,test,2496,f1_C4,0.2648845686512758
raw,test,2496,support_C4,418.0
raw,test,2496,precision_C5,0.2181372549019608
raw,test,2496,recall_C5,0.21291866028708134
raw,test,2496,f1_C5,0.21549636803874092
raw,test,2496,support_C5,418.0
raw,test,2496,precision_C6,0.25675675675675674
raw,test,2496,recall_C6,0.22673031026252982
raw,test,2496,f1_C6,0.24081115335868186
raw,test,2496,support_C6,419.0
zscore,train,6063,accuracy,0.9930727362691737
zscore,train,6063,balanced_accuracy,0.9930736644272923
zscore,train,6063,macro_f1,0.993071757633814
zscore,train,6063,weighted_f1,0.9930733559438638
zscore,train,6063,log_loss,0.328628959633626
zscore,train,6063,brier_multiclass,0.12472500526378294
zscore,train,6063,ece_15bin,0.2538429062191973
zscore,train,6063,top1_prob_mean,0.7392298300499764
zscore,train,6063,top1_prob_p05,0.45171226225441447
zscore,train,6063,top1_prob_p25,0.6404965650480221
zscore,train,6063,top1_prob_p50,0.7605217855073692
zscore,train,6063,top1_prob_p75,0.8581003958721025
zscore,train,6063,top1_prob_p95,0.9537218945147428
zscore,train,6063,top1_top2_margin_mean,0.6100669869777435
zscore,train,6063,top1_top2_margin_p05,0.1969265781449565
zscore,train,6063,top1_top2_margin_p25,0.4649634042637951
zscore,train,6063,top1_top2_margin_p50,0.6372504538422568
zscore,train,6063,top1_top2_margin_p75,0.7772547076968038
zscore,train,6063,top1_top2_margin_p95,0.9274832372050646
zscore,train,6063,amb_c2_recall,0.9960552268244576
zscore,train,6063,amb_c1_c5_c6_internal,0.005603164139749505
zscore,train,6063,amb_c3_c4_pair,0.001488833746898263
zscore,train,6063,amb_c3_to_c2_absorb,0.0009900990099009901
zscore,train,6063,amb_c4_to_c2_absorb,0.0
zscore,train,6063,precision_C1,0.9901477832512315
zscore,train,6063,recall_C1,0.9911242603550295
zscore,train,6063,f1_C1,0.9906357811729917
zscore,train,6063,support_C1,1014.0
zscore,train,6063,precision_C2,0.9960552268244576
zscore,train,6063,recall_C2,0.9960552268244576
zscore,train,6063,f1_C2,0.9960552268244576
zscore,train,6063,support_C2,1014.0
zscore,train,6063,precision_C3,0.9990069513406157
zscore,train,6063,recall_C3,0.996039603960396
zscore,train,6063,f1_C3,0.9975210708973723
zscore,train,6063,support_C3,1010.0
zscore,train,6063,precision_C4,0.9881422924901185
zscore,train,6063,recall_C4,0.9950248756218906
zscore,train,6063,f1_C4,0.991571641051066
zscore,train,6063,support_C4,1005.0
zscore,train,6063,precision_C5,0.995004995004995
zscore,train,6063,recall_C5,0.9861386138613861
