split,true_class,pred_class,count
train,C1,C1,912
train,C1,C2,11
train,C1,C3,1
train,C1,C4,2
train,C1,C5,39
train,C1,C6,49
train,C2,C1,17
train,C2,C2,961
train,C2,C3,18
train,C2,C4,6
train,C2,C5,7
train,C2,C6,5
train,C3,C1,1
train,C3,C2,158
train,C3,C3,695
train,C3,C4,150
train,C3,C5,1
train,C3,C6,5
train,C4,C1,5
train,C4,C2,65
train,C4,C3,146
train,C4,C4,761
train,C4,C5,20
train,C4,C6,8
train,C5,C1,161
train,C5,C2,27
train,C5,C3,0
train,C5,C4,23
train,C5,C5,614
train,C5,C6,185
train,C6,C1,73
train,C6,C2,14
train,C6,C3,1
train,C6,C4,1
train,C6,C5,28
train,C6,C6,893
val,C1,C1,70
val,C1,C2,4
val,C1,C3,0
val,C1,C4,3
val,C1,C5,21
val,C1,C6,21
val,C2,C1,10
val,C2,C2,105
val,C2,C3,3
val,C2,C4,0
val,C2,C5,2
val,C2,C6,0
val,C3,C1,6
val,C3,C2,31
val,C3,C3,49
val,C3,C4,32
val,C3,C5,0
val,C3,C6,1
val,C4,C1,1
val,C4,C2,16
val,C4,C3,38
val,C4,C4,49
val,C4,C5,5
val,C4,C6,8
val,C5,C1,28
val,C5,C2,9
val,C5,C3,0
val,C5,C4,11
val,C5,C5,46
val,C5,C6,27
val,C6,C1,26
val,C6,C2,6
val,C6,C3,1
val,C6,C4,5
val,C6,C5,33
val,C6,C6,49
test,C1,C1,278
test,C1,C2,21
test,C1,C3,9
test,C1,C4,22
test,C1,C5,50
test,C1,C6,40
test,C2,C1,42
test,C2,C2,297
test,C2,C3,29
test,C2,C4,25
test,C2,C5,11
test,C2,C6,17
test,C3,C1,15
test,C3,C2,128
test,C3,C3,111
test,C3,C4,123
test,C3,C5,6
test,C3,C6,17
test,C4,C1,11
test,C4,C2,55
test,C4,C3,87
test,C4,C4,155
test,C4,C5,36
test,C4,C6,74
test,C5,C1,125
test,C5,C2,30
test,C5,C3,16
test,C5,C4,41
test,C5,C5,93
test,C5,C6,113
test,C6,C1,69
test,C6,C2,24
test,C6,C3,10
test,C6,C4,48
test,C6,C5,50
test,C6,C6,218
