split,metric,value
train,n,6063.0
train,accuracy,0.797624938149431
train,balanced_accuracy,0.7974253315996619
train,macro_f1,0.7928568581119116
train,weighted_f1,0.792935026860046
train,log_loss,0.5054928642034765
train,brier_multiclass,0.2834656276553496
train,ece_15bin,0.04806484743330948
train,top1_prob_mean,0.750252902507782
train,top1_top2_margin_mean,0.5674896836280823
train,predictive_entropy_mean,0.6169172525405884
train,attention_entropy_mean,2.14982533454895
train,amb_c2_recall,0.9477317554240631
train,amb_c1_c5_c6_internal,0.17633487145682267
train,amb_c3_c4_pair,0.14689826302729528
train,amb_c3_to_c2_absorb,0.15643564356435644
train,amb_c4_to_c2_absorb,0.06467661691542288
train,precision_C1,0.7801539777587682
train,recall_C1,0.8994082840236687
train,f1_C1,0.8355474118185983
train,support_C1,1014.0
train,precision_C2,0.7775080906148867
train,recall_C2,0.9477317554240631
train,f1_C2,0.8542222222222222
train,support_C2,1014.0
train,precision_C3,0.8072009291521487
train,recall_C3,0.6881188118811881
train,f1_C3,0.7429182255478354
train,support_C3,1010.0
train,precision_C4,0.806998939554613
train,recall_C4,0.7572139303482587
train,f1_C4,0.7813141683778234
train,support_C4,1005.0
train,precision_C5,0.8660084626234132
train,recall_C5,0.6079207920792079
train,f1_C5,0.7143688190808609
train,support_C5,1010.0
train,precision_C6,0.7799126637554585
train,recall_C6,0.8841584158415842
train,f1_C6,0.8287703016241299
train,support_C6,1010.0
val,n,716.0
val,accuracy,0.5139664804469274
val,balanced_accuracy,0.513717006898825
val,macro_f1,0.5025879472339982
val,weighted_f1,0.5026632176893896
val,log_loss,1.3503902350410653
val,brier_multiclass,0.6663196750537935
val,ece_15bin,0.17476272033579524
val,top1_prob_mean,0.6887292265892029
val,top1_top2_margin_mean,0.4737337529659271
val,predictive_entropy_mean,0.748558521270752
val,attention_entropy_mean,2.272258758544922
val,amb_c2_recall,0.875
val,amb_c1_c5_c6_internal,0.43333333333333335
val,amb_c3_c4_pair,0.2966101694915254
val,amb_c3_to_c2_absorb,0.2605042016806723
val,amb_c4_to_c2_absorb,0.13675213675213677
val,precision_C1,0.49645390070921985
val,recall_C1,0.5882352941176471
val,f1_C1,0.5384615384615384
val,support_C1,119.0
val,precision_C2,0.6140350877192983
val,recall_C2,0.875
val,f1_C2,0.7216494845360825
val,support_C2,120.0
val,precision_C3,0.5384615384615384
val,recall_C3,0.4117647058823529
val,f1_C3,0.4666666666666667
val,support_C3,119.0
val,precision_C4,0.49
val,recall_C4,0.4188034188034188
val,f1_C4,0.45161290322580644
val,support_C4,117.0
val,precision_C5,0.42990654205607476
val,recall_C5,0.38016528925619836
val,f1_C5,0.40350877192982454
val,support_C5,121.0
val,precision_C6,0.46226415094339623
val,recall_C6,0.4083333333333333
val,f1_C6,0.4336283185840708
val,support_C6,120.0
test,n,2496.0
test,accuracy,0.46153846153846156
test,balanced_accuracy,0.4597426293984512
test,macro_f1,0.44356011285706964
test,weighted_f1,0.4446643372034699
test,log_loss,1.6657222495646182
test,brier_multiclass,0.7274568736576483
test,ece_15bin,0.2451144089468588
test,top1_prob_mean,0.7066529393196106
test,top1_top2_margin_mean,0.507141649723053
test,predictive_entropy_mean,0.7205165028572083
test,attention_entropy_mean,2.209315776824951
test,amb_c2_recall,0.7054631828978623
test,amb_c1_c5_c6_internal,0.3556085918854415
test,amb_c3_c4_pair,0.2567237163814181
test,amb_c3_to_c2_absorb,0.32
test,amb_c4_to_c2_absorb,0.13157894736842105
test,precision_C1,0.5148148148148148
test,recall_C1,0.6619047619047619
test,f1_C1,0.5791666666666667
test,support_C1,420.0
test,precision_C2,0.5351351351351351
test,recall_C2,0.7054631828978623
test,f1_C2,0.6086065573770492
test,support_C2,421.0
test,precision_C3,0.42366412213740456
test,recall_C3,0.2775
test,f1_C3,0.33534743202416917
test,support_C3,400.0
test,precision_C4,0.3743961352657005
test,recall_C4,0.3708133971291866
test,f1_C4,0.37259615384615385
test,support_C4,418.0
test,precision_C5,0.3780487804878049
test,recall_C5,0.22248803827751196
test,f1_C5,0.28012048192771083
test,support_C5,418.0
test,precision_C6,0.4551148225469729
test,recall_C6,0.5202863961813843
test,f1_C6,0.48552338530066813
test,support_C6,419.0
