split,metric,value
train,level_confident_count,1128.0
train,level_confident_rate,0.18604651162790697
train,level_hedged_count,4584.0
train,level_hedged_rate,0.7560613557644731
train,level_low_count,266.0
train,level_low_rate,0.04387267029523338
train,level_no_call_count,85.0
train,level_no_call_rate,0.014019462312386608
train,no_call_count,85.0
train,no_call_rate,0.014019462312386608
train,ambiguity_confident_C2_count,1156.0
train,ambiguity_confident_C2_rate,0.19066468744845785
train,ambiguity_within_group_c1_c5_c6_count,3023.0
train,ambiguity_within_group_c1_c5_c6_rate,0.4985980537687613
train,ambiguity_pair_c3_c4_count,1097.0
train,ambiguity_pair_c3_c4_rate,0.1809335312551542
train,ambiguity_pair_plus_c2_absorption_count,702.0
train,ambiguity_pair_plus_c2_absorption_rate,0.11578426521523998
train,ambiguity_no_call_count,85.0
train,ambiguity_no_call_rate,0.014019462312386608
train,ambiguity_uncategorized_count,0.0
train,ambiguity_uncategorized_rate,0.0
train,class_set_size_0_count,85.0
train,class_set_size_1_count,1156.0
train,class_set_size_2_count,1987.0
train,class_set_size_3_count,2835.0
train,flag_pair_ambiguity_c3_c4_count,1097.0
train,flag_pair_ambiguity_c3_c4_rate,0.1809335312551542
train,flag_posture_unknown_count,0.0
train,flag_posture_unknown_rate,0.0
train,flag_confident_C2_count,1170.0
train,flag_confident_C2_rate,0.1929737753587333
train,flag_pair_plus_c2_absorption_count,707.0
train,flag_pair_plus_c2_absorption_rate,0.11660893946890978
train,flag_within_group_ambiguity_c1_c5_c6_count,3023.0
train,flag_within_group_ambiguity_c1_c5_c6_rate,0.4985980537687613
train,flag_low_confidence_no_class_set_count,66.0
train,flag_low_confidence_no_class_set_rate,0.010885700148441365
train,flag_anchor_unreliable_count,316.0
train,flag_anchor_unreliable_rate,0.05211941283193139
val,level_confident_count,153.0
val,level_confident_rate,0.21368715083798884
val,level_hedged_count,527.0
val,level_hedged_rate,0.7360335195530726
val,level_low_count,22.0
val,level_low_rate,0.030726256983240222
val,level_no_call_count,14.0
val,level_no_call_rate,0.019553072625698324
val,no_call_count,14.0
val,no_call_rate,0.019553072625698324
val,ambiguity_confident_C2_count,157.0
val,ambiguity_confident_C2_rate,0.21927374301675978
val,ambiguity_within_group_c1_c5_c6_count,354.0
val,ambiguity_within_group_c1_c5_c6_rate,0.49441340782122906
val,ambiguity_pair_c3_c4_count,95.0
val,ambiguity_pair_c3_c4_rate,0.13268156424581007
val,ambiguity_pair_plus_c2_absorption_count,96.0
val,ambiguity_pair_plus_c2_absorption_rate,0.1340782122905028
val,ambiguity_no_call_count,14.0
val,ambiguity_no_call_rate,0.019553072625698324
val,ambiguity_uncategorized_count,0.0
val,ambiguity_uncategorized_rate,0.0
val,class_set_size_0_count,14.0
val,class_set_size_1_count,157.0
val,class_set_size_2_count,174.0
val,class_set_size_3_count,371.0
val,flag_pair_ambiguity_c3_c4_count,95.0
val,flag_pair_ambiguity_c3_c4_rate,0.13268156424581007
val,flag_posture_unknown_count,0.0
val,flag_posture_unknown_rate,0.0
val,flag_confident_C2_count,157.0
val,flag_confident_C2_rate,0.21927374301675978
val,flag_pair_plus_c2_absorption_count,96.0
val,flag_pair_plus_c2_absorption_rate,0.1340782122905028
val,flag_within_group_ambiguity_c1_c5_c6_count,354.0
val,flag_within_group_ambiguity_c1_c5_c6_rate,0.49441340782122906
val,flag_low_confidence_no_class_set_count,14.0
val,flag_low_confidence_no_class_set_rate,0.019553072625698324
val,flag_anchor_unreliable_count,26.0
val,flag_anchor_unreliable_rate,0.036312849162011177
test,level_confident_count,505.0
test,level_confident_rate,0.20232371794871795
test,level_hedged_count,1859.0
test,level_hedged_rate,0.7447916666666666
test,level_low_count,83.0
test,level_low_rate,0.03325320512820513
