split,stage,metric,value
train,before,accuracy,0.797624938149431
train,before,balanced_accuracy,0.7974253315996619
train,before,macro_f1,0.7928568581119116
train,before,log_loss,0.505492859922524
train,before,brier_multiclass,0.2834656259820526
train,before,ece_15bin,0.048064847189995125
train,before,top1_prob_mean,0.750252902507782
train,before,top1_prob_p25,0.5982371270656586
train,before,top1_prob_p50,0.7789387702941895
train,before,top1_prob_p75,0.9232702553272247
train,before,top1_top2_margin_mean,0.5674896836280823
train,before,predictive_entropy_mean,0.6169172525405884
train,before,n,6063.0
train,after,accuracy,0.797624938149431
train,after,balanced_accuracy,0.7974253315996619
train,after,macro_f1,0.7928568581119116
train,after,log_loss,0.678887939951581
train,after,brier_multiclass,0.35569600468435814
train,after,ece_15bin,0.2183791049096365
train,after,top1_prob_mean,0.5793105363845825
train,after,top1_prob_p25,0.456980362534523
train,after,top1_prob_p50,0.56512850522995
train,after,top1_prob_p75,0.7006394267082214
train,after,top1_top2_margin_mean,0.3360599875450134
train,after,predictive_entropy_mean,1.0475215911865234
train,after,n,6063.0
val,before,accuracy,0.5139664804469274
val,before,balanced_accuracy,0.513717006898825
val,before,macro_f1,0.5025879472339982
val,before,log_loss,1.3503902176659979
val,before,brier_multiclass,0.6663196653257533
val,before,ece_15bin,0.1747627319903347
val,before,top1_prob_mean,0.6887292265892029
val,before,top1_prob_p25,0.5359335094690323
val,before,top1_prob_p50,0.6867662668228149
val,before,top1_prob_p75,0.8499413430690765
val,before,top1_top2_margin_mean,0.4737337529659271
val,before,predictive_entropy_mean,0.748558521270752
val,before,n,716.0
val,after,accuracy,0.5139664804469274
val,after,balanced_accuracy,0.513717006898825
val,after,macro_f1,0.5025879472339982
val,after,log_loss,1.1595623389659953
val,after,brier_multiclass,0.6139126717891562
val,after,ece_15bin,0.048553211229473515
val,after,top1_prob_mean,0.5222786664962769
val,after,top1_prob_p25,0.4058326259255409
val,after,top1_prob_p50,0.4961237907409668
val,after,top1_prob_p75,0.6188024580478668
val,after,top1_top2_margin_mean,0.26529186964035034
val,after,predictive_entropy_mean,1.1593282222747803
val,after,n,716.0
test,before,accuracy,0.46153846153846156
test,before,balanced_accuracy,0.4597426293984512
test,before,macro_f1,0.44356011285706964
test,before,log_loss,1.6657222435965793
test,before,brier_multiclass,0.727456871269995
test,before,ece_15bin,0.24511441501239553
test,before,top1_prob_mean,0.7066529393196106
test,before,top1_prob_p25,0.5462855994701385
test,before,top1_prob_p50,0.7065320611000061
test,before,top1_prob_p75,0.8764736205339432
test,before,top1_top2_margin_mean,0.5071417093276978
test,before,predictive_entropy_mean,0.7205165028572083
test,before,n,2496.0
test,after,accuracy,0.46153846153846156
test,after,balanced_accuracy,0.4597426293984512
test,after,macro_f1,0.44356011285706964
test,after,log_loss,1.3020177652046316
test,after,brier_multiclass,0.6477744820426146
test,after,ece_15bin,0.07769534876570106
test,after,top1_prob_mean,0.5375273823738098
test,after,top1_prob_p25,0.41025591641664505
test,after,top1_prob_p50,0.5122476518154144
test,after,top1_prob_p75,0.6440414637327194
test,after,top1_top2_margin_mean,0.28947189450263977
test,after,predictive_entropy_mean,1.1321829557418823
test,after,n,2496.0
—,—,fitted_temperature,2.0212759971618652
—,—,lbfgs_n_closures,12.0
—,—,final_val_nll,1.159562349319458
