breakdown,posture,n,k,template_i2t_R,class_i2t_R,ambig_i2t_R,strict_i2t_R,class
posture,SA,830,1,0.6939759036144578,0.25783132530120484,0.9,0.0036144578313253013,
posture,SA,830,5,0.8012048192771084,0.5325301204819277,0.9204819277108434,0.02891566265060241,
posture,CA,837,1,0.6642771804062126,0.22580645161290322,0.8888888888888888,0.008363201911589008,
posture,CA,837,5,0.7359617682198327,0.42054958183990443,0.8924731182795699,0.03942652329749104,
posture,HW,829,1,0.7659831121833535,0.14595898673100122,0.9227985524728589,0.006031363088057901,
posture,HW,829,5,0.781664656212304,0.36670687575392036,0.9384800965018094,0.027744270205066344,
posture,ALL,2496,1,0.6542467948717948,0.2311698717948718,0.9026442307692307,0.007211538461538462,
posture,ALL,2496,5,0.6995192307692307,0.43990384615384615,0.9150641025641025,0.03205128205128205,
class,,420,1,0.611904761904762,0.3404761904761905,0.9642857142857143,,C1
class,,420,5,0.6190476190476191,0.48333333333333334,0.9714285714285714,,C1
class,,421,1,0.5795724465558195,0.22565320665083136,0.8551068883610451,,C2
class,,421,5,0.6579572446555819,0.4489311163895487,0.8646080760095012,,C2
class,,400,1,0.6675,0.19,0.855,,C3
class,,400,5,0.75,0.46,0.88,,C3
class,,418,1,0.7129186602870813,0.08851674641148326,0.861244019138756,,C4
class,,418,5,0.7751196172248804,0.3253588516746411,0.8755980861244019,,C4
class,,418,1,0.6866028708133971,0.1937799043062201,0.9545454545454546,,C5
class,,418,5,0.7081339712918661,0.38995215311004783,0.9569377990430622,,C5
class,,419,1,0.6682577565632458,0.3460620525059666,0.9236276849642004,,C6
class,,419,5,0.6897374701670644,0.5322195704057279,0.9403341288782816,,C6
