metric,value
total_rows,9275.0
json_valid_rate,1.0
required_field_complete_rate,1.0
forbidden_expression_rate,0.0
forbidden_semantic_pattern_rate,0.0
confidence_mismatch_rate,0.0
no_call_contradiction_rate,0.0
class_set_narrowing_rate,0.0
unsupported_biomechanical_claim_rate,0.0
attention_leakage_rate,0.0
posture_phrase_mismatch_rate,0.0
class_vocabulary_violation_rate,0.0
used_schema_fields_violation_rate,0.0
limitation_phrase_violation_rate,0.0
schema_faithfulness_rate,1.0
fallback_rate,0.0
mean_n_retries,0.0
