section,key,value,n,ambig_preservation_rate
overall,total_rows,9275,,
overall,schema_faithfulness_rate,1,,
overall,ambiguity_preservation_rate,1,,
overall,ambiguity_subset_n,7717,,
stratum_true_class,C1,1,1553,1
stratum_true_class,C2,1,1555,1
stratum_true_class,C3,1,1529,1
stratum_true_class,C4,1,1540,1
stratum_true_class,C5,1,1549,1
stratum_true_class,C6,1,1549,1
stratum_posture,SA,1,3098,1
stratum_posture,CA,1,3080,1
stratum_posture,HW,1,3097,1
stratum_confidence_level,confident,1,1502,
stratum_confidence_level,hedged,1,7312,1
stratum_confidence_level,low,1,370,1
stratum_confidence_level,no_call,1,91,1
